# CVS $Revision$ $Author$ -- Sun Feb 28 11:56:12 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Gaslight - Players Guide	SOURCESHORT:Gaslight	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2009-12
#Original Entry: Andrew Maitland

# Language				Type
Algonkin				TYPE:Spoken.Algic
Algonkin				TYPE:Written.Algic
Arapaho				TYPE:Spoken.Algic
Arapaho				TYPE:Written.Algic
Blackfoot				TYPE:Spoken.Algic
Blackfoot				TYPE:Written.Algic
Cheyenne				TYPE:Spoken.Algic
Cheyenne				TYPE:Written.Algic
Shawnee				TYPE:Spoken.Algic
Shawnee				TYPE:Written.Algic
Armenian				TYPE:Spoken.Armenian
Armenian				TYPE:Written.Armenian
Apache				TYPE:Spoken.Athabascan
Apache				TYPE:Written.Athabascan
Chipewyan				TYPE:Spoken.Athabascan
Chipewyan				TYPE:Written.Athabascan
Navaho				TYPE:Spoken.Athabascan
Navaho				TYPE:Written.Athabascan
Ancient Greek			TYPE:Spoken.Attic
Ancient Greek			TYPE:Written.Attic
Greek					TYPE:Spoken.Attic
Greek					TYPE:Written.Attic
Latvian				TYPE:Spoken.Baltic
Latvian				TYPE:Written.Baltic
Lithuanian				TYPE:Spoken.Baltic
Lithuanian				TYPE:Written.Baltic
Gaelic (Irish)			TYPE:Spoken.Celtic
Gaelic (Irish)			TYPE:Written.Celtic
Gaelic (Scots)			TYPE:Spoken.Celtic
Gaelic (Scots)			TYPE:Written.Celtic
Welsh					TYPE:Spoken.Celtic
Welsh					TYPE:Written.Celtic
Cantonese				TYPE:Spoken.Chinese
Cantonese				TYPE:Written.Chinese
Mandarin				TYPE:Spoken.Chinese
Mandarin				TYPE:Written.Chinese
Estonian				TYPE:Spoken.Finno-Lappic
Estonian				TYPE:Written.Finno-Lappic
Finnish				TYPE:Spoken.Finno-Lappic
Finnish				TYPE:Written.Finno-Lappic
Lapp					TYPE:Spoken.Finno-Lappic
Lapp					TYPE:Written.Finno-Lappic
Afrikaans				TYPE:Spoken.Germanic
Afrikaans				TYPE:Written.Germanic
