# CVS $Revision$ $Author$ -- Sun Oct 12 14:46:31 2008 -- reformated by prettylst.pl v1.38 (build 7302)
# Original Entry by: Arknight
#
# Ability Categories
#

###Block: Ability Categories
# Ability Category		Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Background	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Background	TYPE:Background	PLURAL:Backgrounds		DISPLAYLOCATION:Background
ABILITYCATEGORY:Mutation	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Mutation		TYPE:Mutation	PLURAL:Mutations			DISPLAYLOCATION:Mutations & Defects
ABILITYCATEGORY:Defect		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Defect		TYPE:Defect		PLURAL:Defects			DISPLAYLOCATION:Mutations & Defects

###Block:  Core Class Talent Pools
# Ability Category							Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object															Plural description for UI				Display Location
ABILITYCATEGORY:PA Hero Talent					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:PAHeroTalent															PLURAL:PA Hero Talents					DISPLAYLOCATION:Talents

# Core Class Bonus Feat Pools
ABILITYCATEGORY:PA Hero Feat						VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:PAHero																PLURAL:PA Hero Feats					DISPLAYLOCATION:Feats

# Class Ability Pools
ABILITYCATEGORY:Scholar Ancient Secret				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:AncientSecret														PLURAL:Scholar Ancient Secrets			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Survivalist Region					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:SurvivalistRegion														PLURAL:Survivalist Regions				DISPLAYLOCATION:Class Abilities

# Ability Category							Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object															Plural description for UI				Display Location
ABILITYCATEGORY:Caravan Guard Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Caravan_Guard_Skills													PLURAL:Caravan Guard Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Corium Prospector Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Corium_Prospector_Skills													PLURAL:Corium Prospector Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Craftsman Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Craftsman_Skills														PLURAL:Craftsman Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Demagogue Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Demagogue_Skills														PLURAL:Demagogue Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Furniture Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Furniture_Skills														PLURAL:Furniture Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Guide Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Guide_Skills															PLURAL:Guide Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Healer Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Healer_Skills														PLURAL:Healer Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Herdsman Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Herdsman_Skills														PLURAL:Herdsman Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Merchant Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Merchant_Skills														PLURAL:Merchant Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Military Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Military_Skills														PLURAL:Military Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Predator Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Predator_Skills														PLURAL:Predator Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Repairman Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Repairman_Skills														PLURAL:Repairman Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Slave Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Slave_Skills															PLURAL:Slave Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Slaver Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Slaver_Skills														PLURAL:Slaver Occupation Skills			DISPLAYLOCATION:Background
