# CVS $Revision: 13408 $ $Author: amaitland $ -- Mon Nov 28 13:37:53 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Bestiary	SOURCESHORT:PFB	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2009-10

###Block: Builder templates
# Template Name			Visible	Required Size	Natural Attacks
Bite ~ Claw (Fine)		VISIBLE:NO	PRESIZEEQ:F		NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1
Bite ~ Claw (Diminutive)	VISIBLE:NO	PRESIZEEQ:D		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d2
Bite ~ Claw (Tiny)		VISIBLE:NO	PRESIZEEQ:T		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d2	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3
Bite ~ Claw (Small)		VISIBLE:NO	PRESIZEEQ:S		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4
Bite ~ Claw (Medium)		VISIBLE:NO	PRESIZEEQ:M		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6
Bite ~ Claw (Large)		VISIBLE:NO	PRESIZEEQ:L		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8
Bite ~ Claw (Huge)		VISIBLE:NO	PRESIZEEQ:H		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6
Bite ~ Claw (Gargantuan)	VISIBLE:NO	PRESIZEEQ:G		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d6
Bite ~ Claw (Colossal)		VISIBLE:NO	PRESIZEEQ:C		NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6

###Block: Sorcerer Cleric Spells, for creatures who can cast Cleric spells as Arccane Sorcerer spells
# Template Name			Visible	List of Class Spells by Level
Sorcerer Cleric Spells		VISIBLE:NO
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=9|Astral Projection,Energy Drain,Etherealness,Gate,Heal (Mass),Implosion,Miracle,Soul Bind,Storm of Vengeance,Summon Monster IX,True Resurrection
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=8|Antimagic Field,Cloak of Chaos,Create Greater Undead,Cure Critical Wounds (Mass),Dimensional Lock,Discern Location,Earthquake,Fire Storm,Holy Aura,Inflict Critical Wounds (Mass),Planar Ally (Greater),Shield of Law,Spell Immunity (Greater),Summon Monster VIII,Symbol of Death,Symbol of Insanity,Unholy Aura
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=7|Blasphemy,Control Weather,Cure Serious Wounds (Mass),Destruction,Dictum,Ethereal Jaunt,Holy Word,Inflict Serious Wounds (Mass),Refuge,Regenerate,Repulsion,Restoration (Greater),Resurrection,Scrying (Greater),Summon Monster VII,Symbol of Stunning,Symbol of Weakness,Word of Chaos
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=6|Animate Objects,Antilife Shell,Banishment,Bear's Endurance (Mass),Blade Barrier,Bull's Strength (Mass),Create Undead,Cure Moderate Wounds (Mass),Dispel Magic (Greater),Eagle's Splendor (Mass),Find the Path,Forbiddance,Geas/Quest,Glyph of Warding (Greater),Harm,Heal,Heroes' Feast,Inflict Moderate Wounds (Mass),Owl's Wisdom (Mass),Planar Ally,Summon Monster VI,Symbol of Fear,Symbol of Persuasion,Undeath to Death,Wind Walk,Word of Recall
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=5|Atonement,Break Enchantment,Breath of Life,Command (Greater),Commune,Cure Light Wounds (Mass),Dispel Chaos,Dispel Evil,Dispel Good,Dispel Law,Disrupting Weapon,Flame Strike,Hallow,Inflict Light Wounds (Mass),Insect Plague,Mark of Justice,Plane Shift,Raise Dead,Righteous Might,Scrying,Slay Living,Spell Resistance,Summon Monster V,Symbol of Pain,Symbol of Sleep,True Seeing,Unhallow,Wall of Stone
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=4|Air Walk,Chaos Hammer,Control Water,Cure Critical Wounds,Death Ward,Dimensional Anchor,Discern Lies,Dismissal,Divination,Divine Power,Freedom of Movement,Giant Vermin,Holy Smite,Imbue with Spell Ability,Inflict Critical Wounds,Magic Weapon (Greater),Neutralize Poison,Order's Wrath,Planar Ally (Lesser),Poison,Repel Vermin,Restoration,Sending,Spell Immunity,Summon Monster IV,Tongues,Unholy Blight
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=3|Animate Dead,Bestow Curse,Blindness/Deafness,Contagion,Continual Flame,Create Food and Water,Cure Serious Wounds,Daylight,Deeper Darkness,Dispel Magic,Gentle Repose,Glyph of Warding,Helping Hand,Inflict Serious Wounds,Invisibility Purge,Locate Object,Magic Circle against Chaos,Magic Circle against Evil,Magic Circle against Good,Magic Circle against Law,Magic Vestment,Meld into Stone,Obscure Object,Prayer,Protection from Energy,Remove Blindness/Deafness,Remove Curse,Remove Disease,Searing Light,Speak with Dead,Stone Shape,Summon Monster III,Water Breathing,Water Walk,Wind Wall
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=2|Aid,Align Weapon,Augury,Bear's Endurance,Bull's Strength,Calm Emotions,Consecrate,Cure Moderate Wounds,Darkness,Death Knell,Delay Poison,Desecrate,Eagle's Splendor,Enthrall,Find Traps,Hold Person,Inflict Moderate Wounds,Make Whole,Owl's Wisdom,Remove Paralysis,Resist Energy,Restoration (Lesser),Shatter,Shield Other,Silence,Sound Burst,Spiritual Weapon,Status,Summon Monster II,Undetectable Alignment,Zone of Truth
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=1|Bane,Bless,Bless Water,Cause Fear,Command,Comprehend Languages,Cure Light Wounds,Curse Water,Deathwatch,Detect Chaos,Detect Evil,Detect Good,Detect Law,Detect Undead,Divine Favor,Doom,Endure Elements,Entropic Shield,Hide from Undead,Inflict Light Wounds,Magic Stone,Magic Weapon,Obscuring Mist,Protection from Chaos,Protection from Evil,Protection from Good,Protection from Law,Remove Fear,Sanctuary,Shield of Faith,Summon Monster I
Sorcerer Cleric Spells.MOD			SPELLLEVEL:CLASS|Sorcerer=0|Bleed,Create Water,Detect Magic,Detect Poison,Guidance,Light,Mending,Purify Food and Drink,Read Magic,Resistance,Stabilize,Virtue

# This is an incomplete solution to the problem of creatures who can cast Cleric spells as Arccane Sorcerer spells.
# The SPELLLEVEL tag does not override spells which are both Cleric and Sorcerer but at different levels,
# the spell will not be available at the new Cleric level but at the standard Sorcerer level.

#
# End
#
