# CVS $Revision$ $Author$ -- Mon Jan 17 06:06:23 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Bestiary	SOURCESHORT:PFB	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2009-10
# Original Entry by: Stefan Radermacher

# Language			Type
Aboleth			TYPE:Spoken.Written.Read
Boggard			TYPE:Spoken.Written.Read
Cyclops			TYPE:Spoken.Written.Read
Dark Folk			TYPE:Spoken.Written.Read
Drow				TYPE:Spoken.Written.Read
Drow Sign Language	TYPE:Spoken.Written.Read
Pidgin of Giant		TYPE:Spoken
Sahuagin			TYPE:Spoken.Written.Read
Sphinx			TYPE:Spoken.Written.Read
Tengu				TYPE:Spoken.Written.Read
Treant			TYPE:Spoken.Written.Read
Vegepygmy			TYPE:Spoken
Worg				TYPE:Spoken.Written.Read
