# Mon Jul 26 15:07:59 2021 -- reformated by PCGen PrettyLST v6.08.00


# ------------------------------
# Fetchling
# ------------------------------

###Block: Racial Identifiers
# Name				Dataformat			Required	Selectable		Visible	Displayname			Explanation
FACTDEF:TEMPLATE|IsFetchling	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Fetchling	EXPLANATION:Determines whether the character is a Fetchling

###Block: Racial Traits
# Name								Dataformat			Required	Selectable		Visible	Displayname								Explanation
FACTDEF:ABILITY|Fetchling_ReplaceAbilityScores		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Ability Scores		EXPLANATION:Replaces the Ability Scores
FACTDEF:ABILITY|Fetchling_ReplaceType			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Type				EXPLANATION:Replaces the Native Outsider Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceSize			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Size				EXPLANATION:Replaces the Medium Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceSpeed			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Speed				EXPLANATION:Replaces the Normal Speed Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceDarkvision		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Darkvision			EXPLANATION:Replaces the Darkvision Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceLowLightVision		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Low-Light Vision		EXPLANATION:Replaces the Low-Light Vision Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceSkilled			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Skilled			EXPLANATION:Replaces the Skilled Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceShadowBlending		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Shadow Blending		EXPLANATION:Replaces the Shadow Blending Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceShadowyResistance	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Shadowy Resistance	EXPLANATION:Replaces the Shadowy Resistance Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceSpellLikeAbilities	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Spell-Like Abilities	EXPLANATION:Replaces the Spell-Like Abilities Racial Trait
FACTDEF:ABILITY|Fetchling_ReplaceLanguages		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Fetchling Languages			EXPLANATION:Replaces the Languages Racial Trait
