# CVS $Revision: 15560 $ $Author: amaitland $ -- Sat Jun  8 13:27:17 2013 -- reformated by prettylst.pl v1.50 (build 19967)
#SOURCELONG:Psionics Expanded - Unlimited Possibilities	SOURCESHORT:PEUP	SOURCEWEB:http://dreamscarredpress.com/dragonfly/index.php	SOURCEDATE:2011-09
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2011/10/26

###Block: Bonus Feat ability pools
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object	Plural description for UI			Display Location
ABILITYCATEGORY:Tactician Bonus Teamwork Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Teamwork	PLURAL:Tactician Bonus Teamwork Feats	DISPLAYLOCATION:Feats

###Block: Class ability pools
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:Tactician Strategy	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TacticianStrategy	PLURAL:Tactician Strategies	DISPLAYLOCATION:Class Abilities

###Block: Tactican archetype category
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:Tactician Archetype	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Archetype	TYPE:TacticianArchetype	PLURAL:Tactician Archetypes	DISPLAYLOCATION:Archetype

###Block: Sighted Seeker bonus powers known ability pools
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Sighted Seeker Hypercognition	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SightedSeekerHypercognition	PLURAL:Sighted Seeker Hypercognition	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Sighted Seeker The Sight		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SightedSeekerTheSight		PLURAL:Sighted Seeker The Sight		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Sighted Seeker Metafaculty	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SightedSeekerMetafaculty		PLURAL:Sighted Seeker Metafaculty		DISPLAYLOCATION:Class Abilities
