# CVS $Revision$ $Author$ -- Thu Apr 26 23:52:22 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:System Reference Document	SOURCESHORT:SRD	SOURCEWEB:http://groups.yahoo.com/group/pcgen/files/3.0%20SRD/

###Block: Assassin Spell List
# Spell Name			Classes of caster
Alter Self.MOD			CLASSES:Assassin=2
Change Self.MOD			CLASSES:Assassin=1
Darkness.MOD			CLASSES:Assassin=2
Deeper Darkness.MOD		CLASSES:Assassin=3
Detect Poison.MOD			CLASSES:Assassin=1
Dimension Door.MOD		CLASSES:Assassin=4
Freedom of Movement.MOD		CLASSES:Assassin=4
Ghost Sound.MOD			CLASSES:Assassin=1
Improved Invisibility.MOD	CLASSES:Assassin=4
Invisibility.MOD			CLASSES:Assassin=3
Misdirection.MOD			CLASSES:Assassin=3
Nondetection.MOD			CLASSES:Assassin=3
Obscuring Mist.MOD		CLASSES:Assassin=1
Pass without Trace.MOD		CLASSES:Assassin=2
Poison.MOD				CLASSES:Assassin=4
Spider Climb.MOD			CLASSES:Assassin=1
Undetectable Alignment.MOD	CLASSES:Assassin=2


###Block: Blackguard Spell List
# Spell Name			Classes of caster
Bull's Strength.MOD		CLASSES:Blackguard=2
Cause Fear.MOD			CLASSES:Blackguard=1
Contagion.MOD			CLASSES:Blackguard=3
Cure Critical Wounds.MOD	CLASSES:Blackguard=4
Cure Light Wounds.MOD		CLASSES:Blackguard=1
Cure Moderate Wounds.MOD	CLASSES:Blackguard=2
Cure Serious Wounds.MOD		CLASSES:Blackguard=3
Darkness.MOD			CLASSES:Blackguard=2
Death Knell.MOD			CLASSES:Blackguard=2
Deeper Darkness.MOD		CLASSES:Blackguard=3
Doom.MOD				CLASSES:Blackguard=1
Freedom of Movement.MOD		CLASSES:Blackguard=4
Inflict Critical Wounds.MOD	CLASSES:Blackguard=4
Inflict Light Wounds.MOD	CLASSES:Blackguard=1
Inflict Moderate Wounds.MOD	CLASSES:Blackguard=2
Inflict Serious Wounds.MOD	CLASSES:Blackguard=3
Magic Weapon.MOD			CLASSES:Blackguard=1
Protection from Elements.MOD	CLASSES:Blackguard=3
Shatter.MOD				CLASSES:Blackguard=2
Summon Monster I.MOD		CLASSES:Blackguard=1
Summon Monster II.MOD		CLASSES:Blackguard=2
Summon Monster III.MOD		CLASSES:Blackguard=3
Summon Monster IV.MOD		CLASSES:Blackguard=4

#
# End
#
