# CVS $Revision$ $Author$ -- Mon Sep 15 13:20:43 2008 -- reformated by prettylst.pl v1.38 (build 7233)
#SOURCELONG:Midnight - Against the Shadow	SOURCESHORT:AtS	SOURCEWEB:http://www.fantasyflightgames.com/midnight.html

# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Elemental Aspect		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalAspect		PLURAL:Elemental Aspects		DISPLAYLOCATION:Heroic Path Abilities
ABILITYCATEGORY:Elemental Cohort		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalCohort		PLURAL:Elemental Cohorts		DISPLAYLOCATION:Heroic Path Abilities
ABILITYCATEGORY:Elemental Resistance	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalResistance	PLURAL:Elemental Resistances		DISPLAYLOCATION:Heroic Path Abilities

ABILITYCATEGORY:Heroic SpellLike Ability	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ATS_SpellLikeAbility	PLURAL:Heroic SpellLike Abilities	DISPLAYLOCATION:Heroic Path Abilities
ABILITYCATEGORY:Heroic Spontaneous Spell	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ATS_SpontaneousSpell	PLURAL:Heroic Spontaneous Spells	DISPLAYLOCATION:Heroic Path Abilities
ABILITYCATEGORY:Heroic Ability Boost	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ATS_AbilityBoost		PLURAL:Heroic Ability Boosts		DISPLAYLOCATION:Heroic Path Abilities
ABILITYCATEGORY:Heroic Save Boost		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ATS_SaveBoost		PLURAL:Heroic Save Boosts		DISPLAYLOCATION:Heroic Path Abilities
ABILITYCATEGORY:Heroic Skill Boost		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ATS_SkillBoost		PLURAL:Heroic Skill Boosts		DISPLAYLOCATION:Heroic Path Abilities
ABILITYCATEGORY:Pureblood Skill Mastery	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:PurebloodSkillMastery	PLURAL:Pureblood Skill Mastery	DISPLAYLOCATION:Heroic Path Abilities

#
# End
#
