# CVS $Revision$ $Author$ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Curse of the Crimson Throne Player's Guide	SOURCESHORT:CCTPG	SOURCEWEB:http://paizo.com/pathfinder/adventurePath/v5748btpy806v	SOURCEDATE:2008-02

# Deities of Golarion
# Deity Name	Product Identity?	Domains												Description of Deity/Title					Deity Weapon						Align		Source Page
Erastil		NAMEISPI:YES	DOMAINS:ANIMAL,COMMUNITY,GOOD,Law,PLANT|PREALIGN:LG,NG,LN				DESC:God Of Farming, Hunting, Trade, Family		DEITYWEAP:Longbow						ALIGN:LG	SOURCEPAGE:p.9
Iomedae		NAMEISPI:YES	DOMAINS:GLORY,GOOD,Law,SUN,War|PREALIGN:LG,NG,LN					DESC:Goddess Of Valor, Rulership, Justice, Honor	DEITYWEAP:Longsword					ALIGN:LG	SOURCEPAGE:p.9
Torag			NAMEISPI:YES	DOMAINS:ARTIFICE,EARTH,GOOD,Law,PROTECTION|PREALIGN:LG,NG,LN			DESC:God Of The Forge, Protection, Strategy		DEITYWEAP:Warhammer					ALIGN:LG	SOURCEPAGE:p.9
Sarenrae		NAMEISPI:YES	DOMAINS:FIRE,GLORY,GOOD,HEALING,SUN|PREALIGN:NG,LG,CG,TN				DESC:Goddess Of The Sun, Redemption, Honesty, Healing	DEITYWEAP:Scimitar					ALIGN:NG	SOURCEPAGE:p.9
Shelyn		NAMEISPI:YES	DOMAINS:Air,CHARM,GOOD,LUCK,PROTECTION|PREALIGN:NG,LG,CG,TN				DESC:Goddess Of Beauty, Art, Love, Music			DEITYWEAP:Glaive						ALIGN:NG	SOURCEPAGE:p.9
Desna			NAMEISPI:YES	DOMAINS:Chaos,GOOD,LIBERATION,LUCK,TRAVEL|PREALIGN:CG,CN,NG				DESC:Goddess Of Dreams, Stars, Travelers, Luck		DEITYWEAP:Starknife					ALIGN:CG	SOURCEPAGE:p.9
Cayden Cailean	NAMEISPI:YES	DOMAINS:Chaos,CHARM,GOOD,Strength,TRAVEL|PREALIGN:CG,CN,NG				DESC:God Of Freedom, Wine, Bravery				DEITYWEAP:Rapier						ALIGN:CG	SOURCEPAGE:p.9
Abadar		NAMEISPI:YES	DOMAINS:EARTH,Law,NOBILITY,PROTECTION,TRAVEL|PREALIGN:LN,LG,LE,TN			DESC:God Of Cities, Wealth, Merchants, Law		DEITYWEAP:Crossbow (Heavy)|Crossbow (Light)	ALIGN:LN	SOURCEPAGE:p.9
Irori			NAMEISPI:YES	DOMAINS:HEALING,Knowledge,Law,RUNE,Strength|PREALIGN:LN,LG,LE,TN			DESC:God Of History, Knowledge, Self-Perfection		DEITYWEAP:Unarmed Strike				ALIGN:LN	SOURCEPAGE:p.9
Gozreh		NAMEISPI:YES	DOMAINS:Air,ANIMAL,PLANT,Water,WEATHER|PREALIGN:TN,LN,CN,NG,NE			DESC:God Of Nature, Weather, The Sea			DEITYWEAP:Trident						ALIGN:TN	SOURCEPAGE:p.9
Pharasma		NAMEISPI:YES	DOMAINS:Death,HEALING,Knowledge,REPOSE,Water|PREALIGN:TN,LN,CN,NG,NE		DESC:Goddess Of Fate, Death, Prophecy, Birth		DEITYWEAP:Dagger						ALIGN:TN	SOURCEPAGE:p.9
Nethys		NAMEISPI:YES	DOMAINS:Destruction,Knowledge,MAGIC,PROTECTION,RUNE|PREALIGN:TN,LN,CN,NG,NE	DESC:God Of Magic							DEITYWEAP:Quarterstaff					ALIGN:TN	SOURCEPAGE:p.9
Gorum			NAMEISPI:YES	DOMAINS:Chaos,Destruction,GLORY,Strength,War|PREALIGN:TN,CN,CG,CE			DESC:God Of Strength, Battle, Weapons			DEITYWEAP:Greatsword					ALIGN:CN	SOURCEPAGE:p.9
Calistria		NAMEISPI:YES	DOMAINS:Chaos,CHARM,Knowledge,LUCK,Trickery|PREALIGN:TN,CN,CG,CE			DESC:Goddess Of Trickery, Lust, Revenge			DEITYWEAP:Whip						ALIGN:CN	SOURCEPAGE:p.9
Asmodeus		NAMEISPI:YES	DOMAINS:Evil,FIRE,Law,MAGIC,Trickery|PREALIGN:LE,NE,LN				DESC:God Of Tyranny, Slavery, Pride, Contracts		DEITYWEAP:Mace (Light)|Mace (Heavy)			ALIGN:LE	SOURCEPAGE:p.9
Zon-Kuthon		NAMEISPI:YES	DOMAINS:DARKNESS,Death,Destruction,Evil,Law|PREALIGN:LE,NE,LN			DESC:God Of Envy, Pain, Darkness, Loss			DEITYWEAP:Chain (Spiked)				ALIGN:LE	SOURCEPAGE:p.9
Urgathoa		NAMEISPI:YES	DOMAINS:Death,Evil,MAGIC,Strength,War|PREALIGN:NE,TN,LE,CE				DESC:Goddess Of Gluttony, Disease, Undeath		DEITYWEAP:Scythe						ALIGN:NE	SOURCEPAGE:p.9
Norgorber		NAMEISPI:YES	DOMAINS:CHARM,Death,Evil,Knowledge,Trickery|PREALIGN:NE,TN,LE,CE			DESC:God Of Greed, Secrets, Poison, Murder		DEITYWEAP:Sword (Short)					ALIGN:NE	SOURCEPAGE:p.9
Lamashtu		NAMEISPI:YES	DOMAINS:Chaos,Evil,MADNESS,Strength,Trickery|PREALIGN:CE,NE,CN			DESC:Goddess Of Madness, Monsters, Nightmares		DEITYWEAP:Falchion					ALIGN:CE	SOURCEPAGE:p.9
Rovagug		NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,War,WEATHER|PREALIGN:CE,NE,CN			DESC:God Of Wrath, Disaster, Destruction			DEITYWEAP:Greataxe					ALIGN:CE	SOURCEPAGE:p.9

#
# End
#
