# CVS $Revision$ $Author$ -- Thu Mar 30 19:52:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Player's Guide to Arcanis	SOURCESHORT:PGtA	SOURCEWEB:http://www.paradigmconcepts.com
#AUTHOR:Evan Miller, 2004

# Deity Name	Product Identity?	Domains														Clergy AL			Deity Weapon							PANTHEON
Althares		NAMEISPI:YES	DOMAINS:Artificer,Commerce,Divination,Holy,Knowledge							FOLLOWERALIGN:012345678	DEITYWEAP:Warhammer|Altherian Flintlock (Pistol)	PANTHEON:Arcanis
Anshar		NAMEISPI:YES	DOMAINS:Healing,Holy,Pain,Strength,Suffering,Travel							FOLLOWERALIGN:012345678	DEITYWEAP:Unarmed Strike					PANTHEON:Arcanis
Belisarda		NAMEISPI:YES	DOMAINS:Air,Animal,Earth,Fire,Healing,Holy,Plant,Protection,Refuge,Storm,Travel,Water	FOLLOWERALIGN:012345678	DEITYWEAP:Longbow							PANTHEON:Arcanis
Beltine		NAMEISPI:YES	DOMAINS:Afterlife,Ancestor,Divination,Healing,Holy,Spirit						FOLLOWERALIGN:012345678	DEITYWEAP:Quarterstaff						PANTHEON:Arcanis
Cadic			NAMEISPI:YES	DOMAINS:Holy,Knowledge,Trickery,Subterfuge,Murder,Music						FOLLOWERALIGN:012345678	DEITYWEAP:Sword (Short)						PANTHEON:Arcanis
Hurrian		NAMEISPI:YES	DOMAINS:Air,Holy,Protection,Storm,Strength,Refuge,War							FOLLOWERALIGN:012345678	DEITYWEAP:Longsword						PANTHEON:Arcanis
Illir			NAMEISPI:YES	DOMAINS:Glory,Holy,Honor,Protection,Refuge,Sun,War							FOLLOWERALIGN:012345678	DEITYWEAP:Gladius							PANTHEON:Arcanis
Fire Dragon		NAMEISPI:YES	DOMAINS:Earth,Fire,Holy,Protection,Refuge,Saurian							FOLLOWERALIGN:012345678	DEITYWEAP:Flail (Heavy)						PANTHEON:Arcanis
Larissa		NAMEISPI:YES	DOMAINS:Charm,Divination,Fate,Holy,Luck,Pleasure,Protection,Senses				FOLLOWERALIGN:012345678	DEITYWEAP:Rapier							PANTHEON:Arcanis
Neroth		NAMEISPI:YES	DOMAINS:Death,Destruction,Disease,Holy,Undead								FOLLOWERALIGN:012345678	DEITYWEAP:Scythe							PANTHEON:Arcanis
Nier			NAMEISPI:YES	DOMAINS:Destruction,Fire,Glory,Holy,War									FOLLOWERALIGN:012345678	DEITYWEAP:Greatsword						PANTHEON:Arcanis
Saluwe		NAMEISPI:YES	DOMAINS:Animal,Cavern,Earth,Holy,Nature,Plant,Protection						FOLLOWERALIGN:012345678	DEITYWEAP:Spear							PANTHEON:Arcanis
Sarish		NAMEISPI:YES	DOMAINS:Daemonology,Holy,Magic,Oath,Secrets								FOLLOWERALIGN:012345678	DEITYWEAP:Dagger							PANTHEON:Arcanis
Yarris		NAMEISPI:YES	DOMAINS:Cold,Holy,Protection,Sea,Water									FOLLOWERALIGN:012345678	DEITYWEAP:Trident							PANTHEON:Arcanis

#
# End
#
