# CVS $Revision$ $Author$ -- Wed Jan 23 01:15:35 2008 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Player's Guide to Arcanis	SOURCESHORT:PGtA	SOURCEWEB:http://www.paradigmconcepts.com	SOURCEDATE:2004-06
#AUTHOR:Evan Miller, 2004
###Block: RSRD Modified skills
# Skill Name						Type
Knowledge (Arcana).MOD					TYPE:Other
Knowledge (Architecture and Engineering).MOD	TYPE:Other
Knowledge (Dungeoneering).MOD				TYPE:Other
Knowledge (Local).MOD					TYPE:Local.Other
Knowledge (Nature).MOD					TYPE:Other
Knowledge (Nobility and Royalty).MOD		TYPE:Other
Knowledge (Religion).MOD				TYPE:Religion.Other
Knowledge (The Planes).MOD				TYPE:Other

###Block: Arcanis Skills
# Skill Name					Product Identity?	Key Stat	Untrained?		Type								Source Page
Craft (Flintlock)								KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.SpecialCraft			SOURCEPAGE:pg. 123
Craft (Fletchery)								KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Basket Weaving)							KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Bookbinding)							KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Brassmaking)							KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Calligraphy)							KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Cartwrighting)							KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Chandlery)								KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Cobbling)								KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Coopering)								KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
Craft (Coppersmithing)							KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:pg. 122
