# CVS $Revision$ $Author$ -- Fri Feb 15 12:12:54 2008 -- reformated by prettylst.pl v1.38 (build 4387)
SOURCELONG:Rise of the Runelords Player's Guide	SOURCESHORT:RRPG	SOURCEWEB:http://paizo.com/pathfinder/v5748btpy7xpx	SOURCEDATE:2007-08
# Original Entry by: Stefan Radermacher

# Deity Name	Product Identity?	Domains												Desciption of Deity/Title					Deity Weapon				ALIGN		PANTHEON		Source Page
Abadar		NAMEISPI:YES	DOMAINS:Earth,Law,Nobility,Protection,Travel|PREALIGN:LG,LN,NG			DESC:God of cities, wealth, merchants, law		DEITYWEAP:Crossbow			ALIGN:LN	PANTHEON:Golarion	SOURCEPAGE:p.7
Asmodeus		NAMEISPI:YES	DOMAINS:Evil,Fire,Law,Magic,Trickery|PREALIGN:LN,LE,NE				DESC:God of tyranny, slavery, pride, contracts		DEITYWEAP:Mace (Heavy)|Mace (Light)	ALIGN:LE	PANTHEON:Golarion	SOURCEPAGE:p.7
Calistria		NAMEISPI:YES	DOMAINS:Chaos,Charm,Knowledge,Luck,Trickery|PREALIGN:CG,CN,CE			DESC:Goddess of trickery, lust, revenge			DEITYWEAP:Whip				ALIGN:CN	PANTHEON:Golarion	SOURCEPAGE:p.7
Cayden Cailean	NAMEISPI:YES	DOMAINS:Chaos,Charm,Good,Strength,Travel|PREALIGN:NG,CG,CN				DESC:God of freedom, wine, bravery				DEITYWEAP:Rapier				ALIGN:CG	PANTHEON:Golarion	SOURCEPAGE:p.7
Desna			NAMEISPI:YES	DOMAINS:Chaos,Good,Liberation,Luck,Travel|PREALIGN:NG,CG,CN				DESC:Goddess of dreams, stars, travelers, luck		DEITYWEAP:Starknife			ALIGN:CG	PANTHEON:Golarion	SOURCEPAGE:p.7
Erastil		NAMEISPI:YES	DOMAINS:Animal,Community,Good,Law,Plant|PREALIGN:LG,LN,NG				DESC:God of farming, hunting, trade, family		DEITYWEAP:Longbow				ALIGN:LG	PANTHEON:Golarion	SOURCEPAGE:p.7
Gorum			NAMEISPI:YES	DOMAINS:Chaos,Destruction,Glory,Strength,War|PREALIGN:CG,CN,CE			DESC:God of strength, battle, weapons			DEITYWEAP:Greatsword			ALIGN:CN	PANTHEON:Golarion	SOURCEPAGE:p.7
Gozreh		NAMEISPI:YES	DOMAINS:Air,Animal,Plant,Water,Weather|PREALIGN:LN,NG,TN,NE,CN			DESC:God of nature, weather, the sea			DEITYWEAP:Trident				ALIGN:TN	PANTHEON:Golarion	SOURCEPAGE:p.7
Iomedae		NAMEISPI:YES	DOMAINS:Glory,Good,Law,Sun,War|PREALIGN:LG,LN,NG					DESC:Goddess of valor, rulership, justice, honor	DEITYWEAP:Longsword			ALIGN:LG	PANTHEON:Golarion	SOURCEPAGE:p.7
Irori			NAMEISPI:YES	DOMAINS:Healing,Knowledge,Law,Strength,Rune|PREALIGN:LG,LN,NG			DESC:God of history, knowledge, self-perfection		DEITYWEAP:Unarmed Strike		ALIGN:LN	PANTHEON:Golarion	SOURCEPAGE:p.7
