# CVS $Revision$ $Author$ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Alderac Entertainment Group (AEG) - Evil	SOURCESHORT:Evil	SOURCEWEB:http://alderac.com/d20	SOURCEDATE:2003-01

# Spell Name			Product Identity?	Type				Classes of caster				Domains granting the spell	School			Sub-School			Components				Casting Time		Range			Item		Target Area or Effect				Duration					Save Info					Spell Resistance		Source Page		Description
Belarosh's Law			NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=3|Cleric=4						SCHOOL:Abjuration						COMPS:V S M (magic circle)	CASTTIME:30 minutes	RANGE:Touch		ITEM:Potion	TARGETAREA:One magic circle of any size	DURATION:24 hours				SAVEINFO:Special				SPELLRES:Special		SOURCEPAGE:p.34	DESC:This spell creates an invisible barrier to surrounding the magic circle.
Bone Spikes							TYPE:Divine			CLASSES:Cleric=2									SCHOOL:Necromancy						COMPS:V S M DF			CASTTIME:1 action		RANGE:Close		ITEM:Potion	TARGETAREA:1 undead creature			DURATION:Permanant			SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.62	DESC:This spell causes jagged bony spikes to grown on the bodies of skeletons and zombies, causing extra damage from each physical attack.
Bonewand							TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6		DOMAINS:Death=7			SCHOOL:Transmutation					COMPS:V S F				CASTTIME:10 minutes	RANGE:Touch		ITEM:Potion	TARGETAREA:Bone touched				DURATION:Untill discharged (D)	SAVEINFO:Will negates (object)	SPELLRES:Yes (Object)	SOURCEPAGE:p.62	DESC:The caster creates a single use wand out of a discarded bone.
Dimensional Rupture					TYPE:Arcane			CLASSES:Sorcerer,Wizard=9							SCHOOL:Transmutation					COMPS:V S M XP			CASTTIME:1 full round	RANGE:Medium	ITEM:Potion	TARGETAREA:See Text				DURATION:See Spell Effect		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.62	DESC:This spell rips open a ragged hole in the dimensional barrier between a parallel dimension and this one.
Disrupt Soul						TYPE:Divine			CLASSES:Cleric=8				DOMAINS:Death=8			SCHOOL:Necromancy						COMPS:V S DF			CASTTIME:1 full round	RANGE:Touch		ITEM:Potion	TARGETAREA:1 person or creature		DURATION:1 round/level			SAVEINFO:Will negates			SPELLRES:Yes		SOURCEPAGE:p.63	DESC:The victim of disrupt soul has his essence scattered like a ash in a hurricane.
Ill Omen							TYPE:Divine			CLASSES:Cleric=2									SCHOOL:Divination						COMPS:V S DF			CASTTIME:1 full round	RANGE:0				TARGETAREA:Personal				DURATION:Instantaneous			SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.64	DESC:This spell gives the caster insight into his future actions.  However, it only reveals whether a decision results in a detrimental effect or not.
Iron Fist							TYPE:Arcane			CLASSES:Sorcerer,Wizard=2							SCHOOL:Transmutation					COMPS:V S M				CASTTIME:1 action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature's fist			DURATION:2 rounds/level			SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.64	DESC:This spell hardens the target's fist with calluses and iron, dealing extra damage from each physical attack.
Hideous Appearance					TYPE:Arcane			CLASSES:Sorcerer,Wizard=3							SCHOOL:Illusion		SUBSCHOOL:Phantasm	COMPS:V S M				CASTTIME:1 action		RANGE:Touch		ITEM:Potion	TARGETAREA:Person Touched			DURATION:1 day/level			SAVEINFO:Will negates			SPELLRES:Yes		SOURCEPAGE:p.65	DESC:The target of this spell takes on a repulsive countenance, only seen by those that can see his face.
Necromantic Channel					TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6		DOMAINS:Death=5			SCHOOL:Necromancy						COMPS:V S M/DF			CASTTIME:1 action		RANGE:Close		ITEM:Potion	TARGETAREA:You, 10 feet/level of caster	DURATION:1 round/level			SAVEINFO:Negates				SPELLRES:Yes		SOURCEPAGE:p.65	DESC:The caster becomes a magnet for life energies, a conduit to the Negative Plane
Shadow Cloak						TYPE:Arcane			CLASSES:Sorcerer,Wizard=3		DOMAINS:Darkness=3		SCHOOL:Conjuration	SUBSCHOOL:Summoning	COMPS:V S M				CASTTIME:1 action		RANGE:Close		ITEM:Potion	TARGETAREA:Person or creature			DURATION:1 hour/level			SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.65	DESC:A thin layer of shadow forms around the target of this spell.
Spirit Link							TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=5		DOMAINS:Death=4			SCHOOL:Necromancy						COMPS:V S M				CASTTIME:1 action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature or person		DURATION:1 round/level			SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.66	DESC:The caster can create a temporary link between his spirit and that of another person or creature.
Strength of Yeenoghu I		NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=1						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu II		NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=2						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu III	NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=3						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu IV		NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=4						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu V		NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=5						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu VI		NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=6						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu VII	NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=7						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu VIII	NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=8						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Strength of Yeenoghu IX		NAMEISPI:YES	TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=9						SCHOOL:Necromancy						COMPS:V S M SP			CASTTIME:2 Days		RANGE:Personal			TARGETAREA:1 living creature touched	DURATION:1 Hour + Special		SAVEINFO:Special				SPELLRES:No			SOURCEPAGE:p.66	DESC:The subject becomes stronger, taking on the powerful strength of a possessed spirit.
Summon Shadow Raven					TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=3						SCHOOL:Conjuration	SUBSCHOOL:Summoning	COMPS:V S F/DF			CASTTIME:1 full round	RANGE:Close		ITEM:Potion	TARGETAREA:See Text				DURATION:1 round/level			SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.66	DESC:This spell summons a shadow raven from the demi-plane of shasdow.
Undead Attraction						TYPE:Arcane.Divine	CLASSES:Cleric,Sorcerer,Wizard=3						SCHOOL:Necromancy						COMPS:V S M DF			CASTTIME:1 action		RANGE:Medium	ITEM:Potion	TARGETAREA:1 person or creature		DURATION:1 round/level			SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.67	DESC:The unfortunate individual that becomes the target for this spell draws the wrath of all undead creatures near him.
Waking Nightmares						TYPE:Arcane			CLASSES:Sorcerer,Wizard=3							SCHOOL:Illusion		SUBSCHOOL:Phantasm	COMPS:V S M				CASTTIME:1 round		RANGE:Medium	ITEM:Potion	TARGETAREA:1 creature				DURATION:1 round +1/level		SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.68	DESC:This spell conjures images in the mind of the target creature of their worst nightmares.
Wounding							TYPE:Divine			CLASSES:Cleric=4				DOMAINS:Death,Pain=4		SCHOOL:Transmutation					COMPS:V S DF			CASTTIME:1 action		RANGE:Close		ITEM:Potion	TARGETAREA:1 Living target or creature	DURATION:1 round/level			SAVEINFO:Fort Negates			SPELLRES:Yes		SOURCEPAGE:p.68	DESC:This dangerous spell stops the targets wounds from closing as per the weapon property of the same name.

###Block: SPELL.MOD generated from the old CLASSSPELL files
# Spell Name				Classes of caster		Domains granting the spell
Animate Dead.MOD								DOMAINS:Death=3
Animate Objects.MOD							DOMAINS:Chaos=6
Blasphemy.MOD								DOMAINS:Evil,Pain=7
Bull's Strength.MOD							DOMAINS:Blood=2
Calm Emotions.MOD								DOMAINS:Law=2
Cause Fear.MOD								DOMAINS:Blood,Death=1
Chaos Hammer.MOD								DOMAINS:Chaos=4
Charm Person.MOD								DOMAINS:Corruption,Lust=1
Circle of Death.MOD							DOMAINS:Disease=6
Circle of Doom.MOD							DOMAINS:Destruction,Pain=5
Cloak of Chaos.MOD							DOMAINS:Chaos=8
Cloaked Sphere of Radiance.MOD	CLASSES:Sorcerer=3
Contagion.MOD								DOMAINS:Destruction,Disease,Plague=3
Create Greater Undead.MOD						DOMAINS:Death=8
Create Undead.MOD								DOMAINS:Evil=6
Creeping Doom.MOD								DOMAINS:Plague=7
Crushing Hand.MOD								DOMAINS:Pain=9
Curse Water.MOD								DOMAINS:Disease=1
Darkness.MOD								DOMAINS:Darkness=2
Death Knell.MOD								DOMAINS:Death,Rot=2
Death Ward.MOD								DOMAINS:Death=4
Deeper Darkness.MOD							DOMAINS:Darkness=3
Demand.MOD									DOMAINS:Corruption=8
Desecrate.MOD								DOMAINS:Evil=2
Destruction.MOD								DOMAINS:Death,Disease=7
Dictum.MOD									DOMAINS:Law=7
Disintegrate.MOD								DOMAINS:Rot=6|Destruction=7
Dispel Chaos.MOD								DOMAINS:Law=5
Dispel Good.MOD								DOMAINS:Evil=5
Dispel Law.MOD								DOMAINS:Chaos=5
Distant Light.MOD				CLASSES:Sorcerer=3
Dominate Person.MOD							DOMAINS:Corruption,Lust=4
Earthquake.MOD								DOMAINS:Destruction=8
Emotion.MOD									DOMAINS:Lust=3
Energy Drain.MOD								DOMAINS:Disease,Plague=9
Enervation.MOD								DOMAINS:Plague=4
Enthrall.MOD								DOMAINS:Corruption,Lust=2
Feeblemind.MOD								DOMAINS:Lust=5
Finger of Death.MOD							DOMAINS:Plague=8
Gate.MOD									DOMAINS:Darkness=9
Geas/Quest.MOD								DOMAINS:Corruption,Lust=6
Harm.MOD									DOMAINS:Destruction,Pain,Plague=6
Hold Monster.MOD								DOMAINS:Law=6
Horrid Wilting.MOD							DOMAINS:Disease,Pain,Rot=8
Implosion.MOD								DOMAINS:Destruction=9
Inflict Critical Wounds.MOD						DOMAINS:Destruction,Pain=4
Inflict Light Wounds.MOD						DOMAINS:Destruction,Pain,Plague,Rot=1
Inflict Moderate Wounds.MOD						DOMAINS:Disease,Pain=2
Inflict Serious Wounds.MOD						DOMAINS:Pain=3
Insect Plague.MOD								DOMAINS:Plague=5
Invisibility.MOD								DOMAINS:Darkness=4
Invisibility Sphere.MOD							DOMAINS:Darkness=5
Limited Wish.MOD								DOMAINS:Corruption=7
Magic Circle against Chaos.MOD					DOMAINS:Law=3
Magic Circle against Good.MOD						DOMAINS:Evil=3
Magic Circle against Law.MOD						DOMAINS:Chaos=3
Magic Vestment.MOD							DOMAINS:Blood=3
Mass Charm.MOD								DOMAINS:Lust=8
Mass Invisibility.MOD							DOMAINS:Darkness=7
Mind Fog.MOD								DOMAINS:Corruption=5
Mislead.MOD									DOMAINS:Darkness=6
Obscuring Mist.MOD							DOMAINS:Darkness=1
Order's Wrath.MOD								DOMAINS:Law=4
Poison.MOD									DOMAINS:Disease,Rot=4
Power Word (Blind).MOD							DOMAINS:Darkness=8
Power Word (Stun).MOD							DOMAINS:Rot=7
Protection from Chaos.MOD						DOMAINS:Law=1
Protection from Good.MOD						DOMAINS:Evil=1
Protection from Law.MOD							DOMAINS:Chaos=1
Refuge.MOD									DOMAINS:Lust=7
Repulsion.MOD								DOMAINS:Blood=7
Scrying.MOD									DOMAINS:Blood=5
Shatter.MOD									DOMAINS:Chaos,Destruction=2
Shield of Law.MOD								DOMAINS:Law=8
Slay Living.MOD								DOMAINS:Death,Disease,Rot=5
Soul Bind.MOD								DOMAINS:Rot=9
Sphere of Pure Air.MOD			CLASSES:Sorcerer=3
Suggestion.MOD								DOMAINS:Corruption=3
Summon Monster IV.MOD							DOMAINS:Blood=4
Summon Monster IX.MOD							DOMAINS:Chaos,Evil,Law=9
Summon Swarm.MOD								DOMAINS:Plague=2
Time Stop.MOD								DOMAINS:Blood=9
Unholy Aura.MOD								DOMAINS:Blood,Evil=8
Unholy Blight.MOD								DOMAINS:Evil=4
Vampiric Touch.MOD							DOMAINS:Rot=3
Wail of the Banshee.MOD							DOMAINS:Death=9
Wind Walk.MOD								DOMAINS:Blood=6
Wish.MOD									DOMAINS:Corruption,Lust=9
Word of Chaos.MOD								DOMAINS:Chaos=7
