# CVS $Revision: $ $Author: $ -- Sun Apr 22 08:08:02 2012 -- reformated by prettylst.pl v1.39 (build )

# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 14 March 2012

###Block: Crossblooded Sorcerer ability categories
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:Crossblooded Bloodline		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SorcererCrossbloodline	PLURAL:Crossblooded Bloodlines		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Crossblooded Bloodline Power	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Internal			TYPE:CrossbloodlineAbility	PLURAL:Crossblooded Bloodline Powers	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Crossblooded Bonus Spell		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Internal			TYPE:CrossbloodedSpellChoice	PLURAL:Crossblooded Bonus Spells		DISPLAYLOCATION:Class Abilities
# COMMENT: This is now OBSELETE - Leaving in place to not break old Sorcerer Bloodlines
ABILITYCATEGORY:Crossblooded Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Internal			TYPE:CrossbloodlineFeat		PLURAL:Crossblooded Bloodline Feats		DISPLAYLOCATION:Feats

# Addon - Andrew Maitland - 2013-May-08
ABILITYCATEGORY:Crossblooded Sorcerer Bloodline Feat	CATEGORY:Crossblooded Sorcerer Bloodline Feat	VISIBLE:NO
# COMMENT: Expandable by using .MOD TYPE:Blah - more versatile.
ABILITYCATEGORY:Aberrant ~ Crossbloodline Feat		CATEGORY:Crossblooded Sorcerer Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO	DISPLAYLOCATION:Feats	TYPE:AberrantCrossbloodlineFeat	ABILITYLIST:Skill Focus (Knowledge (Dungeoneering))|Silent Spell|Iron Will|Improved Unarmed Strike|Improved Initiative|Improved Grapple|Improved Disarm|Combat Casting
ABILITYCATEGORY:Abyssal ~ Crossbloodline Feat		CATEGORY:Crossblooded Sorcerer Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO	DISPLAYLOCATION:Feats	TYPE:AbyssalCrossbloodlineFeat	ABILITYLIST:Augment Summoning|Cleave|Empower Spell|Great Fortitude|Improved Bull Rush|Improved Sunder|Power Attack|Skill Focus (Knowledge (Planes))
ABILITYCATEGORY:Accursed ~ Crossbloodline Feat		CATEGORY:Crossblooded Sorcerer Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO	DISPLAYLOCATION:Feats	TYPE:AccursedCrossbloodlineFeat	ABILITYLIST:Great Fortitude|Endurance|Combat Casting|Alertness|Blind-Fight|Deceitful|Defensive Combat Training|Mounted Combat
