# CVS $Revision$ $Author$ -- Sun Oct 12 14:41:54 2008 -- reformated by prettylst.pl v1.38 (build 7302)
#SOURCELONG:Mythic Dreams Studios - Dark Inheritance Campaign Setting	SOURCESHORT:Dark Inheritance	SOURCEWEB:http://www.mythicdreams.com

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:Caregiver Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Caregiver_Skills		PLURAL:Caregiver Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Child Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Child_Skills			PLURAL:Child Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Cultist Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Cultist_Skills		PLURAL:Cultist Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Gambler Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Gambler_Skills		PLURAL:Gambler Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Mystic Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Mystic_Skills		PLURAL:Mystic Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Streetperson Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Streetperson_Skills	PLURAL:Streetperson Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Tribal (DI) Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Tribal_DI_Skills		PLURAL:Tribal Occupation Skills		DISPLAYLOCATION:Background

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:Child Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Child				PLURAL:Child Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Cultist Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Cultist			PLURAL:Cultist Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Mystic Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Mystic_Occupation		PLURAL:Mystic Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Tribal (DI) Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Tribal_DI			PLURAL:Tribal Feats				DISPLAYLOCATION:Feats


#
# EoF
#
