# Mon Mar 30 11:44:41 2020 -- reformatted by PCGen TidyLst v1.04.00


# Class Name	Type		Source Page		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Alchemist	TYPE:Class	SOURCEPAGE:p.71	ABILITY:CLASS|AUTOMATIC|Alchemist	DEFINE:AlchemistCL|0	BONUS:HP|CURRENTMAX|8*AlchemistCL	BONUS:VAR|AlchemistCL|classlevel()	DESC:The alchemist throws alchemical bombs and drinks concoctions of his own making during combat. Intelligence, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Alchemist	PREMULT:1,[PRECLASS:1,Alchemist=1],[!PRECLASS:1,TYPE=Class]

#CLASS:Alchemist	TEMPLATE:Alchemy
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS

###Block: Class Progression
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Initial Proficiencies
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemy
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Formula Book
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Research Field
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemist Feats
5	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Field Discovery
7	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Weapon Expertise
7	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Iron Will
7	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Perpetual Infusions
9	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Expertise
9	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alertness
9	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Double Brew
11	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Juggernaut
11	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Perpetual Potency
13	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Greater Field Discovery
13	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Light Armor Expertise
13	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Weapon Specialization
15	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Alacrity
15	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Evasion
17	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Mastery
17	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Perpetual Perfection
19	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Light Armor Mastery


# Class Name	Type		Source Page		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Barbarian	TYPE:Class	SOURCEPAGE:p.83	ABILITY:CLASS|AUTOMATIC|Barbarian	DEFINE:BarbarianCL|0	BONUS:HP|CURRENTMAX|12*BarbarianCL	BONUS:VAR|BarbarianCL|classlevel()	DESC:The barbarian flies into a rage on the battlefield, smashing foes with abandon. Strength, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Barbarian	PREMULT:1,[PRECLASS:1,Barbarian=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Initial Proficiencies
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Rage
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Instinct
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Barbarian Feats
3	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Deny Advantage
5	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Brutality
7	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Juggernaut
7	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Weapon Specialization
9	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Lightning Reflexes
9	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Raging Resistance
11	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Mighty Rage
13	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Greater Juggernaut
13	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Medium Armor Expertise
13	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Weapon Fury
15	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Greater Weapon Specialization
15	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Indomitable Will
17	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Heightened Senses
17	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Quick Rage
19	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Armor of Fury
19	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Devastator


# Class Name	Spell Type			Type		Source Page		Ability				Define		Bonus to HP				Modify VAR				Description
CLASS:Bard		FACT:SpellType|Occult	TYPE:Class	SOURCEPAGE:p.95	ABILITY:CLASS|AUTOMATIC|Bard	DEFINE:BardCL|0	BONUS:HP|CURRENTMAX|8*BardCL	BONUS:VAR|BardCL|classlevel()	DESC:Performance and secrets of the occult enable the bard to distract foes and inspire allies. Charisma, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Bard		PREMULT:1,[PRECLASS:1,Bard=1],[!PRECLASS:1,TYPE=Class]

# Class Name	Spell Stat		Memorize	Use Spell List
CLASS:Bard		SPELLSTAT:CHA	MEMORIZE:NO	SPELLLIST:1|Occult
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Cast Progression
1	CAST:99,2
2	CAST:99,3
3	CAST:99,3,2
4	CAST:99,3,3
5	CAST:99,3,3,2
6	CAST:99,3,3,3
7	CAST:99,3,3,3,2
8	CAST:99,3,3,3,3
9	CAST:99,3,3,3,3,2
10	CAST:99,3,3,3,3,3
11	CAST:99,3,3,3,3,3,2
12	CAST:99,3,3,3,3,3,3
13	CAST:99,3,3,3,3,3,3,2
14	CAST:99,3,3,3,3,3,3,3
15	CAST:99,3,3,3,3,3,3,3,2
16	CAST:99,3,3,3,3,3,3,3,3
17	CAST:99,3,3,3,3,3,3,3,3,2
18	CAST:99,3,3,3,3,3,3,3,3,3
19	CAST:99,3,3,3,3,3,3,3,3,3
20	CAST:99,3,3,3,3,3,3,3,3,3
###Block: Known Progression
1	KNOWN:4,1
2	KNOWN:5,2
3	KNOWN:5,2,2
4	KNOWN:5,2,3
5	KNOWN:5,2,3,2
6	KNOWN:5,2,3,3
7	KNOWN:5,2,3,3,2
8	KNOWN:5,2,3,3,3
9	KNOWN:5,2,3,3,3,2
10	KNOWN:5,2,3,3,3,3
11	KNOWN:5,2,3,3,3,3,2
12	KNOWN:5,2,3,3,3,3,3
13	KNOWN:5,2,3,3,3,3,3,2
14	KNOWN:5,2,3,3,3,3,3,3
15	KNOWN:5,2,3,3,3,3,3,3,2
16	KNOWN:5,2,3,3,3,3,3,3,3
17	KNOWN:5,2,3,3,3,3,3,3,3,2
18	KNOWN:5,2,3,3,3,3,3,3,3,3
19	KNOWN:5,2,3,3,3,3,3,3,3,3
20	KNOWN:5,2,3,3,3,3,3,3,3,3
###Block: Class Progression
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Initial Proficiencies
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Occult Spellcasting
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Spell Repertoire
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Composition Spells
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Muses
2	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Bard Feats
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Lightning Reflexes
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Signature Spells
7	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Expert Spellcaster
9	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Great Fortitude
9	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Resolve
11	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Bard Weapon Expertise
11	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Vigilant Senses
