# Mon Mar 30 11:44:41 2020 -- reformatted by PCGen TidyLst v1.04.00
# ARCANE SPELL LIST

# Cantrips
# Spell Name			Classes of caster

# Spell Name			Classes of caster
Acid splash.MOD			CLASSES:Arcane=0
Chill touch.MOD			CLASSES:Arcane=0
Dancing lights.MOD		CLASSES:Arcane=0
Daze.MOD				CLASSES:Arcane=0
Detect magic.MOD			CLASSES:Arcane=0
Electric arc.MOD			CLASSES:Arcane=0
Ghost sound.MOD			CLASSES:Arcane=0
Light.MOD				CLASSES:Arcane=0
Mage hand.MOD			CLASSES:Arcane=0
Message.MOD				CLASSES:Arcane=0
Prestidigitation.MOD		CLASSES:Arcane=0
Produce flame.MOD			CLASSES:Arcane=0
Ray of frost.MOD			CLASSES:Arcane=0
Read aura.MOD			CLASSES:Arcane=0
Shield.MOD				CLASSES:Arcane=0
Sigil.MOD				CLASSES:Arcane=0
Tanglefoot.MOD			CLASSES:Arcane=0
Telekinetic projectile.MOD	CLASSES:Arcane=0
#1st-Level Spells
Air bubble.MOD			CLASSES:Arcane=1
Alarm.MOD				CLASSES:Arcane=1
Ant haul.MOD			CLASSES:Arcane=1
Burning hands.MOD			CLASSES:Arcane=1
Charm.MOD				CLASSES:Arcane=1
Color spray.MOD			CLASSES:Arcane=1
Command.MOD				CLASSES:Arcane=1
Create water.MOD			CLASSES:Arcane=1
Fear.MOD				CLASSES:Arcane=1
Feather fall.MOD			CLASSES:Arcane=1
Fleet step.MOD			CLASSES:Arcane=1
Floating disk.MOD			CLASSES:Arcane=1
Goblin pox.MOD			CLASSES:Arcane=1
Grease.MOD				CLASSES:Arcane=1
Grim tendrils.MOD			CLASSES:Arcane=1
Gust of wind.MOD			CLASSES:Arcane=1
Hydraulic push.MOD		CLASSES:Arcane=1
Illusory disguise.MOD		CLASSES:Arcane=1
Illusory object.MOD		CLASSES:Arcane=1
Item facade.MOD			CLASSES:Arcane=1
Jump.MOD				CLASSES:Arcane=1
Lock.MOD				CLASSES:Arcane=1
Longstrider.MOD			CLASSES:Arcane=1
Mage armor.MOD			CLASSES:Arcane=1
Magic aura.MOD			CLASSES:Arcane=1
Magic missile.MOD			CLASSES:Arcane=1
Magic weapon.MOD			CLASSES:Arcane=1
Mending.MOD				CLASSES:Arcane=1
Negate aroma.MOD			CLASSES:Arcane=1
Pest form.MOD			CLASSES:Arcane=1
Ray of enfeeblement.MOD		CLASSES:Arcane=1
Shocking grasp.MOD		CLASSES:Arcane=1
Sleep.MOD				CLASSES:Arcane=1
Spider sting.MOD			CLASSES:Arcane=1
Summon animal.MOD			CLASSES:Arcane=1
Summon construct.MOD		CLASSES:Arcane=1
True strike.MOD			CLASSES:Arcane=1
Unseen servant.MOD		CLASSES:Arcane=1
Ventriloquism.MOD			CLASSES:Arcane=1
# 2nd-Level Spells
Acid arrow.MOD			CLASSES:Arcane=2
Blur.MOD				CLASSES:Arcane=2
Comprehend language.MOD		CLASSES:Arcane=2
Continual flame.MOD		CLASSES:Arcane=2
Create food.MOD			CLASSES:Arcane=2
Darkness.MOD			CLASSES:Arcane=2
Darkvision.MOD			CLASSES:Arcane=2
Deafness.MOD			CLASSES:Arcane=2
Dispel magic.MOD			CLASSES:Arcane=2
Endure elements.MOD		CLASSES:Arcane=2
Enlarge.MOD				CLASSES:Arcane=2
False life.MOD			CLASSES:Arcane=2
Flaming sphere.MOD		CLASSES:Arcane=2
Gentle repose.MOD			CLASSES:Arcane=2
Glitterdust.MOD			CLASSES:Arcane=2
Hideous laughter.MOD		CLASSES:Arcane=2
Humanoid form.MOD			CLASSES:Arcane=2
Illusory creature.MOD		CLASSES:Arcane=2
Invisibility.MOD			CLASSES:Arcane=2
Knock.MOD				CLASSES:Arcane=2
Magic mouth.MOD			CLASSES:Arcane=2
Mirror image.MOD			CLASSES:Arcane=2
Misdirection.MOD			CLASSES:Arcane=2
Obscuring mist.MOD		CLASSES:Arcane=2
Phantom steed.MOD			CLASSES:Arcane=2
Resist energy.MOD			CLASSES:Arcane=2
See invisibility.MOD		CLASSES:Arcane=2
Shrink.MOD				CLASSES:Arcane=2
Spectral hand.MOD			CLASSES:Arcane=2
Spider climb.MOD			CLASSES:Arcane=2
Summon elemental.MOD		CLASSES:Arcane=2
Telekinetic maneuver.MOD	CLASSES:Arcane=2
Touch of idiocy.MOD		CLASSES:Arcane=2
Water breathing.MOD		CLASSES:Arcane=2
Water walk.MOD			CLASSES:Arcane=2
Web.MOD				CLASSES:Arcane=2
# 3rd-Level Spells
Bind undead.MOD			CLASSES:Arcane=3
Blindness.MOD			CLASSES:Arcane=3
Clairaudience.MOD			CLASSES:Arcane=3
Dream message.MOD			CLASSES:Arcane=3
Earthbind.MOD			CLASSES:Arcane=3
