# Mon Mar 30 11:44:41 2020 -- reformatted by PCGen TidyLst v1.04.00



# Domain Name	Description
Ambition		DESC:You strive to keep up with and outpace the competition.
Air			DESC:You can control winds and the weather.
Cities		DESC:You have powers over urban environments and denizens.
Confidence		DESC:You overcome your fear and project pride.
Creation		DESC:You have divine abilities related to crafting and art.
Darkness		DESC:You operate in the darkness and take away the light.
Death			DESC:You have the power to end lives and destroy undead.
Destruction		DESC:You become a conduit for divine devastation.
Dreams		DESC:You have the power to enter and manipulate dreams.
Earth			DESC:You control soil and stone.
Family		DESC:You can aid and protect your family and community more effectively.
Fate			DESC:You see and understand hidden inevitabilities.
Fire			DESC:You control flame.
Freedom		DESC:You can liberate yourself and others from shackles and constraints.
Healing		DESC:Your healing magic is particularly potent.
Indulgence		DESC:You feast mightily and can shake off the effects of overindulging.
Knowledge		DESC:You receive divine insights.
Luck			DESC:You're unnaturally lucky and keep out of harm's way.
Magic			DESC:You perform the unexpected and inexplicable.
Might			DESC:Your physical power is bolstered by divine strength.
Moon			DESC:You command powers associated with the moon.
Nature		DESC:You hold power over animals and plants.
Nightmares		DESC:You fill minds with horror and dread.
Pain			DESC:You punish those who displease you with the sharp sting of pain.
Passion		DESC:You can evoke passion, whether as love or lust.
Perfection		DESC:You strive to perfect your mind, body, and spirit.
Protection		DESC:You hold the power to ward yourself and others.
Secrecy		DESC:You protect secrets and keep them hidden.
Sun			DESC:You harness the power of the sun and other light sources and punish undead.
Travel		DESC:You have power over movement and journeys.
Trickery		DESC:You delight in deceiving others and causing mischief.
Truth			DESC:You can pierce lies and discover the truth.
Tyranny		DESC:You wield power to rule and enslave others.
Undeath		DESC:Your magic carries close ties to the undead.
Water			DESC:You control water and bodies of water.
Wealth		DESC:You hold power over wealth, trade, and treasure.
Zeal			DESC:Your inner fire increases your combat prowess.
