# CVS $Revision$ $Author$ -- Fri Feb 26 17:01:43 2010 -- reformated by prettylst.pl v1.39 (build 10232)
SOURCELONG:Guide to the River Kingdoms	SOURCESHORT:GRK	SOURCEWEB:http://paizo.com/pathfinder/pathfinderChronicles/pathfinderRPG/v5748btpy87d8	SOURCEDATE:2010-03
# Original Entry by: Stefan Radermacher

###Block: Regional Affinities
# Template Name							Product Identity?	Visible	Source Page		Region
Regional Affinity (Artume)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.10	REGION:Artume
Regional Affinity (Cordelon)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.11	REGION:Cordelon
Regional Affinity (Daggermark)				NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.12	REGION:Daggermark
Regional Affinity (Gralton)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.16	REGION:Gralton
Regional Affinity (Heibarr)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.20	REGION:Heibarr
Regional Affinity (Hymbria)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.21	REGION:Hymbria
Regional Affinity (Lambreth)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.22	REGION:Lambreth
Regional Affinity (Liberthan)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.26	REGION:Liberthan
Regional Affinity (Loric Fells)				NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.27	REGION:Loric Fells
Regional Affinity (Mivon)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.28	REGION:Mivon
Regional Affinity (Mosswater)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.32	REGION:Mosswater
Regional Affinity (Nystra)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.33	REGION:Nystra
Regional Affinity (Outsea)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.34	REGION:Outsea
Regional Affinity (Pitax)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.38	REGION:Pitax
Regional Affinity (Protectorate of the Black Marquis)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.42	REGION:Protectorate of the Black Marquis
Regional Affinity (Riverton)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.44	REGION:Riverton
Regional Affinity (Scrawny Crossing)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.45	REGION:Scrawny Crossing
Regional Affinity (Sevenarches)				NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.46	REGION:Sevenarches
Regional Affinity (The Stolen Lands)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.50	REGION:The Stolen Lands
Regional Affinity (Touvette)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.54	REGION:Touvette
Regional Affinity (Tymon)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.56	REGION:Tymon
Regional Affinity (Uringen)					NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.60	REGION:Uringen

#
# End
#
