# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:System Reference Document	SOURCESHORT:SRD	SOURCEWEB:http://groups.yahoo.com/group/pcgen/files/3.0%20SRD/	SOURCEDATE:2000-01
# Original Entry: Andrew Maitland

###Block: Perform Skill Choice Selections --------------------------------------
###Temp Location
# Ability Name		Output Name					Category of Ability		Type							Visible
Perform (Ballad)		OUTPUTNAME:Perform Ballad		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Buffoonery)	OUTPUTNAME:Perform Buffoonery		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Chant)		OUTPUTNAME:Perform Chant		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Comedy)		OUTPUTNAME:Perform Comedy		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Dance)		OUTPUTNAME:Perform Dance		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Drama)		OUTPUTNAME:Perform Drama		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Drums)		OUTPUTNAME:Perform Drums		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Epic)		OUTPUTNAME:Perform Epic			CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Flute)		OUTPUTNAME:Perform Flute		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Harp)		OUTPUTNAME:Perform Harp			CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Juggling)	OUTPUTNAME:Perform Juggling		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Limerics)	OUTPUTNAME:Perform Limerics		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Lute)		OUTPUTNAME:Perform Lute			CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Mandolin)	OUTPUTNAME:Perform Mandolin		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Melody)		OUTPUTNAME:Perform Melody		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Mime)		OUTPUTNAME:Perform Mime			CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Ode)		OUTPUTNAME:Perform Ode			CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Pan Pipes)	OUTPUTNAME:Perform Pan Pipes		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Recorder)	OUTPUTNAME:Perform Recorder		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Shalm)		OUTPUTNAME:Perform Shalm		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Storytelling)	OUTPUTNAME:Perform Storytelling	CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
Perform (Trumpet)		OUTPUTNAME:Perform Trumpet		CATEGORY:Special Ability	TYPE:SpecialQuality.PerformSkillChoice	VISIBLE:YES
