# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:System Reference Document	SOURCESHORT:SRD	SOURCEWEB:http://groups.yahoo.com/group/pcgen/files/3.0%20SRD/	SOURCEDATE:2000-01

# Equipment Name	Type		Cost		Weight	Source Page
Coin (Platinum)	TYPE:Coin	COST:10	WT:0.02	SOURCEPAGE:SRDTreasure.rtf
Coin (Gold)		TYPE:Coin	COST:1	WT:0.02	SOURCEPAGE:SRDTreasure.rtf
Coin (Silver)	TYPE:Coin	COST:0.1	WT:0.02	SOURCEPAGE:SRDTreasure.rtf
Coin (Copper)	TYPE:Coin	COST:0.01	WT:0.02	SOURCEPAGE:SRDTreasure.rtf


###Block:Gems
# Equipment Name				Type			Cost		Weight	Source Page
Agate (Banded)				TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Agate (Eye)					TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Agate (Moss)				TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Azurite					TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Quartz (Blue)				TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Hematite					TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Lapis Lazuli				TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Malachite					TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Obsidian					TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Rhodochrosite				TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Tiger Eye					TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Turquoise					TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Pearl (Freshwater)			TYPE:Goods.Gem	COST:10	WT:0		SOURCEPAGE:SRDTreasure.rtf
Bloodstone					TYPE:Goods.Gem	COST:50	WT:0		SOURCEPAGE:SRDTreasure.rtf
Carnelian					TYPE:Goods.Gem	COST:50	WT:0		SOURCEPAGE:SRDTreasure.rtf
Chalcehony					TYPE:Goods.Gem	COST:50	WT:0		SOURCEPAGE:SRDTreasure.rtf
Chrysoprase					TYPE:Goods.Gem	COST:50	WT:0		SOURCEPAGE:SRDTreasure.rtf
Citrine					TYPE:Goods.Gem	COST:50	WT:0		SOURCEPAGE:SRDTreasure.rtf
Iolite					TYPE:Goods.Gem	COST:50	WT:0		SOURCEPAGE:SRDTreasure.rtf
