# CVS $Revision$ $Author$ -- Tue Oct 30 01:48:28 2012 -- reformated by prettylst.pl v1.39 (build 15052)


# Close Assault Engines Cost Dmg Critical Type Crew Speed
# Bridge (Assault/
# Equipment Name			Type					Cost		Special Property
Bridge (Assault/Large)		TYPE:Siege.BridgeAssault	COST:1
Bridge (Assault/Huge)		TYPE:Siege.BridgeAssault	COST:10
Bridge (Assault/Gargantuan)	TYPE:Siege.BridgeAssault	COST:50
Bridge (Assault/Colossal)	TYPE:Siege.BridgeAssault	COST:250
Corvus				TYPE:Siege.Corvus			COST:100	SPROP:Crew 1, Speed Special
# Gallery (
Gallery (Large)			TYPE:Siege.Gallery		COST:250	SPROP:Crew 3, Speed 15 ft.
Gallery (Huge)			TYPE:Siege.Gallery		COST:500	SPROP:Crew 6, Speed 15 ft.
Gallery (Gargantuan)		TYPE:Siege.Gallery		COST:1000	SPROP:Crew 9, Speed 15 ft.
Gallery (Colossal)		TYPE:Siege.Gallery		COST:2000	SPROP:Crew 18, Speed 15 ft.
# Ladder (Escalade/
Ladder (Escalade/Large)		TYPE:Siege.LadderEscalade	COST:5	SPROP:Crew 2, Speed as crew speed
Ladder (Escalade/Huge)		TYPE:Siege.LadderEscalade	COST:10	SPROP:Crew 4, Speed as crew speed
Ladder (Escalade/Gargantuan)	TYPE:Siege.LadderEscalade	COST:50	SPROP:Crew 6, Speed as crew speed
Ladder (Escalade/Colossal)	TYPE:Siege.LadderEscalade	COST:250	SPROP:Crew 8, Speed as crew speed
# Ram (
Ram (Large)				TYPE:Siege.Ram			COST:500	SPROP:Damage 2d6 20/x3 Bludgeoning; Crew 5, Speed 15 ft.
Ram (Huge)				TYPE:Siege.Ram			COST:1000	SPROP:Damage 3d6 20/x3 Bludgeoning; Crew 10, Speed 15 ft.
Ram (Gargantuan)			TYPE:Siege.Ram			COST:2000	SPROP:Damage 6d6 20/x3 Bludgeoning; Crew 20, Speed 15 ft.
Ram (Colossal)			TYPE:Siege.Ram			COST:5000	SPROP:Damage 10d6 20/x3 Bludgeoning; Crew 40, Speed 15 ft.
# Siege Tower
Siege Tower (Large)		TYPE:Siege.SiegeTower		COST:1000	SPROP:Crew 6, Speed 15 ft.
Siege Tower (Huge)		TYPE:Siege.SiegeTower		COST:2000	SPROP:Crew 12, Speed 15 ft.
Siege Tower (Gargantuan)	TYPE:Siege.SiegeTower		COST:5000	SPROP:Crew 24, Speed 15 ft.
Siege Tower (Colossal)		TYPE:Siege.SiegeTower		COST:10000	SPROP:Crew 48, Speed 15 ft.

