# CVS $Revision$ $Author$ -- Mon Nov 10 23:40:38 2008 -- reformated by prettylst.pl v1.38 (build 8180)
#
# Spycraft PCGen dataset by Eddy Anthony
#

SOURCELONG:AEG Spycraft	SOURCESHORT:Spycraft	SOURCEWEB:http://www.crafty-games.com/product_catalog/spycraftfirsted	SOURCEDATE:2003-01

# Language			Type
Afrikaans			TYPE:Spoken
American Sign Languages	TYPE:Spoken
Apache			TYPE:Spoken
Arabic (Egyptian)		TYPE:Spoken
Arabic (Modern)		TYPE:Spoken
Armenian			TYPE:Spoken
Assyrian			TYPE:Spoken
Azerbaijani			TYPE:Spoken
Bantu				TYPE:Spoken
Bosnian			TYPE:Spoken
Cherokee			TYPE:Spoken
Cheyenne			TYPE:Spoken
Chinese			TYPE:Spoken
Croatian			TYPE:Spoken
Czech				TYPE:Spoken
Danish			TYPE:Spoken
Dutch				TYPE:Spoken
English			TYPE:Spoken
Farsi				TYPE:Spoken
Finnnish			TYPE:Spoken
French			TYPE:Spoken
Gaelic			TYPE:Spoken
Georgian			TYPE:Spoken
German			TYPE:Spoken
Greek (Ancient)		TYPE:Spoken
Greek (Modern)		TYPE:Spoken
Haitian			TYPE:Spoken
Hebrew			TYPE:Spoken
Hungarian			TYPE:Spoken
Icelandic			TYPE:Spoken
Inodnesian			TYPE:Spoken
Italian			TYPE:Spoken
Japanese			TYPE:Spoken
Khmer				TYPE:Spoken
Kiwi				TYPE:Spoken
Korean			TYPE:Spoken
Latin				TYPE:Spoken
Latvian			TYPE:Spoken
Lithuanian			TYPE:Spoken
Malay				TYPE:Spoken
Navajo			TYPE:Spoken
Norwegian			TYPE:Spoken
Polish			TYPE:Spoken
Portuguese			TYPE:Spoken
Romanian			TYPE:Spoken
Russian			TYPE:Spoken
Sanskrit			TYPE:Spoken
Serbian			TYPE:Spoken
Slovak			TYPE:Spoken
Slovenian			TYPE:Spoken
Spanish			TYPE:Spoken
Swahili			TYPE:Spoken
Swedish			TYPE:Spoken
Tagalog			TYPE:Spoken
Thai				TYPE:Spoken
Turkish			TYPE:Spoken
Ukranian			TYPE:Spoken
Vietnamese			TYPE:Spoken

#
# End
#
