# CVS $Revision: $ $Author: $ -- Fri Jul 12 13:36:10 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Blood of Fiends	SOURCESHORT:BOF	SOURCEWEB:http://paizo.com/products/btpy8qzz?Pathfinder-Player-Companion-Blood-of-Fiends	SOURCEDATE:2012-04

# Ability Name								Type
CATEGORY=Special Ability|Darkvision ~ Tiefling.MOD		TYPE:AsuraSpawnRacialTrait.DaemonSpawnRacialTrait.DemodandSpawnRacialTrait.DemonSpawnRacialTrait.DevilSpawnRacialTrait.DivSpawnRacialTrait.KytonSpawnRacialTrait.OniSpawnRacialTrait.QlippothSpawnRacialTrait.RakshasaSpawnRacialTrait
CATEGORY=Special Ability|Fiendish Resistance ~ Tiefling.MOD	TYPE:AsuraSpawnRacialTrait.DaemonSpawnRacialTrait.DemodandSpawnRacialTrait.DemonSpawnRacialTrait.DevilSpawnRacialTrait.DivSpawnRacialTrait.KytonSpawnRacialTrait.OniSpawnRacialTrait.QlippothSpawnRacialTrait.RakshasaSpawnRacialTrait
CATEGORY=Special Ability|Fiendish Sorcery ~ Tiefling.MOD	TYPE:AsuraSpawnRacialTrait.DaemonSpawnRacialTrait.DemodandSpawnRacialTrait.DemonSpawnRacialTrait.DevilSpawnRacialTrait.DivSpawnRacialTrait.KytonSpawnRacialTrait.OniSpawnRacialTrait.QlippothSpawnRacialTrait.RakshasaSpawnRacialTrait
CATEGORY=Special Ability|Fiendish Language ~ Tiefling.MOD	TYPE:AsuraSpawnRacialTrait.DaemonSpawnRacialTrait.DemodandSpawnRacialTrait.DemonSpawnRacialTrait.DevilSpawnRacialTrait.DivSpawnRacialTrait.KytonSpawnRacialTrait.OniSpawnRacialTrait.QlippothSpawnRacialTrait.RakshasaSpawnRacialTrait

###Block: Set up Tiefling Asura-Spawn default abilities
# Ability Name									Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD								ABILITY:Internal|AUTOMATIC|Tiefling Asura-Spawn Racial Trait Default|PRERACE:1,Tiefling (Asura-Spawn)

Tiefling Asura-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Asura-Spawn Racial Trait Default.MOD					ABILITY:Asura Spawn Racial Trait|AUTOMATIC|Asura-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Asura-Spawn Racial Trait Default.MOD					ABILITY:Asura Spawn Racial Trait|AUTOMATIC|Asura-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

