#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Fri Jan 29 20:50:52 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Pathfinder Player Companion: Undead Slayer's Handbook	SOURCESHORT:USH	SOURCEWEB:http://paizo.com/products/btpy94vx	SOURCEDATE:2014-04
# ORIGINAL ENTRY: Gwen T. (evilpixie87)
# ORIGINAL ENTRY DATE: 27 May 2016

# ==============================
# New Kits
# ==============================

STARTPACK:Gravedigger's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:265
GEAR:Chain (10 Ft)		QTY:2	SIZE:PC	LOCATION:Carried
GEAR:Lock (Good)			QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Alchemical Cement		QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Shovel (Folding)		QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Stubborn Nail		QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Holy Text (Typical)	QTY:1	SIZE:PC	LOCATION:Carried

STARTPACK:Ghost Hunter's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:670
GEAR:Waterproof Bag			QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Candles (10)				QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Holy Water (Flask)			QTY:3	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Potion of Lesser Restoration	QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Crowbar				QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Shovel (Folding)			QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Sunrod					QTY:4	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Spiritbane Spike			QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Holy Symbol				QTY:1	SIZE:PC	LOCATION:Waterproof Bag	EQMOD:Holy Symbol (Wooden)

STARTPACK:Light Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:170
GEAR:Ioun Torch	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Flash Powder	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Sunrod		QTY:2	SIZE:PC	LOCATION:Carried
GEAR:Torch		QTY:4	SIZE:PC	LOCATION:Carried
GEAR:Tindertwig	QTY:6	SIZE:PC	LOCATION:Carried

STARTPACK:Pyramid Buster's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:310
GEAR:Chalk (1 Piece)		QTY:3	SIZE:PC	LOCATION:Carried
GEAR:Parchment (Sheet)		QTY:5	SIZE:PC	LOCATION:Carried
GEAR:Drug (Synthetic Mumia)	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Alchemist's Fire (Flask)	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Tangleburn Bag		QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Sunrod				QTY:2	SIZE:PC	LOCATION:Carried

STARTPACK:Seance Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:290
GEAR:Board Game (Common)		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Candles (10)				QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Candlestick				QTY:10	SIZE:PC	LOCATION:Carried
GEAR:Outfit (Entertainer's)		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Harrow Deck				QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Magnet					QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Incense				QTY:10	SIZE:PC	LOCATION:Carried
GEAR:Scroll of Prestidigitation	QTY:2		SIZE:PC	LOCATION:Carried
GEAR:Scroll of Augury			QTY:1		SIZE:PC	LOCATION:Carried

STARTPACK:Skeleton Slayer's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:120
GEAR:Acid (Flask)		QTY:3	SIZE:PC	LOCATION:Carried
GEAR:Club			QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Sling			QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Bullets (Sling/10)	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Holy Water (Flask)	QTY:2	SIZE:PC	LOCATION:Carried
GEAR:Tanglefoot Bag	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Rope (Hemp/50 ft)	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Crowbar		QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Holy Symbol		QTY:1	SIZE:PC	LOCATION:Carried	EQMOD:Holy Symbol (Wooden)

STARTPACK:Undeath Aid Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:500
GEAR:Waterproof Bag	QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Antiplague (Vial)	QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Antitoxin (Vial)	QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Padzahr		QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Soul Stimulant	QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Twitch Tonic		QTY:1	SIZE:PC	LOCATION:Waterproof Bag

STARTPACK:Zombie Slayer's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:170
GEAR:Waterproof Bag			QTY:1	SIZE:PC	LOCATION:Carried
GEAR:Shovel (Folding)			QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Oil (1 Pint Flask)			QTY:2	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Lantern (Bullseye/Waterproof)	QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Alchemist's Fire (Flask)		QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Holy Water (Flask)			QTY:2	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Rope (Hemp/50 ft)			QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Crowbar				QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Hammer					QTY:1	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Antiplague (Vial)			QTY:2	SIZE:PC	LOCATION:Waterproof Bag
GEAR:Holy Symbol				QTY:1	SIZE:PC	LOCATION:Waterproof Bag	EQMOD:Holy Symbol (Wooden)
