# CVS $Revision$ $Author$ -- Sun Mar 18 17:17:27 2012 -- reformated by prettylst.pl v1.39 (build 15052)
# SOURCELONG:Revised (v.3.5) System Reference Document	SOURCESHORT:RSRD	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35

###Block: Epic Core Class Feat Pools
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object					Plural description for UI	Display Location
ABILITYCATEGORY:Epic Barbarian Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicBarbarian				PLURAL:Epic Barbarian Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Bard Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicBard					PLURAL:Epic Bard Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Cleric Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicCleric					PLURAL:Epic Cleric Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Druid Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicDruid					PLURAL:Epic Druid Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Fighter Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicFighter.Fighter			PLURAL:Epic Fighter Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Monk Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicMonk					PLURAL:Epic Monk Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Paladin Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicPaladin					PLURAL:Epic Paladin Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Ranger Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicRanger					PLURAL:Epic Ranger Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Rogue Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicRogue.RogueAbilities			PLURAL:Epic Rogue Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Sorcerer Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicSorcerer					PLURAL:Epic Sorcerer Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Wizard Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicWizard.ItemCreation.Metamagic	PLURAL:Epic Wizard Feats	DISPLAYLOCATION:Feats

###Block: Epic Core Class Feat Pools
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Epic Arcane Archer Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicArcaneArcher		PLURAL:Epic Arcane Archer Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Arcane Trickster Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicArcaneTrickster	PLURAL:Epic Arcane Trickster Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Epic Assassin Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:EpicAssassin			PLURAL:Epic Assassin Feats		DISPLAYLOCATION:Feats
