# CVS $Revision$ $Author$ -- Fri May  7 14:06:38 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2011-01-01
#.MOD							TYPE:AdeptChoice.NormalSkill		ABILITY:Internal|VIRTUAL|Make CSKILL ~ x1|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(x1),Full Skill Buy(x1)

#Block: RSRD SKILLS
# Skill Name					Type					Ability																																	Bonus to skill
Acrobatics.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Acrobatics|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Acrobatics),Full Skill Buy(Acrobatics)
Appraise.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Appraise|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Appraise),Full Skill Buy(Appraise)
Bluff.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Bluff|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Bluff),Full Skill Buy(Bluff)
Climb.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Climb|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Climb),Full Skill Buy(Climb)
Craft (Alchemy).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Alchemy)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Alchemy)),Full Skill Buy(Craft (Alchemy))
Craft (Armor).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Armor)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Armor)),Full Skill Buy(Craft (Armor))
Craft (Baskets).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Baskets)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Baskets)),Full Skill Buy(Craft (Baskets))
Craft (Blacksmithing).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Blacksmithing)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Blacksmithing)),Full Skill Buy(Craft (Blacksmithing))
Craft (Books).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Books)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Books)),Full Skill Buy(Craft (Books))
Craft (Bows).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Bows)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Bows)),Full Skill Buy(Craft (Bows))
