# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)

#.MOD	PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30

# Skill Name		Type				Var. Max. Value												Define
Appraise.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Appraise"),MaxRankAppraise				DEFINE:MaxRankAppraise|var("MaxRank")-30
Balance.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Balance"),MaxRankBalance					DEFINE:MaxRankBalance|var("MaxRank")-30
Bluff.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Bluff"),MaxRankBluff					DEFINE:MaxRankBluff|var("MaxRank")-30
Boating.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Boating"),MaxRankBoating					DEFINE:MaxRankBoating|var("MaxRank")-30
Bureaucracy.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Bureaucracy"),MaxRankBureaucracy			DEFINE:MaxRankBureaucracy|var("MaxRank")-30
Climb.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Climb"),MaxRankClimb					DEFINE:MaxRankClimb|var("MaxRank")-30
Computers.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Computers"),MaxRankComputers				DEFINE:MaxRankComputers|var("MaxRank")-30
Concentration.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Concentration"),MaxRankConcentration			DEFINE:MaxRankConcentration|var("MaxRank")-30
Cryptography.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Cryptography"),MaxRankCryptography			DEFINE:MaxRankCryptography|var("MaxRank")-30
Cultures.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Cultures"),MaxRankCultures				DEFINE:MaxRankCultures|var("MaxRank")-30
Demolitions.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Demolitions"),MaxRankDemolitions			DEFINE:MaxRankDemolitions|var("MaxRank")-30
Diplomacy.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Diplomacy"),MaxRankDiplomacy				DEFINE:MaxRankDiplomacy|var("MaxRank")-30
Disguise.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Disguise"),MaxRankDisguise				DEFINE:MaxRankDisguise|var("MaxRank")-30
Driver.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Driver"),MaxRankDriver					DEFINE:MaxRankDriver|var("MaxRank")-30
Electronics.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Electronics"),MaxRankElectronics			DEFINE:MaxRankElectronics|var("MaxRank")-30
Escape Artist.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Escape Artist"),MaxRankEscape_Artist			DEFINE:MaxRankEscape_Artist|var("MaxRank")-30
First Aid.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","First Aid"),MaxRankFirst_Aid				DEFINE:MaxRankFirst_Aid|var("MaxRank")-30
