# CVS $Revision: $ $Author: $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00

# Group Firearms - Single Feat
# Weapon Name	Type
Arc Pistol		TYPE:Firearms.Proficiency_Group_Firearms
Arc Rifle		TYPE:Firearms.Proficiency_Group_Firearms
Autograpnel		TYPE:Firearms.Proficiency_Group_Firearms
Dart Gun		TYPE:Firearms.Proficiency_Group_Firearms
Death Ray		TYPE:Firearms.Proficiency_Group_Firearms
EMP Pistol		TYPE:Firearms.Proficiency_Group_Firearms
EMP Rifle		TYPE:Firearms.Proficiency_Group_Firearms
Flare Gun		TYPE:Firearms.Proficiency_Group_Firearms
Gravity Pistol	TYPE:Firearms.Proficiency_Group_Firearms
Gravity Rifle	TYPE:Firearms.Proficiency_Group_Firearms
Id Rifle		TYPE:Firearms.Proficiency_Group_Firearms
Laser Pistol	TYPE:Firearms.Proficiency_Group_Firearms
Laser Rifle		TYPE:Firearms.Proficiency_Group_Firearms
Mindrender		TYPE:Firearms.Proficiency_Group_Firearms
Sonic Pistol	TYPE:Firearms.Proficiency_Group_Firearms
Sonic Rifle		TYPE:Firearms.Proficiency_Group_Firearms
Stun Gun		TYPE:Firearms.Proficiency_Group_Firearms
Zero Pistol		TYPE:Firearms.Proficiency_Group_Firearms
Zero Rifle		TYPE:Firearms.Proficiency_Group_Firearms


# Group Heavy Weaponry - Single Feat
Atom Gun		TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry
Grenade Launcher	TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry
Nuclear Resonator	TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry
Plasmathrower	TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry
Rail Gun		TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry
Rocket Launcher	TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry
Vortex Gun		TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry
X-Laser		TYPE:Heavy Weaponry.Proficiency_Group_Heavy_Weaponry


Chainsaw		TYPE:Exotic
Laser Torch		TYPE:Martial

Firearms		TYPE:Exotic
Heavy Weaponry	TYPE:Exotic
