# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Bastion Press - Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://www.bastionpress.com

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template				Special Ability											Description		Stackable?	Multiple?	Cost		Source Page
Clear Skies			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		SA:Capable spellcasting (electricity)	SA:Crude spellcasting (acid)		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Cyclone			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		SA:+1 to Attack rolls 3x/day	SA:-1 to Attack rolls 3x/day				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Hurricane		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		SA:+1 to Damage rolls 3x/day	SA:-1 to Damage rolls 3x/day				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Typhoon			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		SA:+1 to AC rolls 3x/day	SA:-1 to AC rolls 3x/day				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Winds			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		SA:+1 to Reflex saving throws	SA:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Animal
The Bird			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	SA:+1 to Reflex saving throws	SA:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Insect			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	SA:+1 to AC 3x/day	SA:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Mammal			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	SA:+1 to Damage rolls 3x/day	SA:-1 to Attack rolls 3x/day				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Reptile			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	SA:+1 to AC 3x/day	SA:-1 to Atteck rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Rodent			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	SA:+1 to Reflex saving throws	SA:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Autumn
Autumnal Splendor		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	SA:+1 to Reflex saving throws	SA:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Falling Leaves		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	SA:Effective spellcasting (sonic)	SA:-1 to Ineffective spellcasting (force)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Darkening Skies		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	SA:Capable spellcasting (acid)	SA:-1 to Crude spellcasting (electricity)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Harvest			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	SA:+1 to Attack rolls 3x/day	SA:-1 to AC 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Renewal			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	SA:+1 to Damage rolls 3x/day	SA:-1 to Attack rolls 3x/day				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Darkness
The Moon			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	SA:Practiced spell (chaos)	SA:Amateur spell (law)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Night			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	SA:Effective spellcasting (cold)	SA:Ineffective spellcasting (fire)		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Shadows			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	SA:+1 to AC 3x/day	SA:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Stars			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	SA:Capable spellcasting (darkness)	SA:Crude spellcasting (light)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Void			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	SA:+1 to Damage rolls 3x/day	SA:-1 to Attack rolls 3x/day				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Dawn
The Brilliant Sky		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	SA:+1 to Will saving throws	SA:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Emerging Rays		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	SA:+1 to Attack rolls 3x/day	SA:-1 to Damage rolls 3x/day				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Resplendent Beams		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	SA:+1 to AC 3x/day	SA:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
