# CVS $Revision$ $Author$ -- Wed Mar 12 00:21:47 2008 -- reformated by prettylst.pl v1.38 (build 5225)
SOURCELONG:Bastion Press - Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://www.bastionpress.com

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
Clear Skies			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Air		SAB:Capable spellcasting (electricity)	SAB:Crude spellcasting (acid)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Cyclone			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Air		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Hurricane		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Air		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Typhoon			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Air		SAB:+1 to AC rolls 3x/day	SAB:-1 to AC rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Winds			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Air		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Animal
The Bird			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Insect			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Mammal			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Reptile			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to AC 3x/day	SAB:-1 to Atteck rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Rodent			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Autumn
Autumnal Splendor		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Autumn		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Falling Leaves		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Autumn		SAB:Effective spellcasting (sonic)	SAB:-1 to Ineffective spellcasting (force)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Darkening Skies		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Autumn		SAB:Capable spellcasting (acid)	SAB:-1 to Crude spellcasting (electricity)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Harvest			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Autumn		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Renewal			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Autumn		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Darkness
The Moon			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Darkness	SAB:Practiced spell (chaos)	SAB:Amateur spell (law)						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Night			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Darkness	SAB:Effective spellcasting (cold)	SAB:Ineffective spellcasting (fire)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Shadows			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Darkness	SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day							DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Stars			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Darkness	SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Void			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Darkness	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Dawn
The Brilliant Sky		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Emerging Rays		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Resplendent Beams		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day							DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Rising Sun		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Capable spellcasting (fore)	SAB:-1 to Crude spellcasting (cold)		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Twilight		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Dusk
The Fleeting Rays		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Gloom			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Luminous Clouds	TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day							DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Retreating Luster		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
