# CVS $Revision: $ $Author: $ -- Sat Feb 20 12:41:35 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Inner Sea Gods	SOURCESHORT:ISG	SOURCEDATE:2014-04
# Original Entry by: Andrew Maitland, Stefan Radermacher

# Domain Name		Multiple Requirements										Ability																																																													Source Page		Description																						List of Domain Spells by Level																																																																																														FACT
Arson Subdomain		PREMULT:1,[PREDOMAIN:1,Arson Subdomain],[PREVARLT:FireDomain,1]			ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Call Fire|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Fire)|PREVARGTEQ:DomainFireAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Fire Resistance|PREVARGTEQ:DomainFireAbilityTriggerLVL,6	ABILITY:Internal|AUTOMATIC|Domain Base ~ Fire										SOURCEPAGE:p.224	DESC:You express your devotion by setting the world ablaze.														SPELLLEVEL:DOMAIN|Arson Subdomain=1|Burning Hands	SPELLLEVEL:DOMAIN|Arson Subdomain=2|Flaming Sphere	SPELLLEVEL:DOMAIN|Arson Subdomain=3|Fireball	SPELLLEVEL:DOMAIN|Arson Subdomain=4|Wall of Fire	SPELLLEVEL:DOMAIN|Arson Subdomain=5|Flame Strike	SPELLLEVEL:DOMAIN|Arson Subdomain=6|Fire Seeds	SPELLLEVEL:DOMAIN|Arson Subdomain=7|Delayed Blast Fireball	SPELLLEVEL:DOMAIN|Arson Subdomain=8|Incendiary Cloud	SPELLLEVEL:DOMAIN|Arson Subdomain=9|Elemental Swarm (Fire Spell Only)																	FACT:Domain|Fire
Cooperation Subdomain	PREMULT:1,[PREDOMAIN:1,Cooperation Subdomain],[PREVARLT:CommunityDomain,1]	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Synergistic Touch|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Community)|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Unity|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Community							SOURCEPAGE:p.224	DESC:You know that you and your allies are strongest when you work together toward a common goal.							SPELLLEVEL:DOMAIN|Cooperation Subdomain=1|Borrow Skill	SPELLLEVEL:DOMAIN|Cooperation Subdomain=2|Share Language	SPELLLEVEL:DOMAIN|Cooperation Subdomain=3|Coordinated Effort	SPELLLEVEL:DOMAIN|Cooperation Subdomain=4|Imbue with Spell Ability	SPELLLEVEL:DOMAIN|Cooperation Subdomain=5|Telepathic Bond	SPELLLEVEL:DOMAIN|Cooperation Subdomain=6|Heroes' Feast	SPELLLEVEL:DOMAIN|Cooperation Subdomain=7|Refuge	SPELLLEVEL:DOMAIN|Cooperation Subdomain=8|Cure Critical Wounds (Mass)	SPELLLEVEL:DOMAIN|Cooperation Subdomain=9|Miracle							FACT:Domain|Community
Dark Tapestry Subdomain	PREMULT:1,[PREDOMAIN:1,Dark Tapestry Subdomain],[PREVARLT:VoidDomain,1]		ABILITY:Special Ability|AUTOMATIC|Domain Power ~ It Came from Beyond|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Void)|PREVARGTEQ:DomainVoidAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Part the Veil|PREVARGTEQ:DomainVoidAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Void									SOURCEPAGE:p.224	DESC:You worship not only the vast emptiness of space, but the sinister and alien powers that reside therein.					SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=1|Feather Fall	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=2|Summon Monster II	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=3|Fly	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=4|Planar Binding (Lesser)	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=5|Summon Monster V	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=6|Planar Binding	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=7|Insanity	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=8|Planar Binding (Greater)	SPELLLEVEL:DOMAIN|Dark Tapestry Subdomain=9|Interplanetary Teleport					FACT:Domain|Void
Dragon Subdomain		PREMULT:1,[PREDOMAIN:1,Dragon Subdomain],[PREVARLT:ScalykindDomain,1]		ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Venomous Stare|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Scalykind)|PREVARGTEQ:DomainScalykindAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Dragonbreath|PREVARGTEQ:DomainScalykindAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Scalykind							SOURCEPAGE:p.224	DESC:You have innate connection to dragons and their kin.														SPELLLEVEL:DOMAIN|Dragon Subdomain=1|Magic Fang	SPELLLEVEL:DOMAIN|Dragon Subdomain=2|Animal Trance	SPELLLEVEL:DOMAIN|Dragon Subdomain=3|Draconic Reservoir	SPELLLEVEL:DOMAIN|Dragon Subdomain=4|Dragon's Breath	SPELLLEVEL:DOMAIN|Dragon Subdomain=5|Animal Growth (Reptiles Only)	SPELLLEVEL:DOMAIN|Dragon Subdomain=6|Form of the Dragon I	SPELLLEVEL:DOMAIN|Dragon Subdomain=7|Creeping Doom	SPELLLEVEL:DOMAIN|Dragon Subdomain=8|Animal Shapes (Reptiles Only)	SPELLLEVEL:DOMAIN|Dragon Subdomain=9|Shapechange												FACT:Domain|Scalykind
Entropy Subdomain		PREMULT:1,[PREDOMAIN:1,Entropy Subdomain],[PREVARLT:ChaosDomain,1]		ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Touch of Chaos|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Chaos)|PREVARGTEQ:DomainChaosAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Hasten the End|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Chaos								SOURCEPAGE:p.224	DESC:You seek to bring about the end of all things.															SPELLLEVEL:DOMAIN|Entropy Subdomain=1|Entropic Shield	SPELLLEVEL:DOMAIN|Entropy Subdomain=2|Align Weapon (Chaos Only)	SPELLLEVEL:DOMAIN|Entropy Subdomain=3|Dispel Magic	SPELLLEVEL:DOMAIN|Entropy Subdomain=4|Chaos Hammer	SPELLLEVEL:DOMAIN|Entropy Subdomain=5|Confusion	SPELLLEVEL:DOMAIN|Entropy Subdomain=6|Animate Objects	SPELLLEVEL:DOMAIN|Entropy Subdomain=7|Destruction	SPELLLEVEL:DOMAIN|Entropy Subdomain=8|Cloak of Chaos	SPELLLEVEL:DOMAIN|Entropy Subdomain=9|Summon Monster IX (Chaos Spell Only)														FACT:Domain|Chaos
Fear Subdomain		PREMULT:1,[PREDOMAIN:1,Fear Subdomain],[PREVARLT:EvilDomain,1]			ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Touch of Evil|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Evil)|PREVARGTEQ:DomainEvilAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Feed on Fear|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Evil										SOURCEPAGE:p.225	DESC:You relish the feeling of power that rises in you when your enemies quake before you in fear.							SPELLLEVEL:DOMAIN|Fear Subdomain=1|Cause Fear	SPELLLEVEL:DOMAIN|Fear Subdomain=2|Align Weapon (Evil Only)	SPELLLEVEL:DOMAIN|Fear Subdomain=3|Scare	SPELLLEVEL:DOMAIN|Fear Subdomain=4|Fear	SPELLLEVEL:DOMAIN|Fear Subdomain=5|Dispel Good	SPELLLEVEL:DOMAIN|Fear Subdomain=6|Create Undead	SPELLLEVEL:DOMAIN|Fear Subdomain=7|Blasphemy	SPELLLEVEL:DOMAIN|Fear Subdomain=8|Unholy Aura	SPELLLEVEL:DOMAIN|Fear Subdomain=9|Summon Monster IX (Evil Spell Only)																							FACT:Domain|Evil
Flotsam Subdomain		PREMULT:1,[PREDOMAIN:1,Flotsam Subdomain],[PREVARLT:WaterDomain,1]		ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Icicle|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Water)|PREVARGTEQ:DomainWaterAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Sift|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,6	ABILITY:Internal|AUTOMATIC|Domain Base ~ Water												SOURCEPAGE:p.225	DESC:You know that the sea's bounty takes many forms, including hidden treasures among refuse.								SPELLLEVEL:DOMAIN|Flotsam Subdomain=1|Obscuring Mist	SPELLLEVEL:DOMAIN|Flotsam Subdomain=2|Make Whole	SPELLLEVEL:DOMAIN|Flotsam Subdomain=3|Water Breathing	SPELLLEVEL:DOMAIN|Flotsam Subdomain=4|Control Water	SPELLLEVEL:DOMAIN|Flotsam Subdomain=5|Major Creation	SPELLLEVEL:DOMAIN|Flotsam Subdomain=6|Animate Objects	SPELLLEVEL:DOMAIN|Flotsam Subdomain=7|Elemental Body IV (Water Only)	SPELLLEVEL:DOMAIN|Flotsam Subdomain=8|Horrid Wilting	SPELLLEVEL:DOMAIN|Flotsam Subdomain=9|Elemental Swarm (Water Spell Only)												FACT:Domain|Water
Friendship Subdomain	PREMULT:1,[PREDOMAIN:1,Friendship Subdomain],[PREVARLT:GoodDomain,1]		ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Powerful Bond|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Good)|PREVARGTEQ:DomainGoodAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Holy Lance|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Good										SOURCEPAGE:p.225	DESC:Your faith in your friends bolsters the strength of your faith in your god.										SPELLLEVEL:DOMAIN|Friendship Subdomain=1|Protection from Evil	SPELLLEVEL:DOMAIN|Friendship Subdomain=2|Shield Other	SPELLLEVEL:DOMAIN|Friendship Subdomain=3|Magic Circle against Evil	SPELLLEVEL:DOMAIN|Friendship Subdomain=4|Holy Smite	SPELLLEVEL:DOMAIN|Friendship Subdomain=5|Telepathic Bond	SPELLLEVEL:DOMAIN|Friendship Subdomain=6|Blade Barrier	SPELLLEVEL:DOMAIN|Friendship Subdomain=7|Holy Word	SPELLLEVEL:DOMAIN|Friendship Subdomain=8|Holy Aura	SPELLLEVEL:DOMAIN|Friendship Subdomain=9|Summon Monster IX (Good Spell Only)								FACT:Domain|Good
Isolation Subdomain	PREMULT:1,[PREDOMAIN:1,Isolation Subdomain],[PREVARLT:VoidDomain,1]		ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Guarded Mind|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Void)|PREVARGTEQ:DomainVoidAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Aura of Isolation|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Void									SOURCEPAGE:p.225	DESC:You find strength in the solitude found in the remote corners of the universe.										SPELLLEVEL:DOMAIN|Isolation Subdomain=1|Feather Fall	SPELLLEVEL:DOMAIN|Isolation Subdomain=2|Levitate	SPELLLEVEL:DOMAIN|Isolation Subdomain=3|Fly	SPELLLEVEL:DOMAIN|Isolation Subdomain=4|Crushing Despair	SPELLLEVEL:DOMAIN|Isolation Subdomain=5|Overland Flight	SPELLLEVEL:DOMAIN|Isolation Subdomain=6|Wall of Force	SPELLLEVEL:DOMAIN|Isolation Subdomain=7|Reverse Gravity	SPELLLEVEL:DOMAIN|Isolation Subdomain=8|Prismatic Wall	SPELLLEVEL:DOMAIN|Isolation Subdomain=9|Interplanetary Teleport														FACT:Domain|Void
Judgment Subdomain	PREMULT:1,[PREDOMAIN:1,Judgment Subdomain],[PREVARLT:LawDomain,1]			ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Chastisement|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Law)|PREVARGTEQ:DomainLawAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Staff of Order|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Law									SOURCEPAGE:p.226	DESC:The balance of law is paramount to you, and you ensure that transgressions are punished appropriately.						SPELLLEVEL:DOMAIN|Judgment Subdomain=1|Protection from Chaos	SPELLLEVEL:DOMAIN|Judgment Subdomain=2|Castigate	SPELLLEVEL:DOMAIN|Judgment Subdomain=3|Magic Circle against Chaos	SPELLLEVEL:DOMAIN|Judgment Subdomain=4|Rebuke	SPELLLEVEL:DOMAIN|Judgment Subdomain=5|Mark of Justice	SPELLLEVEL:DOMAIN|Judgment Subdomain=6|Hold Monster	SPELLLEVEL:DOMAIN|Judgment Subdomain=7|Dictum	SPELLLEVEL:DOMAIN|Judgment Subdomain=8|Shield of Law	SPELLLEVEL:DOMAIN|Judgment Subdomain=9|Summon Monster IX (Law Spell Only)												FACT:Domain|Law
Loyalty Subdomain		PREMULT:1,[PREDOMAIN:1,Loyalty Subdomain],[PREVARLT:LawDomain,1]			ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Touch of Loyalty|!PREABILITY:1,CATEGORY=Internal,DisableDomainLVL1 (Law)|PREVARGTEQ:DomainLawAbilityTriggerLVL,1	ABILITY:Special Ability|AUTOMATIC|Domain Power ~ Staff of Order|PREVARGTEQ:DomainCommunityAbilityTriggerLVL,8	ABILITY:Internal|AUTOMATIC|Domain Base ~ Law									SOURCEPAGE:p.226	DESC:Nothing can dissuade you and your allies from fulfilling your sworn duty.										SPELLLEVEL:DOMAIN|Loyalty Subdomain=1|Remove Fear	SPELLLEVEL:DOMAIN|Loyalty Subdomain=2|Align Weapon (Law Only)	SPELLLEVEL:DOMAIN|Loyalty Subdomain=3|Magic Circle against Chaos	SPELLLEVEL:DOMAIN|Loyalty Subdomain=4|Order's Wrath	SPELLLEVEL:DOMAIN|Loyalty Subdomain=5|Command (Greater)	SPELLLEVEL:DOMAIN|Loyalty Subdomain=6|Hold Monster	SPELLLEVEL:DOMAIN|Loyalty Subdomain=7|Dictum	SPELLLEVEL:DOMAIN|Loyalty Subdomain=8|Shield of Law	SPELLLEVEL:DOMAIN|Loyalty Subdomain=9|Summon Monster IX (Law Spell Only)											FACT:Domain|Law
