# CVS $Revision$ $Author$ -- Thu Apr 22 12:20:08 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Pathfinder Chronicles: Campaign Setting	SOURCESHORT:PFCS	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderChronicles/35E/v5748btpy84eo&source=search	SOURCEDATE:2008-08


# Template Name			Hit Dice Size		Visible		Required Language	Automatic Languages
Taldane as Common Language					VISIBLE:DISPLAY	PRELANG:1,Common	AUTO:LANG|Taldane
Holy Warrior Hit Dice		HITDIE:10|CLASS=Cleric	VISIBLE:NO

###Block: Human Ethnicities
# Template Name			Visible	Source Page		Bonus to Ability Pool			Subrace
Human Ethnicity			VISIBLE:NO				BONUS:ABILITYPOOL|Human Ethnicity|1
Human Ethnicity (Azlanti)	VISIBLE:NO	SOURCEPAGE:p.18							SUBRACE:Azlanti
Human Ethnicity (Chelaxian)	VISIBLE:NO	SOURCEPAGE:p.20							SUBRACE:Chelaxian
Human Ethnicity (Garundi)	VISIBLE:NO	SOURCEPAGE:p.22							SUBRACE:Garundi
Human Ethnicity (Keleshite)	VISIBLE:NO	SOURCEPAGE:p.24							SUBRACE:Keleshite
Human Ethnicity (Kellid)	VISIBLE:NO	SOURCEPAGE:p.26							SUBRACE:Kellid
Human Ethnicity (Mwangi)	VISIBLE:NO	SOURCEPAGE:p.28							SUBRACE:Mwangi
Human Ethnicity (Taldan)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Taldan
Human Ethnicity (Tian)		VISIBLE:NO	SOURCEPAGE:p.32							SUBRACE:Tian
Human Ethnicity (Ulfen)		VISIBLE:NO	SOURCEPAGE:p.34							SUBRACE:Ulfen
Human Ethnicity (Varisian)	VISIBLE:NO	SOURCEPAGE:p.36							SUBRACE:Varisian
Human Ethnicity (Vudrani)	VISIBLE:NO	SOURCEPAGE:p.38							SUBRACE:Vudrani

###Block: Regional Affinities
# Template Name				Visible	Source Page		Region
Regional Affinity (Absalom)		VISIBLE:NO	SOURCEPAGE:p.54	REGION:Absalom
Regional Affinity (Alkenstar)		VISIBLE:NO	SOURCEPAGE:p.58	REGION:Alkenstar
Regional Affinity (Andoran)		VISIBLE:NO	SOURCEPAGE:p.60	REGION:Andoran
Regional Affinity (Belkzen)		VISIBLE:NO	SOURCEPAGE:p.64	REGION:Belkzen
Regional Affinity (Brevoy)		VISIBLE:NO	SOURCEPAGE:p.66	REGION:Brevoy
Regional Affinity (Cheliax)		VISIBLE:NO	SOURCEPAGE:p.68	REGION:Cheliax
Regional Affinity (Druma)		VISIBLE:NO	SOURCEPAGE:p.72	REGION:Druma
Regional Affinity (Galt)		VISIBLE:NO	SOURCEPAGE:p.74	REGION:Galt
Regional Affinity (Geb)			VISIBLE:NO	SOURCEPAGE:p.76	REGION:Geb
Regional Affinity (Hermea)		VISIBLE:NO	SOURCEPAGE:p.78	REGION:Hermea
Regional Affinity (Irrisen)		VISIBLE:NO	SOURCEPAGE:p.80	REGION:Irrisen
Regional Affinity (Isger)		VISIBLE:NO	SOURCEPAGE:p.82	REGION:Isger
Regional Affinity (Jalmeray)		VISIBLE:NO	SOURCEPAGE:p.84	REGION:Jalmeray
