#  Sun Sep 23 13:50:08 2018 -- reformated by PCGen PrettyLST v6.06.00

# Racial Traits
# Ability Category					Visible		Editable?		Change Pool?	Category of Object	Type of Object					Display Location
ABILITYCATEGORY:Astrazoan Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Astrazoan Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Bantrid Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Bantrid Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:Borai Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Borai Racial Trait				DISPLAYLOCATION:Character
ABILITYCATEGORY:Khizar Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Khizar Racial Trait			DISPLAYLOCATION:Character
ABILITYCATEGORY:SRO Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:SRO Racial Trait				DISPLAYLOCATION:Character
ABILITYCATEGORY:Strix Racial Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:Strix Racial Trait				DISPLAYLOCATION:Character
ABILITYCATEGORY:SRO Subrace Selection		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Racial Trait	TYPE:SRO Subrace Selection			DISPLAYLOCATION:Character

#Theme
ABILITYCATEGORY:SOLAR DISCIPLE Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:SOLAR DISCIPLE Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:ROBOTICIST Theme Benefit		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:ROBOTICIST Theme Benefit			DISPLAYLOCATION:Character
ABILITYCATEGORY:WILD WARDEN Theme Benefit		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:WILD WARDEN Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:CORPORATE AGENT Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:CORPORATE AGENT Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:GLADIATOR Theme Benefit		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:GLADIATOR Theme Benefit			DISPLAYLOCATION:Character
ABILITYCATEGORY:CYBERBORN Theme Benefit		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:CYBERBORN Theme Benefit			DISPLAYLOCATION:Character
ABILITYCATEGORY:TEMPERED PILGRIM Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:TEMPERED PILGRIM Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:SPACE PIRATE Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:SPACE PIRATE Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:DEATH TOUCHED Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:DEATH TOUCHED Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:DRAGONBLOOD Theme Benefit		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:DRAGONBLOOD Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:DREAM PROPHET Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:DREAM PROPHET Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:BIOTECHNICIAN Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:BIOTECHNICIAN Theme Benefit		DISPLAYLOCATION:Character
ABILITYCATEGORY:XENOARCHAEOLOGIST Theme Benefit	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:XENOARCHAEOLOGIST Theme Benefit	DISPLAYLOCATION:Character
ABILITYCATEGORY:CULTIST Theme Benefit		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Theme		TYPE:CULTIST Theme Benefit			DISPLAYLOCATION:Character
