# CVS $Revision$ $Author$ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:eFaeries	SOURCESHORT:eFaeries	SOURCEWEB:http://dragonwing.net/Faeries.htm	SOURCEDATE:2003-01
#Original Entry: Andrew Maitland

###Block: E-faeries
# Race Name			Size		Move				Face/Space	Reach		Combat bonus				Save bonus								Bonus to skill							Stat bonus																	Weapon prof. bonus										Racial HD Class Skills							Ability														Natural Attacks											Spell Res.	Hit Dice Size	Monster Class Name and Starting Level	Main Race Type	Hit Dice Advancement		Challenge Rating	Apply Kit
The Master of the Hunt	SIZE:M	MOVE:Walk,50,Fly,50	FACE:5	REACH:5	BONUS:COMBAT|BASEAB|5																					BONUS:STAT|STR|12	BONUS:STAT|DEX|10	BONUS:STAT|CON|8	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|4																								ABILITY:Special Ability|AUTOMATIC|Call of the Wild Hunt|Preferred Enemy|See Invisible														SR:20		HITDIE:10		MONSTERCLASS:The Master of the Hunt:15	RACETYPE:Fey						CR:20			KIT:1|The Master of the Hunt
Hound of the Wild Hunt	SIZE:L	MOVE:Walk,50,Fly,50	FACE:5	REACH:5	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	BONUS:SAVE|BASE.Will|-3	BONUS:SAVE|BASE.Fortitude|5	BONUS:SKILL|Listen,Spot,Move Silently|1|TYPE=Racial	BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))	BONUS:WEAPONPROF=Bite|TOHIT|2	MONCSKILL:Hide|Intuit Direction|Listen|Spot|Wilderness Lore	ABILITY:Special Ability|AUTOMATIC|Call of the Wild Hunt|Scent|Trip				NATURALATTACKS:Bite,Weapon.Melee.Natural.Slashing.Piercing.Bludgeoning,*1,1d8	SR:16		HITDIE:10		MONSTERCLASS:Fey:8				RACETYPE:Fey	HITDICEADVANCEMENT:11,18	CR:7			KIT:1|Hound of the Wild Hunt Default

###Block: Faerie Dragons
# Race Name				Output Name						Starting Feats	Size		Move				Face/Space		Reach		Vision						Bonus Languages	Combat bonus											Bonus to HP			Save bonus													Stat bonus																	Modify VAR				Auto Language				Ability																														Nb Legs	Nb Hands	Natural Attacks																				Spell Res.	Skill Multiplier	Hit Dice Size	Monster Class Name and Starting Level	Main Race Type	Challenge Rating	Source Page		Apply Kit
Dragon (Faerie Wyrmling)	OUTPUTNAME:[NAME]					STARTFEATS:1	SIZE:T	MOVE:Walk,15,Fly,60	FACE:2.5,2.5	REACH:5	VISION:Darkvision (60')|Low-Light Vision	LANGBONUS:ALL	BONUS:COMBAT|BASEAB|0|TYPE=Base.REPLACE	BONUS:COMBAT|AC|6|TYPE=NaturalArmor					BONUS:SAVE|BASE.Fortitude|4	BONUS:SAVE|BASE.Reflex|3	BONUS:SAVE|BASE.Will|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|WIS|2										BONUS:VAR|BreathWeaponDC|13	AUTO:LANG|Draconic|Common|Sylvan	ABILITY:FEAT|AUTOMATIC|Alertness|Dodge|Improved Initiative	ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Breath Weapon|Faerie Dragon Natural Invisibility|Faerie Dragon Telepathy	LEGS:4	HANDS:3	NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3	SR:13		SKILLMULT:1		HITDIE:%/2		MONSTERCLASS:Faerie Dragon:1			RACETYPE:Dragon	CR:2			SOURCEPAGE:p.13	KIT:1|CG
Dragon (Faerie Very Young)	OUTPUTNAME:Very Young Faerie Dragon		STARTFEATS:1	SIZE:T	MOVE:Walk,15,Fly,60	FACE:2.5,2.5	REACH:5	VISION:Darkvision (60')|Low-Light Vision	LANGBONUS:ALL	BONUS:COMBAT|BASEAB|1|TYPE=Base.REPLACE	BONUS:COMBAT|AC|6|TYPE=NaturalArmor					BONUS:SAVE|BASE.Fortitude|4	BONUS:SAVE|BASE.Reflex|3	BONUS:SAVE|BASE.Will|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|WIS|2										BONUS:VAR|BreathWeaponDC|14	AUTO:LANG|Draconic|Common|Sylvan	ABILITY:FEAT|AUTOMATIC|Alertness|Dodge|Improved Initiative	ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Breath Weapon|Faerie Dragon Natural Invisibility|Faerie Dragon Telepathy	LEGS:4	HANDS:3	NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3	SR:14		SKILLMULT:1					MONSTERCLASS:Faerie Dragon:1			RACETYPE:Dragon	CR:2			SOURCEPAGE:p.13	KIT:1|CG
Dragon (Faerie Young)		OUTPUTNAME:Young Faerie Dragon		STARTFEATS:1	SIZE:T	MOVE:Walk,15,Fly,60	FACE:2.5,2.5	REACH:5	VISION:Darkvision (60')|Low-Light Vision	LANGBONUS:ALL	BONUS:COMBAT|BASEAB|2|TYPE=Base.REPLACE	BONUS:COMBAT|AC|6|TYPE=NaturalArmor					BONUS:SAVE|BASE.Fortitude|5	BONUS:SAVE|BASE.Reflex|4	BONUS:SAVE|BASE.Will|5	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|WIS|2										BONUS:VAR|BreathWeaponDC|15	AUTO:LANG|Draconic|Common|Sylvan	ABILITY:FEAT|AUTOMATIC|Alertness|Dodge|Improved Initiative	ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Breath Weapon|Faerie Dragon Natural Invisibility|Faerie Dragon Telepathy	LEGS:4	HANDS:5	NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3	SR:15		SKILLMULT:1					MONSTERCLASS:Faerie Dragon:2			RACETYPE:Dragon	CR:2			SOURCEPAGE:p.13	KIT:1|CG
Dragon (Faerie Juvenile)	OUTPUTNAME:Juvenile Faerie Dragon		STARTFEATS:1	SIZE:T	MOVE:Walk,15,Fly,60	FACE:2.5,2.5	REACH:5	VISION:Darkvision (60')|Low-Light Vision	LANGBONUS:ALL	BONUS:COMBAT|BASEAB|3|TYPE=Base.REPLACE	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	BONUS:HP|CURRENTMAX|2	BONUS:SAVE|BASE.Fortitude|5	BONUS:SAVE|BASE.Reflex|4	BONUS:SAVE|BASE.Will|5	BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|WIS|2							BONUS:VAR|BreathWeaponDC|16	AUTO:LANG|Draconic|Common|Sylvan	ABILITY:FEAT|AUTOMATIC|Alertness|Dodge|Improved Initiative	ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Breath Weapon|Faerie Dragon Natural Invisibility|Faerie Dragon Telepathy	LEGS:4	HANDS:5	NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3	SR:16		SKILLMULT:1					MONSTERCLASS:Faerie Dragon:2			RACETYPE:Dragon	CR:2			SOURCEPAGE:p.13	KIT:1|CG
Dragon (Faerie Young Adult)	OUTPUTNAME:Young Adult Faerie Dragon	STARTFEATS:1	SIZE:T	MOVE:Walk,15,Fly,60	FACE:2.5,2.5	REACH:5	VISION:Darkvision (60')|Low-Light Vision	LANGBONUS:ALL	BONUS:COMBAT|BASEAB|4|TYPE=Base.REPLACE	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	BONUS:HP|CURRENTMAX|1	BONUS:SAVE|BASE.Fortitude|6	BONUS:SAVE|BASE.Reflex|5	BONUS:SAVE|BASE.Will|6	BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	BONUS:VAR|BreathWeaponDC|17	AUTO:LANG|Draconic|Common|Sylvan	ABILITY:FEAT|AUTOMATIC|Alertness|Dodge|Improved Initiative	ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Breath Weapon|Faerie Dragon Natural Invisibility|Faerie Dragon Telepathy	LEGS:4	HANDS:6	NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3	SR:17		SKILLMULT:1					MONSTERCLASS:Faerie Dragon:3			RACETYPE:Dragon	CR:2			SOURCEPAGE:p.13	KIT:1|CG
Dragon (Faerie Adult)		OUTPUTNAME:Adult Faerie Dragon		STARTFEATS:1	SIZE:T	MOVE:Walk,15,Fly,60	FACE:2.5,2.5	REACH:5	VISION:Darkvision (60')|Low-Light Vision	LANGBONUS:ALL	BONUS:COMBAT|BASEAB|5|TYPE=Base.REPLACE	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	BONUS:HP|CURRENTMAX|2	BONUS:SAVE|BASE.Fortitude|6	BONUS:SAVE|BASE.Reflex|5	BONUS:SAVE|BASE.Will|6	BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	BONUS:VAR|BreathWeaponDC|18	AUTO:LANG|Draconic|Common|Sylvan	ABILITY:FEAT|AUTOMATIC|Alertness|Dodge|Improved Initiative	ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Breath Weapon|Faerie Dragon Natural Invisibility|Faerie Dragon Telepathy	LEGS:4	HANDS:6	NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3	SR:18		SKILLMULT:1					MONSTERCLASS:Faerie Dragon:3			RACETYPE:Dragon	CR:2			SOURCEPAGE:p.13	KIT:1|CG
Dragon (Faerie Mature Adult)	OUTPUTNAME:Mature Adult Faerie Dragon	STARTFEATS:1	SIZE:T	MOVE:Walk,15,Fly,60	FACE:2.5,2.5	REACH:5	VISION:Darkvision (60')|Low-Light Vision	LANGBONUS:ALL	BONUS:COMBAT|BASEAB|6|TYPE=Base.REPLACE	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	BONUS:HP|CURRENTMAX|2	BONUS:SAVE|BASE.Fortitude|7	BONUS:SAVE|BASE.Reflex|6	BONUS:SAVE|BASE.Will|7	BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	BONUS:VAR|BreathWeaponDC|19	AUTO:LANG|Draconic|Common|Sylvan	ABILITY:FEAT|AUTOMATIC|Alertness|Dodge|Improved Initiative	ABILITY:Special Ability|AUTOMATIC|Faerie Dragon Breath Weapon|Faerie Dragon Natural Invisibility|Faerie Dragon Telepathy	LEGS:4	HANDS:7	NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3	SR:19		SKILLMULT:1					MONSTERCLASS:Faerie Dragon:4			RACETYPE:Dragon	CR:2			SOURCEPAGE:p.13	KIT:1|CG
