# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Malhavoc Press - Book of Eldritch Might	SOURCESHORT:BoEM1	SOURCEWEB:http://www.montecook.com

###Block: Poisons
# Equipment Name		Product Identity?	Output Name		Type					Cost		Weight	Source Page
Poison (Coldheart)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:900	WT:0		SOURCEPAGE:p.29
Poison (Crippling Doom)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:120	WT:0		SOURCEPAGE:p.30
Poison (Darkmind)		NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:4700	WT:0		SOURCEPAGE:p.30
Poison (Delusion)		NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:1500	WT:0		SOURCEPAGE:p.30
Poison (Demonseed)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:3000	WT:0		SOURCEPAGE:p.30
Poison (Denial)		NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:4500	WT:0		SOURCEPAGE:p.30
Poison (Fear)		NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:1600	WT:0		SOURCEPAGE:p.30
Poison (Fireheart)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:900	WT:0		SOURCEPAGE:p.30
Poison (Heartthief)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:4000	WT:0		SOURCEPAGE:p.30
Poison (Longnight)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:9000	WT:0		SOURCEPAGE:p.30
Poison (Madness)		NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:5400	WT:0		SOURCEPAGE:p.30
Poison (Memory Key)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:1500	WT:0		SOURCEPAGE:p.30
Poison (Shrivelsoul)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:3500	WT:0		SOURCEPAGE:p.30
Poison (Sleep)		NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:180	WT:0		SOURCEPAGE:p.30
Poison (Slow)		NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:1100	WT:0		SOURCEPAGE:p.31
Poison (Swarmdeath)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:2700	WT:0		SOURCEPAGE:p.31
Poison (Truesleep)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:2700	WT:0		SOURCEPAGE:p.31
Poison (Weakening)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:1200	WT:0		SOURCEPAGE:p.31
Poison (Wraithsong)	NAMEISPI:NO		OUTPUTNAME:[NAME]	TYPE:Magic.Poison.Consumable	COST:1600	WT:0		SOURCEPAGE:p.31
