# CVS $Revision: 1.1 $ $Author: tir-gwaith $ -- Mon Nov 28 04:20:31 2005 -- reformated by prettylst.pl v1.35 (build 549)
SOURCELONG:Malhavoc Press - Book of Eldritch Might|SOURCESHORT:BoEM1|SOURCEWEB:http://www.montecook.com
#Spell names and other proper names from The Book of Eldritch Might are
#	©2001-2005 Monte J. Cook and are used here with his permission.
#Original entry by: Paul "Yes, that Paul" Grosse

#Scroll name			Type				Cost		Weight		Source Page
# Equipment Name					Type						Cost		Weight	Source Page
Scroll (Acidic Curse)				TYPE:Magic.Scroll.Arcane		COST:25	WT:.01	SOURCEPAGE:p.10
Scroll (Arcana Form)				TYPE:Magic.Scroll.Arcane		COST:3825	WT:.01	SOURCEPAGE:p.10
Scroll (Bind Item)				TYPE:Magic.Scroll.Arcane		COST:700	WT:.01	SOURCEPAGE:p.10
Scroll (Black Mulching)				TYPE:Magic.Scroll.Arcane.Divine	COST:700	WT:.01	SOURCEPAGE:p.11
Scroll (Bolt of Conjuring)			TYPE:Magic.Scroll.Arcane		COST:375	WT:.01	SOURCEPAGE:p.11
Scroll (Bone Tattoo)				TYPE:Magic.Scroll.Arcane		COST:375	WT:.01	SOURCEPAGE:p.11
Scroll (Chains of Vengeance)			TYPE:Magic.Scroll.Arcane		COST:700	WT:.01	SOURCEPAGE:p.11
Scroll (Coldscream)				TYPE:Magic.Scroll.Arcane		COST:700	WT:.01	SOURCEPAGE:p.11
Scroll (Coma)					TYPE:Magic.Scroll.Arcane.Divine	COST:1650	WT:.01	SOURCEPAGE:p.11
Scroll (Conditional Spell)			TYPE:Magic.Scroll.Arcane		COST:1650	WT:.01	SOURCEPAGE:p.12
Scroll (Cross of Lightning)			TYPE:Magic.Scroll.Arcane		COST:1125	WT:.01	SOURCEPAGE:p.12
Scroll (Devlin's Barb)				TYPE:Magic.Scroll.Arcane		COST:12.5	WT:.01	SOURCEPAGE:p.12
Scroll (Devlin's Venomblade)			TYPE:Magic.Scroll.Arcane		COST:375	WT:.01	SOURCEPAGE:p.12
Scroll (Dragonskin)				TYPE:Magic.Scroll.Arcane		COST:375	WT:.01	SOURCEPAGE:p.13
Scroll (Electrical Deluge)			TYPE:Magic.Scroll.Arcane		COST:1650	WT:.01	SOURCEPAGE:p.13
Scroll (Elemental Shroud)			TYPE:Magic.Scroll.Arcane		COST:1125	WT:.01	SOURCEPAGE:p.13
Scroll (Enchanting Flavor)			TYPE:Magic.Scroll.Arcane		COST:12.5	WT:.01	SOURCEPAGE:p.13
Scroll (Enhance Magical Flow)			TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.13
Scroll (Flaming Corrosion)			TYPE:Magic.Scroll.Arcane		COST:700	WT:.01	SOURCEPAGE:p.14
Scroll (Foil Tracer)				TYPE:Magic.Scroll.Arcane.Divine	COST:375	WT:.01	SOURCEPAGE:p.14
Scroll (Freezing Claw)				TYPE:Magic.Scroll.Arcane		COST:1650	WT:.01	SOURCEPAGE:p.14
Scroll (Greater Magical Flow Enhancement)	TYPE:Magic.Scroll.Arcane.Divine	COST:700	WT:.01	SOURCEPAGE:p.14
Scroll (Greater Mark of Air)			TYPE:Magic.Scroll.Arcane.Divine	COST:700	WT:.01	SOURCEPAGE:p.14
