# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:d20 Weapons Locker	SOURCESHORT:d20WL	SOURCEWEB:http://www.wizards.com/d20modern	SOURCEDATE:2004-01
# Original Entry by: Terrence FitzSimons * 14 May 2006

# WEAPONCATEGORY:Simple
# WEAPONCATEGORY:PersonalFirearm
# WEAPONCATEGORY:Archaic
# WEAPONCATEGORY:Exotic
# WEAPONCATEGORY:ExoticFirearms
# WEAPONCATEGORY:Natural
# WEAPONCATEGORY:HMG
# WEAPONCATEGORY:RocketLauncher
# WEAPONCATEGORY:GrenadeLauncher
# WEAPONCATEGORY:Mecha
# WEAPONCATEGORY:Starship

# Exotic Firearms
# Weapon Name					Type				Nb Hands
Norinco Model 85 Bayonet Pistol		TYPE:ExoticFirearms

# Pistols and Handguns				Type				Nb Hands
6P35							TYPE:PersonalFirearm
AMT .44 Automag					TYPE:PersonalFirearm	HANDS:2
AMT Backup						TYPE:PersonalFirearm
AMT Longslide Hardballer			TYPE:PersonalFirearm	HANDS:2
ASAI onePRO						TYPE:PersonalFirearm
Astra A 90						TYPE:PersonalFirearm
Astra A 100						TYPE:PersonalFirearm
AT 2000 S						TYPE:PersonalFirearm
AT 2000 PS						TYPE:PersonalFirearm
AT 2000 P						TYPE:PersonalFirearm
AT 2000 H						TYPE:PersonalFirearm
Baikal 441						TYPE:PersonalFirearm
Baikal 442						TYPE:PersonalFirearm
Benelli Model B-76				TYPE:PersonalFirearm
Benelli Model MP3-S				TYPE:PersonalFirearm
Benelli MP95					TYPE:PersonalFirearm	HANDS:2
Beretta M9 Mil-Spec				TYPE:PersonalFirearm
Beretta Model 84 Series				TYPE:PersonalFirearm
Beretta Model 85 Series				TYPE:PersonalFirearm
Beretta Model 87 Series				TYPE:PersonalFirearm
Beretta Model 86 Series				TYPE:PersonalFirearm
Beretta Model 92					TYPE:PersonalFirearm
Beretta Model 92 Compact			TYPE:PersonalFirearm
Beretta Model 96					TYPE:PersonalFirearm
Beretta Model 96 Compact			TYPE:PersonalFirearm
Beretta 8000 Cougar				TYPE:PersonalFirearm
Beretta 8000 Mini-Cougar			TYPE:PersonalFirearm
Beretta 9000S					TYPE:PersonalFirearm
Bernardelli P6					TYPE:PersonalFirearm
Bernardelli P.ONE					TYPE:PersonalFirearm
Browning Hi-Power					TYPE:PersonalFirearm
Bryco-Jennings Model 59				TYPE:PersonalFirearm
Colt Delta Elite					TYPE:PersonalFirearm
Colt M1911A1					TYPE:PersonalFirearm
Colt M1911A1 Custom Models			TYPE:PersonalFirearm
Colt Mustang					TYPE:PersonalFirearm
Colt SOCOM						TYPE:PersonalFirearm
Coonan Pistol					TYPE:PersonalFirearm
C2 75							TYPE:PersonalFirearm
C2 75B Compact					TYPE:PersonalFirearm
C2 75BD						TYPE:PersonalFirearm
C2 85							TYPE:PersonalFirearm
C2 85 Combat					TYPE:PersonalFirearm
C2 92							TYPE:PersonalFirearm
C2 97B						TYPE:PersonalFirearm
CZ 100						TYPE:PersonalFirearm
CZ 101						TYPE:PersonalFirearm
Daewoo DP51 Mark II				TYPE:PersonalFirearm
Daewoo DP51C Mark II				TYPE:PersonalFirearm
Daewoo DH40 Mark II				TYPE:PersonalFirearm
Daewoo DH45 Mark II				TYPE:PersonalFirearm
Drel							TYPE:PersonalFirearm
Falcon 400						TYPE:PersonalFirearm
FEG P9R						TYPE:PersonalFirearm
FN BDA Series					TYPE:PersonalFirearm
FN BDAO Series					TYPE:PersonalFirearm
FN five-seveN					TYPE:PersonalFirearm
