# CVS $Revision$ $Author$ -- Sun Jul 28 12:52:19 2002 -- reformated by prettylst.pl v1.17 (build 171)
SOURCELONG:Mongoose Publishing - Collector's Series - Quintessential Rogue|SOURCESHORT:QuintRogue|SOURCEWEB:http://mongoosepublishing.com

# Equipment Name			Type			Cost		Weight	Source Page
Potion(Ink Black)			TYPE:Magic.Potion	COST:250	WT:0		SOURCEPAGE:p.60
Potion(Liquid Form)		TYPE:Magic.Potion	COST:750	WT:0		SOURCEPAGE:p.60
Potion(Treasure Finding)	TYPE:Magic.Potion	COST:350	WT:0		SOURCEPAGE:p.60

#Poisons			Type			Cost		Weight	Source Page
Poison (Allevar)			TYPE:Goods.Poison	COST:1100	WT:0		SOURCEPAGE:p.73
Poison (Black Lung)		TYPE:Goods.Poison	COST:780	WT:0		SOURCEPAGE:p.73
Poison (Blackroot)		TYPE:Goods.Poison	COST:460	WT:0		SOURCEPAGE:p.73
Poison (Caro Venom)		TYPE:Goods.Poison	COST:240	WT:0		SOURCEPAGE:p.73-74
Poison (Deathsleep)		TYPE:Goods.Poison	COST:95	WT:0		SOURCEPAGE:p.74
Poison (Demonic Essence)	TYPE:Goods.Poison	COST:400	WT:0		SOURCEPAGE:p.74
Poison (Dolleck Eggs)		TYPE:Goods.Poison	COST:675	WT:0		SOURCEPAGE:p.74
Poison (Fogwit)			TYPE:Goods.Poison	COST:100	WT:0		SOURCEPAGE:p.74-75
Poison (Green Oil)		TYPE:Goods.Poison	COST:170	WT:0		SOURCEPAGE:p.75
Poison (Lotus Extract)		TYPE:Goods.Poison	COST:1800	WT:0		SOURCEPAGE:p.75
Poison (Mindbreaker)		TYPE:Goods.Poison	COST:75	WT:0		SOURCEPAGE:p.75
Poison (Red Mist)			TYPE:Goods.Poison	COST:1200	WT:0		SOURCEPAGE:p.75
Poison (Sombal)			TYPE:Goods.Poison	COST:75	WT:0		SOURCEPAGE:p.75
Poison (Spell Sapper)		TYPE:Goods.Poison	COST:90	WT:0		SOURCEPAGE:p.75-76
Poison (Tarzag's Venom)		TYPE:Goods.Poison	COST:240	WT:0		SOURCEPAGE:p.76
Poison (Telsath's Powder)	TYPE:Goods.Poison	COST:220	WT:0		SOURCEPAGE:p.76
Poison (Tremble Oil)		TYPE:Goods.Poison	COST:300	WT:0		SOURCEPAGE:p.76
Poison (Truth Water)		TYPE:Goods.Poison	COST:200	WT:0		SOURCEPAGE:p.76
Poison (Varran's Oil)		TYPE:Goods.Poison	COST:450	WT:0		SOURCEPAGE:p.76-77
Poison (Vithil Seeds)		TYPE:Goods.Poison	COST:150	WT:0		SOURCEPAGE:p.77
Poison (White Fire)		TYPE:Goods.Poison	COST:2200	WT:0		SOURCEPAGE:p.77
