# CVS $Revision: 14380 $ $Author: amaitland $ -- Thu Apr  7 17:44:03 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03
# Original Entry by: Stefan Radermacher

###Block: Core Deities
# Deity Name	Product Identity?	Domains												Desciption of Deity/Title					Deity Weapon				Alignment	Pantheon					Source Page
# elro - Commenting out as these duplicate with content in PFCR (which this set depends on)
#Abadar		NAMEISPI:YES	DOMAINS:Earth,Law,Nobility,Protection,Travel|PREALIGN:LG,LN,NG,TN			DESC:God of cities, wealth, merchants, law		DEITYWEAP:Crossbow (Light)		ALIGN:LN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.218
#Asmodeus		NAMEISPI:YES	DOMAINS:Evil,Fire,Law,Magic,Trickery|PREALIGN:LN,LE,NE				DESC:God of tyranny, slavery, pride, contracts		DEITYWEAP:Mace (Heavy)|Mace (Light)	ALIGN:LE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.218
#Calistria		NAMEISPI:YES	DOMAINS:Chaos,Charm,Knowledge,Luck,Trickery|PREALIGN:CG,TN,CN,CE			DESC:Goddess of trickery, lust, revenge			DEITYWEAP:Whip				ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.219
#Cayden Cailean	NAMEISPI:YES	DOMAINS:Chaos,Charm,Good,Strength,Travel|PREALIGN:NG,CG,CN				DESC:God of freedom, wine, bravery				DEITYWEAP:Rapier				ALIGN:CG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.219
#Desna			NAMEISPI:YES	DOMAINS:Chaos,Good,Liberation,Luck,Travel|PREALIGN:NG,CG,CN				DESC:Goddess of dreams, stars, travelers, luck		DEITYWEAP:Starknife			ALIGN:CG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.220
#Erastil		NAMEISPI:YES	DOMAINS:Animal,Community,Good,Law,Plant|PREALIGN:LG,LN,NG				DESC:God of farming, hunting, trade, family		DEITYWEAP:Longbow				ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.220
#Gorum			NAMEISPI:YES	DOMAINS:Chaos,Destruction,Glory,Strength,War|PREALIGN:CG,TN,CN,CE			DESC:God of strength, battle, weapons			DEITYWEAP:Greatsword			ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.221
#Gozreh		NAMEISPI:YES	DOMAINS:Air,Animal,Plant,Water,Weather|PREALIGN:LN,NG,TN,NE,CN			DESC:God of nature, weather, the sea			DEITYWEAP:Trident				ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.221
#Iomedae		NAMEISPI:YES	DOMAINS:Glory,Good,Law,Sun,War|PREALIGN:LG,LN,NG					DESC:Goddess of valor, rulership, justice, honor	DEITYWEAP:Longsword			ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.222
#Irori			NAMEISPI:YES	DOMAINS:Healing,Knowledge,Law,Rune,Strength|PREALIGN:LG,LN,TN,NG			DESC:God of history, knowledge, self-perfection		DEITYWEAP:Unarmed Strike		ALIGN:LN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.222
#Lamashtu		NAMEISPI:YES	DOMAINS:Chaos,Evil,Madness,Strength,Trickery|PREALIGN:NE,CN,CE			DESC:Goddess of madness, monsters, nightmares		DEITYWEAP:Falchion			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.223
#Nethys		NAMEISPI:YES	DOMAINS:Destruction,Knowledge,Magic,Protection,Rune|PREALIGN:LN,NG,TN,NE,CN	DESC:God of magic							DEITYWEAP:Quarterstaff			ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.223
#Norgorber		NAMEISPI:YES	DOMAINS:Charm,Death,Evil,Knowledge,Trickery|PREALIGN:TN,LE,NE,CE			DESC:God of greed, secrets, poison, murder		DEITYWEAP:Sword (Short)			ALIGN:NE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.224
#Pharasma		NAMEISPI:YES	DOMAINS:Death,Healing,Knowledge,Repose,Water|PREALIGN:LN,NG,TN,NE,CN		DESC:Goddess of fate, death, prophecy, birth		DEITYWEAP:Dagger				ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.224
#Rovagug		NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,War,Weather|PREALIGN:NE,CN,CE			DESC:God of wrath, disaster, destruction			DEITYWEAP:Greataxe			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.225
#Sarenrae		NAMEISPI:YES	DOMAINS:Fire,Glory,Good,Healing,Sun|PREALIGN:LG,NG,CG,TN				DESC:Goddess of the sun, redemption, honesty, healing	DEITYWEAP:Scimitar			ALIGN:NG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.225
#Shelyn		NAMEISPI:YES	DOMAINS:Air,Charm,Good,Luck,Protection|PREALIGN:LG,NG,CG,TN				DESC:Goddess of beauty, art, love, music			DEITYWEAP:Glaive				ALIGN:NG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.226
#Torag			NAMEISPI:YES	DOMAINS:Artifice,Earth,Good,Law,Protection|PREALIGN:LG,LN,NG			DESC:God of the forge, protection, strategy		DEITYWEAP:Warhammer			ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.226
#Urgathoa		NAMEISPI:YES	DOMAINS:Death,Evil,Magic,Strength,War|PREALIGN:TN,LE,NE,CE				DESC:Goddess of gluttony, disease, undeath		DEITYWEAP:Scythe				ALIGN:NE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.227
#Zon-Kuthon		NAMEISPI:YES	DOMAINS:Darkness,Death,Destruction,Evil,Law|PREALIGN:LN,LE,NE			DESC:God of envy, pain, darkness, loss			DEITYWEAP:Chain (Spiked)		ALIGN:LE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.227

###Block: Other Deities
# Deity Name	Product Identity?	Domains											Desciption of Deity/Title																																	Deity Weapon			Alignment	Pantheon					Source Page
Achaekek		NAMEISPI:YES	DOMAINS:Death,Evil,Law,Trickery,War|PREALIGN:LN,LE,NE				DESC:God of The Red Mantis, assassination																															DEITYWEAP:Sawtooth Sabre	ALIGN:LE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.228
Apsu			NAMEISPI:YES	DOMAINS:Artifice,Good,Law,Scalykind,Travel|PREALIGN:LG,LN,NG		DESC:God of glory, good dragons, leadership, peace																													DEITYWEAP:Bite|Quarterstaff	ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.228
Besmara		NAMEISPI:YES	DOMAINS:Chaos,Trickery,Water,War,Weather|PREALIGN:CG,TN,CN,CE		DESC:Goddess of piracy, strife, sea monsters																														DEITYWEAP:Rapier			ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.228
Dahak			NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,Scalykind,Trickery|PREALIGN:NE,CN,CE	DESC:God of destruction, evil dragons, greed, treachery																												DEITYWEAP:Bite|Whip		ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.228
Ghlaunder		NAMEISPI:YES	DOMAINS:Air,Animal,Chaos,Destruction,Evil|PREALIGN:NE,CN,CE			DESC:God of parasites, infection, stagnation																														DEITYWEAP:Spear			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.228
Groetus		NAMEISPI:YES	DOMAINS:Chaos,Darkness,Destruction,Madness,Void|PREALIGN:CG,TN,CN,CE	DESC:God of empty places, ruins, oblivion																															DEITYWEAP:Flail (Heavy)		ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.229
Gyronna		NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,Madness|PREALIGN:NE,CN,CE			DESC:Gyronna is a far different deity than Hanspur, with no friendly face at all--only drooling rage and madness. Her permanent sneer is the look of a woman scorned and half-mad, bent on vengeance, destruction, and spite.	DEITYWEAP:Dagger			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.229
Hanspur		NAMEISPI:YES	DOMAINS:Chaos,Death,Travel,Water|PREALIGN:CG,TN,CN,CE				DESC:Hanspur is a creature of place; he rules the waters, the currents, the rats, and the ships that travel on the many marshy roads that unite the territories of the Sellen River watershed.						DEITYWEAP:Trident			ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.229
Kurgess		NAMEISPI:YES	DOMAINS:Community,Good,Luck,Strength,Travel|PREALIGN:LG,NG,CG,TN		DESC:God of competition, sport, self-sacrifice																														DEITYWEAP:Javelin			ALIGN:NG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.229
Milani		NAMEISPI:YES	DOMAINS:Chaos,Good,Healing,Liberation,Protection|PREALIGN:NG,CG,CN	DESC:Goddess of hope, devotion, uprisings																															DEITYWEAP:Morningstar		ALIGN:CG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.229
Sivhana		NAMEISPI:YES	DOMAINS:Knowledge,Madness,Magic,Rune,Trickery|PREALIGN:LN,NG,TN,NE,CN	DESC:Goddess of illusions, reflections, mystery																														DEITYWEAP:Bladed Scarf		ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.230
Zyphus		NAMEISPI:YES	DOMAINS:Death,Destruction,Evil,Plant,War|PREALIGN:TN,LE,NE,CE		DESC:God of accidental death, graveyards, tragedy																													DEITYWEAP:Pick (Heavy)		ALIGN:NE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.230

###Block: Archdevils
# Deity Name	Product Identity?	Domains								Desciption of Deity/Title					Deity Weapon		Alignment	Pantheon			Source Page
Baalzebul		NAMEISPI:YES	DOMAINS:Air,Death,Evil,Law|PREALIGN:LN,LE,NE		DESC:Devil lord arrogance, flies, lies			DEITYWEAP:Spear		ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231
Barbatos		NAMEISPI:YES	DOMAINS:Evil,Law,Magic,Travel|PREALIGN:LN,LE,NE		DESC:Devil lord of animals, corruption, gateways	DEITYWEAP:Quarterstaff	ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231
Belial		NAMEISPI:YES	DOMAINS:Charm,Destruction,Evil,Law|PREALIGN:LN,LE,NE	DESC:Devil lord of adultery, deception, desire		DEITYWEAP:Ranseur		ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231
Dispater		NAMEISPI:YES	DOMAINS:Evil,Law,Nobility,Trickery|PREALIGN:LN,LE,NE	DESC:Devil lord of cities, prisons, rulership		DEITYWEAP:Mace (Heavy)	ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231
Geryon		NAMEISPI:YES	DOMAINS:Evil,Law,Strength,Water|PREALIGN:LN,LE,NE	DESC:Devil lord of forbidden lore, heresy, snakes	DEITYWEAP:Flail (Heavy)	ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231
Mammon		NAMEISPI:YES	DOMAINS:Artifice,Earth,Evil,Law|PREALIGN:LN,LE,NE	DESC:Devil lord of avarice, watchfulness, wealth	DEITYWEAP:Shortspear	ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231
Mephistopheles	NAMEISPI:YES	DOMAINS:Evil,Knowledge,Law,Rune|PREALIGN:LN,LE,NE	DESC:Devil lord of contracts, devils, secrets		DEITYWEAP:Trident		ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231
Moloch		NAMEISPI:YES	DOMAINS:Evil,Fire,Law,War|PREALIGN:LN,LE,NE		DESC:Devil lord of fire, obedience, war			DEITYWEAP:Whip		ALIGN:LE	PANTHEON:Archdevils	SOURCEPAGE:p.231

###Block: Demon Lords
# Deity Name	Product Identity?	Domains									Desciption of Deity/Title					Deity Weapon			Alignment	Pantheon			Source Page
Abraxas		NAMEISPI:YES	DOMAINS:Chaos,Evil,Knowledge,Magic|PREALIGN:NE,CN,CE		DESC:Demon lord of forbidden lore, magic, snakes	DEITYWEAP:Whip			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.231
