# CVS $Revision: 14888 $ $Author: amaitland $ -- Fri Feb  8 22:25:35 2013 -- reformated by prettylst.pl v1.39 (build 18270)
SOURCELONG:Dragon Empires Primer	SOURCESHORT:DEP	SOURCEWEB:http://paizo.com/products/btpy8pg0?Pathfinder-Player-Companion-Dragon-Empires-Primer	SOURCEDATE:2012-01
# Original Entry by:Stefan Radermacher

###Block: New Spells
# Spell Name	Classes of caster				School		Type		Components	Casting Time			Range			Target Area or Effect	Duration					Description																						Source Page
Call the Void	CLASSES:Sorcerer,Wizard,Witch=3	SCHOOL:Evocation	TYPE:Arcane	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:(CASTERLEVEL) rounds [D]	DESC:Surrounds you with an aura of nothingness that channels the mysterious energies of the Dark Tapestry.|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:p.29

###Block: Full Spell Descriptions
# Spell Name	Description
Call the Void.MOD	DESC:This spell surrounds you with an aura of nothingness that channels the mysterious energies of the Dark Tapestry. Creatures adjacent to you when this spell is cast and at the start of your turn take 2d6 points of damage. In addition, creatures affected by your aura are fatigued, cannot breathe, and cannot speak or cast spells with somatic components. Creatures adjacent to you are allowed a Reflex save to halve the damage and negate the fatigue effect, but cannot breathe or speak regardless of whether their save is successful as long as they are adjacent to you.|PRERULE:1,DisplayFullSpell

###Block: Void Elemental School Wizard Spells
# Spell Name				School
Arcane Sight.MOD				SCHOOL:VoidElementalSchool
Call the Void.MOD				SCHOOL:VoidElementalSchool
Clairaudience/Clairvoyance.MOD	SCHOOL:VoidElementalSchool
Continual Flame.MOD			SCHOOL:VoidElementalSchool
Dispel Magic (Greater).MOD		SCHOOL:VoidElementalSchool
Dispel Magic.MOD				SCHOOL:VoidElementalSchool
Fabricate.MOD				SCHOOL:VoidElementalSchool
Foresight.MOD				SCHOOL:VoidElementalSchool
Gravity Bow.MOD				SCHOOL:VoidElementalSchool
Guidance.MOD				SCHOOL:VoidElementalSchool
Haunting Mists.MOD			SCHOOL:VoidElementalSchool
Invisibility.MOD				SCHOOL:VoidElementalSchool
Keen Senses.MOD				SCHOOL:VoidElementalSchool
Legend Lore.MOD				SCHOOL:VoidElementalSchool
Mage's Disjunction.MOD			SCHOOL:VoidElementalSchool
Mage's Lucubration.MOD			SCHOOL:VoidElementalSchool
Major Creation.MOD			SCHOOL:VoidElementalSchool
Masterwork Transformation.MOD		SCHOOL:VoidElementalSchool
Mind Blank.MOD				SCHOOL:VoidElementalSchool
Mind Fog.MOD				SCHOOL:VoidElementalSchool
Minor Creation.MOD			SCHOOL:VoidElementalSchool
Moment of Prescience.MOD		SCHOOL:VoidElementalSchool
Moonstruck.MOD				SCHOOL:VoidElementalSchool
Nondetection.MOD				SCHOOL:VoidElementalSchool
Orb of the Void.MOD			SCHOOL:VoidElementalSchool
See Invisibility.MOD			SCHOOL:VoidElementalSchool
Seek Thoughts.MOD				SCHOOL:VoidElementalSchool
Share Memory.MOD				SCHOOL:VoidElementalSchool
Shield.MOD					SCHOOL:VoidElementalSchool
Simulacrum.MOD				SCHOOL:VoidElementalSchool
Telepathic Bond.MOD			SCHOOL:VoidElementalSchool
Teleport (Greater).MOD			SCHOOL:VoidElementalSchool
Teleport.MOD				SCHOOL:VoidElementalSchool
Time Stop.MOD				SCHOOL:VoidElementalSchool
True Seeing.MOD				SCHOOL:VoidElementalSchool
True Strike.MOD				SCHOOL:VoidElementalSchool
Twilight Knife.MOD			SCHOOL:VoidElementalSchool
Vision.MOD					SCHOOL:VoidElementalSchool
Wandering Star Motes.MOD		SCHOOL:VoidElementalSchool
Whirlwind.MOD				SCHOOL:VoidElementalSchool

#
# End
#
