# CVS $Revision: 14888 $ $Author: amaitland $ -- Fri Feb  8 12:33:39 2013 -- reformated by prettylst.pl v1.39 (build 18270)
SOURCELONG:Dragon Empires Primer	SOURCESHORT:DEP	SOURCEWEB:http://paizo.com/products/btpy8pg0?Pathfinder-Player-Companion-Dragon-Empires-Primer	SOURCEDATE:2012-01
# Original Entry by:Stefan Radermacher

###Block: Conditional skills (for output only)
# Skill Name			Key Stat	Untrained?		Classes	Type			Visible		Req. Rule (in options)		Prohibited Var. Value
Craft (Alchemy/Brew Poisons)	KEYSTAT:INT	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Craft (Alchemy/Brew Poisons).MISC"),var("SKILL.Craft.MISC")
Handle Animal (Reptiles)	KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Handle Animal (Reptiles).MISC"),SKILL.Handle Animal.MISC
Intimidate (Elders)		KEYSTAT:CHA	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Intimidate (Elders).MISC"),var("SKILL.Intimidate.MISC")
Stealth (Swamp)			KEYSTAT:DEX	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Stealth (Swamp).MISC"),var("SKILL.Stealth.MISC")
Survival (Darklands)		KEYSTAT:WIS	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Survival (Darklands).MISC"),var("SKILL.Survival.MISC")
Survival (Desert)			KEYSTAT:WIS	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Survival (Desert).MISC"),var("SKILL.Survival.MISC")
Survival (Rainforest)		KEYSTAT:WIS	USEUNTRAINED:YES	CLASSES:ALL	TYPE:SkillUse	VISIBLE:EXPORT	PRERULE:1,DISPLAYSKILLUSE	PREVARNEQ:var("SKILL.Survival (Rainforest).MISC"),var("SKILL.Survival.MISC")

###Block: Skill .MODs
# Skill Name		Bonus to skill										Bonus to skill rank
Craft (Alchemy).MOD	BONUS:SKILL|Survival (Darklands)|var("SKILL.Craft (Alchemy).MISC")	BONUS:SKILLRANK|Craft (Alchemy/Brew Poisons)|skillinfo("TOTALRANK", "Craft (Alchemy)")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Craft (Alchemy/Brew Poisons).MISC"),var("SKILL.Craft (Alchemy).MISC")
Handle Animal.MOD		BONUS:SKILL|Handle Animal (Reptiles)|SKILL.Handle Animal.MISC		BONUS:SKILLRANK|Handle Animal (Reptiles)|skillinfo("TOTALRANK", "Handle Animal")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Handle Animal (Reptiles).MISC"),var("SKILL.Handle Animal.MISC")
Intimidate.MOD		BONUS:SKILL|Intimidate (Elders)|var("SKILL.Intimidate.MISC")		BONUS:SKILLRANK|Intimidate (Elders)|skillinfo("TOTALRANK", "Intimidate")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Intimidate (Elders).MISC"),var("SKILL.Intimidate.MISC")
Stealth.MOD			BONUS:SKILL|Stealth (Swamp)|var("SKILL.Stealth.MISC")				BONUS:SKILLRANK|Stealth (Swamp)|skillinfo("TOTALRANK", "Stealth")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Stealth (Swamp).MISC"),var("SKILL.Stealth.MISC")
Survival.MOD		BONUS:SKILL|Survival (Darklands)|var("SKILL.Survival.MISC")			BONUS:SKILLRANK|Survival (Darklands)|skillinfo("TOTALRANK", "Survival")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Survival (Darklands).MISC"),var("SKILL.Survival.MISC")
Survival.MOD		BONUS:SKILL|Survival (Desert)|var("SKILL.Survival.MISC")			BONUS:SKILLRANK|Survival (Desert)|skillinfo("TOTALRANK", "Survival")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Survival (Desert).MISC"),var("SKILL.Survival.MISC")
Survival.MOD		BONUS:SKILL|Survival (Rainforest)|var("SKILL.Survival.MISC")		BONUS:SKILLRANK|Survival (Rainforest)|skillinfo("TOTALRANK", "Survival")|TYPE=SkillGranted|PREVARNEQ:var("SKILL.Survival (Rainforest).MISC"),var("SKILL.Survival.MISC")

#
# End
#
