#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
SOURCELONG:Cohorts and Companions	SOURCESHORT:CAC	SOURCEWEB:http://paizo.com/products/btpy9e1c	SOURCEDATE:2015-06

# Equipment Name			Type					Cost		Weight	Source Page		Special Property
Alchemy Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Armor Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Baskets Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Blacksmithing Mending Kit	TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Books Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Bows Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Calligraphy Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Carpentry Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Cloth Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Clothing Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Gemcutting Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Glass Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Jewelry Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Leather Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Locks Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Paintings Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Pottery Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Sculptures Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Ships Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Shoes Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Stonemasonry Mending Kit	TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Traps Mending Kit			TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Weapons Mending Kit		TYPE:Goods.Tools.Consumable	COST:5	WT:10		SOURCEPAGE:p.17	SPROP:Grants a +2 bonus on Craft checks to repair a damaged item of the appropriate type.
Rust Repellent			TYPE:Goods.Tools.Consumable	COST:25	WT:2		SOURCEPAGE:p.17
