# CVS $Revision$ $Author$ -- Fri Feb  6 21:04:53 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Fantasy Flight Games - Sorcery and Steam	SOURCESHORT:SAS	SOURCEWEB:http://www.fantasyflightgames.com/dd40.html	SOURCEDATE:2003-08
# Original Entry by: Eddy Anthony

# Ranged Weapons----------------------------

# Small
# Weapon Name		Type				Nb Hands
Matchlock Pistol		TYPE:Exotic.Firearms	HANDS:1
Flintlock Pistol		TYPE:Exotic.Firearms	HANDS:1
Percussion Cap Pistol	TYPE:Exotic.Firearms	HANDS:1

# Medium
Dwarven Tunnel Gun	TYPE:Exotic.Firearms	HANDS:1

# Large
Flintlock Musket		TYPE:Exotic.Firearms	HANDS:2
Blunderbuss			TYPE:Exotic.Firearms	HANDS:2
Percussion Cap Musket	TYPE:Exotic.Firearms	HANDS:2
Steambow			TYPE:Exotic.Firearms	HANDS:2
Ogre Gun			TYPE:Exotic.Firearms	HANDS:2

# Melee Weapons----------------------------

# Small
Tool				TYPE:Simple			HANDS:1
Large Tool			TYPE:Simple			HANDS:2
Injector			TYPE:Simple			HANDS:1
Springblade			TYPE:Exotic			HANDS:1
Far-Reaching Gauntlet	TYPE:Exotic			HANDS:1

#
# end
#
