# CVS $Revision$ $Author$ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Necromancy	SOURCESHORT:Necromancy	SOURCEWEB:http://www.mongoosepublishing.com	SOURCEDATE:2003-09
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name			Type		Classes of caster			School		Components		Casting Time		Range			Item		Target Area or Effect							Duration						Save Info					Spell Resistance		Source Page		Description
Animate Animal			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 animal corpse touched					DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.19	DESC:See text
Animate Skeleton			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.20	DESC:See text
Animate Zombie			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.20	DESC:See text
Annihilation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:30' Radius							DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.21	DESC:See text
Bleeding Wound			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:2 rounds/lvl				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.21	DESC:See text
Bones of Steel			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 or more Skeletons touched				DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.21	DESC:See text
Chill Blood				TYPE:Arcane	CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:1 creature							DURATION:Instantaneous				SAVEINFO:Reflex Partial			SPELLRES:Yes		SOURCEPAGE:p.22	DESC:See text
Death's Shadow			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Instantaneous				SAVEINFO:Fortitude Negates		SPELLRES:Yes		SOURCEPAGE:p.22	DESC:See text
Detect Dead				TYPE:Arcane	CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:60 feet	ITEM:Potion	TARGETAREA:Quarter circle emanating from caster			DURATION:Concentration/1 minute/lvl (D)	SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.23	DESC:See text
Flesh Made Foul			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:Creature touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.23	DESC:See text
Ghoulish Curse			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Instantaneous				SAVEINFO:Fortitude Negates		SPELLRES:Yes		SOURCEPAGE:p.23	DESC:See text
Graft Weapons			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 or more Skeletons/Zombies touched			DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.24	DESC:See text
Identify Undead			TYPE:Arcane	CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:60 feet	ITEM:Potion	TARGETAREA:Quarter circle emanating from caster			DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.25	DESC:See text
Invigoration of Undeath		TYPE:Arcane	CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:30 feet	ITEM:Potion	TARGETAREA:Zombies in a 30' radius around caster		DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.25	DESC:See text
Longevity				TYPE:Arcane	CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:Creature touched						DURATION:Instantaneous				SAVEINFO:Will Negates (Harmless)	SPELLRES:Yes (Harmless)	SOURCEPAGE:p.25	DESC:See text
Protection from Undead		TYPE:Arcane	CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:Creature Touched						DURATION:1 Minute/lvl				SAVEINFO:Will Negates (Harmless)	SPELLRES:No			SOURCEPAGE:p.25	DESC:See text
Raise City				TYPE:Arcane	CLASSES:Sorcerer,Wizard=9	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Day		RANGE:Special	ITEM:Potion	TARGETAREA:Ruined Settlement						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.26	DESC:See Text
Raise Death Fleet			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Day		RANGE:Long		ITEM:Potion	TARGETAREA:1 or more sunken ships					DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.26	DESC:See Text
Raise Death Hulk			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Long		ITEM:Potion	TARGETAREA:1 sunken ship						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.27	DESC:See Text
Recall Spirit			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse							DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.28	DESC:See text
Sensory Link			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 undead creature						DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.28	DESC:See text
Shadow Horror			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:Special					SAVEINFO:Will Negates (Special)	SPELLRES:Yes		SOURCEPAGE:p.28	DESC:See text
Shadow Mastery			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:1 minute/lvl				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.28	DESC:See text
Shadow Skin				TYPE:Arcane	CLASSES:Sorcerer,Wizard=8	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:1 hour/lvl				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.29	DESC:See text
Shrieking Missile			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:Missile touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.29	DESC:See Text
Skeletal Spikes			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.30	DESC:See Text
Skull Snare				TYPE:Arcane	CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 skull touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.30	DESC:See Text
Strike Barren			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Permanent				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.31	DESC:See text
Threshold of Unlife		TYPE:Arcane	CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:30 Minutes	RANGE:100 feet	ITEM:Potion	TARGETAREA:100'								DURATION:Permanent (D)				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.31	DESC:See Text
Undead Conduit			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:1 undead creature						DURATION:1 minute/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.32	DESC:See text
Unfetter Undead			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	COMPS:V, S		CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:50' radius							DURATION:1 day					SAVEINFO:Will Negates			SPELLRES:No			SOURCEPAGE:p.32	DESC:See text
Voice of Deathly Whispers	TYPE:Arcane	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 undead creature						DURATION:1 round/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.32	DESC:See text
Visage of the Dead		TYPE:Arcane	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.32	DESC:See Text
