# CVS $Revision: $ $Author: $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Remarkable Races: Compendium of Unusual PC Races, Pathway to Adventure Edition	SOURCESHORT:RR	SOURCEWEB:http://www.alluriapublishing.net/compendium-p.htm	SOURCEDATE:2009-01
# Original Entry by Andrew Maitland

# Abolisher
# Ability Name			Unique Key							Category of Ability		Type													Description																																																																																																																																																																																			Source Page
Weapon and Armor Proficiency	KEY:Abolisher ~ Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:Class Features.Abolisher Class Feature.SpecialQuality				DESC:Abolishers gain no proficiency with any weapons or armor.																																																																																																																																																																										SOURCEPAGE:p.75
Spells per Day			KEY:Abolisher ~ Spells per Day			CATEGORY:Special Ability	TYPE:Class Features.Abolisher Class Feature.SpecialQuality				DESC:Every other level after 1st level, an abolisher gains new spells per day as if he had also gained a level in an arcane spellcasting class he belonged to before adding the prestige class. He does not, however, gain any other benefit a character of that class would have gained. If a character had more than one arcane spellcasting class before becoming an abolisher, he must decide to which class he adds the new level for purposes of determining spells per day.																																																																																																							SOURCEPAGE:p.75
Favored Enemy			KEY:Abolisher ~ Favored Enemy				CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Abolisher Class Feature.SpecialQuality	DESC:The abolisher gains aberrations as a favored enemy, much like the ranger class feature of the same name. These bonuses stack with other classes that have a favored enemy class feature. At 6th level, this bonus increases to +4, and increase again to +6 at 9th level.																																																																																																																																							SOURCEPAGE:p.75
See The Darkness			KEY:Abolisher ~ See The Darkness			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Abolisher Class Feature.SpecialQuality	DESC:An abolisher has to continually train his eyes and other senses to conditions of near total darkness. At 1st level, he gains low-light vision. At 4th level he gains darkvision up to 60 feet. At 7th level, he gains blindsense out to 15 feet. Finally, at 10th level, he gains blindsight out to 25 feet.																																																																																																																																		SOURCEPAGE:p.75
Protection From Aberrations	KEY:Abolisher ~ Protection From Aberrations	CATEGORY:Special Ability	TYPE:SpellLike.Class Features.Abolisher Class Feature.SpecialQuality		DESC:At 2nd level, the protection from aberrations spell takes up a spell slot one level lower (1st level).																																																																																																																																																																			SOURCEPAGE:p.75
Mind Shell				KEY:Abolisher ~ Mind Shell				CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Abolisher Class Feature.SpecialQuality	DESC:At 3rd level, the abolisher gains defense against mental attacks. Against all mindaffecting spells and spell-like abilities the abolisher gains Spell Resistance equal to his abolisher level +10. While withdrawn into his shell, he gains Spell Resistance versus mind affecting spells equal to his character level +10.																																																																																																																															SOURCEPAGE:p.75
Mind Cracker			KEY:Abolisher ~ Mind Cracker				CATEGORY:Special Ability	TYPE:Supernatural.Class Features.Abolisher Class Feature.SpecialQuality		DESC:At 6th level, as a standard action once per day, an abolisher can attempt to crack the mind of a single creature within 60 feet. The target must make a Will save (DC 15 + the abolisher class level) or be unable to use any innate mind-affecting abilities for 24 hours. While this does not affect mindaffecting spells cast by the target, it does affect spelllike abilities. Mind cracking, itself, is a mind-affecting effect. The abolisher gain another use of this ability at 8th level, and again at 10th level.																																																																																															SOURCEPAGE:p.75
Gaze of Elders			KEY:Abolisher ~ Gaze of Elders			CATEGORY:Special Ability	TYPE:Supernatural.Class Features.Abolisher Class Feature.SpecialQuality		DESC:At 8th level, once per day, an abolisher can cast his gaze of elders upon any single creature within 30 feet. The target must succeed on a Will save (DC 15 + the class level of the abolisher) or gain the frightened condition for one round per character level of the abolisher. Creatures affected are filled with a sense of instinctual dread and primordial terror.																																																																																																																							SOURCEPAGE:p.75

#CLASS:Archeovitus			SOURCEPAGE:p.76
