# CVS $Revision$ $Author$ -- Sun Mar 26 00:48:22 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd
# Original Entry by: ?? & Barak

#moved Abyssal and Auran language to new languages file in menaces folder -- Frank Kliewe

# reformatted for readability
# Spoken
# Language				Type					Source Page
Algonkin				TYPE:Spoken.Algic			SOURCEPAGE:msrdskillsii.rtf
Algonkin				TYPE:Written.Algic		SOURCEPAGE:msrdskillsii.rtf
Arapaho				TYPE:Spoken.Algic			SOURCEPAGE:msrdskillsii.rtf
Arapaho				TYPE:Written.Algic		SOURCEPAGE:msrdskillsii.rtf
Blackfoot				TYPE:Spoken.Algic			SOURCEPAGE:msrdskillsii.rtf
Blackfoot				TYPE:Written.Algic		SOURCEPAGE:msrdskillsii.rtf
Cheyenne				TYPE:Spoken.Algic			SOURCEPAGE:msrdskillsii.rtf
Cheyenne				TYPE:Written.Algic		SOURCEPAGE:msrdskillsii.rtf
Shawnee				TYPE:Spoken.Algic			SOURCEPAGE:msrdskillsii.rtf
Shawnee				TYPE:Written.Algic		SOURCEPAGE:msrdskillsii.rtf
Armenian				TYPE:Spoken.Armenian		SOURCEPAGE:msrdskillsii.rtf
Armenian				TYPE:Written.Armenian		SOURCEPAGE:msrdskillsii.rtf
Apache				TYPE:Spoken.Athabascan		SOURCEPAGE:msrdskillsii.rtf
Apache				TYPE:Written.Athabascan		SOURCEPAGE:msrdskillsii.rtf
Chipewyan				TYPE:Spoken.Athabascan		SOURCEPAGE:msrdskillsii.rtf
Chipewyan				TYPE:Written.Athabascan		SOURCEPAGE:msrdskillsii.rtf
Navaho				TYPE:Spoken.Athabascan		SOURCEPAGE:msrdskillsii.rtf
Navaho				TYPE:Written.Athabascan		SOURCEPAGE:msrdskillsii.rtf
Ancient Greek			TYPE:Spoken.Attic			SOURCEPAGE:msrdskillsii.rtf
Ancient Greek			TYPE:Written.Attic		SOURCEPAGE:msrdskillsii.rtf
Greek					TYPE:Spoken.Attic			SOURCEPAGE:msrdskillsii.rtf
Greek					TYPE:Written.Attic		SOURCEPAGE:msrdskillsii.rtf
Latvian				TYPE:Spoken.Baltic		SOURCEPAGE:msrdskillsii.rtf
Latvian				TYPE:Written.Baltic		SOURCEPAGE:msrdskillsii.rtf
Lithuanian				TYPE:Spoken.Baltic		SOURCEPAGE:msrdskillsii.rtf
Lithuanian				TYPE:Written.Baltic		SOURCEPAGE:msrdskillsii.rtf
Gaelic (Irish)			TYPE:Spoken.Celtic		SOURCEPAGE:msrdskillsii.rtf
Gaelic (Irish)			TYPE:Written.Celtic		SOURCEPAGE:msrdskillsii.rtf
Gaelic (Scots)			TYPE:Spoken.Celtic		SOURCEPAGE:msrdskillsii.rtf
Gaelic (Scots)			TYPE:Written.Celtic		SOURCEPAGE:msrdskillsii.rtf
Welsh					TYPE:Spoken.Celtic		SOURCEPAGE:msrdskillsii.rtf
Welsh					TYPE:Written.Celtic		SOURCEPAGE:msrdskillsii.rtf
Cantonese				TYPE:Spoken.Chinese		SOURCEPAGE:msrdskillsii.rtf
Cantonese				TYPE:Written.Chinese		SOURCEPAGE:msrdskillsii.rtf
