#
# Current Ver: $Revision$
# Last Editor: $Author$
# Last Edited: $Date$
#
# Lists the DEFAULT number of slots for each type
#
NUMSLOTS:DEFAULT	HEAD:1	HANDS:2	TORSO:1	LEGS:2	SHIELD:1
#
# Name of Slot	Type of items can contain	Where to get # from
#								and number in each slot
#
EQSLOT:Armor	CONTAINS:Armor=1									NUMBER:TORSO
EQSLOT:Belt		CONTAINS:Belt,Girdle=1								NUMBER:TORSO
EQSLOT:Body		CONTAINS:Robe,Body,Vestments=1						NUMBER:TORSO
EQSLOT:Chest	CONTAINS:Shirt,Chest,Mantle,Vest=1						NUMBER:TORSO
EQSLOT:Eyes		CONTAINS:Eyegear,Eyes,Glasses,Goggles=1					NUMBER:HEAD
EQSLOT:Feet		CONTAINS:Boot,Feet,Shoes,Slippers=1						NUMBER:LEGS
EQSLOT:Hands	CONTAINS:Glove,Hands,Gauntlet=1						NUMBER:HANDS
EQSLOT:Head		CONTAINS:Headgear,Head,Circlet,Crown,Hat,Helm,Mask=1			NUMBER:HEAD
EQSLOT:Headband	CONTAINS:Headband,Phylactery=1						NUMBER:HEAD
EQSLOT:Neck		CONTAINS:Amulet,Neck,Brooch,Medallion,Necklace,Periapt,Scarab=1	NUMBER:HEAD
EQSLOT:Ring		CONTAINS:Ring=2									NUMBER:TORSO
EQSLOT:Shield	CONTAINS:Shield=1									NUMBER:SHIELD
EQSLOT:Shoulders	CONTAINS:Cape,Shoulders,Cloak=1						NUMBER:TORSO
EQSLOT:Wrist	CONTAINS:Bracer,Wrist,Bracelet=1						NUMBER:HANDS
#
EQSLOT:Torso	CONTAINS:Clothing=1								NUMBER:TORSO
EQSLOT:Weapon	CONTAINS:Weapon=1									NUMBER:HANDS
#
# If you wanted to increase the number of RINGs a set of Fingers could hold
# You'd change the EQSLOT:Fingers to CONTAINS:RING=2
#
