# CVS $Revision: 12957 $ $Author: jbaril $ -- Sun Jul  6 20:02:09 2014 -- reformated by prettylst.pl v1.51 (build 23662)
SOURCELONG:Advanced Class Origins	SOURCESHORT:ACO	SOURCEWEB:http://paizo.com/products/btpy92zi	SOURCEDATE:2014-08

Acrobatics.MOD			SITUATION:Aboard a boat
Bluff.MOD				SITUATION:Regarding goblinoids
Climb.MOD				SITUATION:Aboard a boat
Intimidate.MOD			SITUATION:Influence a creature's attitude
Knowledge (geography).MOD	SITUATION:In Abyss-tainted terrain
Perception.MOD			SITUATION:In Abyss-tainted terrain
Perception.MOD			SITUATION:Regarding goblinoids
Sense Motive.MOD			SITUATION:Regarding goblinoids
Stealth.MOD				SITUATION:In Abyss-tainted terrain
Survival.MOD			SITUATION:While at sea
Survival.MOD			SITUATION:In Abyss-tainted terrain
Survival.MOD			SITUATION:Regarding goblinoids
