# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Fantasy Flight Games - Traps and Treachery	SOURCESHORT:TrapTreach	SOURCEWEB:http://www.fantasyflightgames.com/ll.html
#Original entry by: Paul "Yes, that Paul" Grosse

#Potion Name
# Equipment Name				Output Name				Type						Cost		Weight	Source Page
Potion (True Filch)			OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable		COST:300	WT:0		SOURCEPAGE:p.53
Potion (Detect Traps)			OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable		COST:750	WT:0		SOURCEPAGE:p.53
Potion (Distraction)			OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable		COST:25	WT:0		SOURCEPAGE:p.56
Potion (Invisible Object)		OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable		COST:50	WT:0		SOURCEPAGE:p.56

#Scroll name
# Equipment Name				Output Name				Type						Cost		Weight	Source Page
Scroll (True Filch)			OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine	COST:150	WT:.01	SOURCEPAGE:p.53
Scroll (Detect Traps)			OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Arcane	COST:375	WT:.01	SOURCEPAGE:p.53
Scroll (Greater Knock)			OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Arcane	COST:1650	WT:.01	SOURCEPAGE:p.54
Scroll (Distraction)			OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Arcane	COST:12.5	WT:.01	SOURCEPAGE:p.56
Scroll (Invisible Object)		OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Arcane	COST:25	WT:.01	SOURCEPAGE:p.56
Scroll (Flesh To Shaped Stone)	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Arcane	COST:2275	WT:.01	SOURCEPAGE:p.155
