# CVS $Revision$ $Author$ -- Thu Feb  5 22:31:33 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Fantasy Flight Games - Dragonstar - Starfarer's Handbook	SOURCESHORT:StarfarerH	SOURCEWEB:http://www.fantasyflightgames.com/dragonstar.html	SOURCEDATE:2001-12
# 0=LG, 1=LN, 2=LE, 3=NG, 4=TN, 5=NE, 6=CG, 7=CN, 8=CE

# Deity Name	Product Identity?	Domains																											Desciption of Deity/Title	Deity Weapon				Alignment	Pantheon			Source Page
The Destroyer	NAMEISPI:NO		DOMAINS:Chaos,Evil,Destruction,Death,War|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																DESC:The Destroyer		DEITYWEAP:Morningstar			ALIGN:CE	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Father		NAMEISPI:NO		DOMAINS:Good,Healing,Law,Knowledge,War|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																DESC:The Father			DEITYWEAP:Mace				ALIGN:LG	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Judge		NAMEISPI:NO		DOMAINS:Good,Destruction,Knowledge,Law,Protection|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE														DESC:The Judge			DEITYWEAP:Hammer (Light)|Warhammer	ALIGN:LG	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Lover		NAMEISPI:NO		DOMAINS:Animal,Good,Healing,Protection,Water|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Lover			DEITYWEAP:Dagger				ALIGN:NG	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Magus		NAMEISPI:NO		DOMAINS:Knowledge,Luck,Magic,Protection,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE														DESC:The Magus			DEITYWEAP:Quarterstaff			ALIGN:TN	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Merchant	NAMEISPI:NO		DOMAINS:Knowledge,Law,Luck,Travel,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Merchant			DEITYWEAP:Shortspear			ALIGN:LN	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Mother		NAMEISPI:NO		DOMAINS:Animal,Good,Earth,Protection,Plant|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Mother			DEITYWEAP:Sickle				ALIGN:CG	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Reaper		NAMEISPI:NO		DOMAINS:Death,Earth,Evil,Law,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																DESC:The Reaper			DEITYWEAP:Scythe				ALIGN:LE	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Stormlord	NAMEISPI:NO		DOMAINS:Air,Chaos,Destruction,Travel,Water|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Stormlord		DEITYWEAP:Trident				ALIGN:CN	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Smith		NAMEISPI:NO		DOMAINS:Fire,Knowledge,Magic,Strength,Water|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Smith			DEITYWEAP:Warhammer			ALIGN:TN	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Trickster	NAMEISPI:NO		DOMAINS:Chaos,Knowledge,Luck,Magic,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE															DESC:The Trickster		DEITYWEAP:Sword (Short)			ALIGN:CN	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Warrior		NAMEISPI:NO		DOMAINS:Law,Luck,Magic,Strength,War|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																	DESC:The Warrior			DEITYWEAP:Greatsword			ALIGN:LN	PANTHEON:Dragonstar	SOURCEPAGE:p.39

Dualist		NAMEISPI:NO		DOMAINS:ALL|PREALIGN:NG,TN,NE																								DESC:Dualist											PANTHEON:Dragonstar	SOURCEPAGE:p.39

The Creator		NAMEISPI:NO		DOMAINS:Air,Animal,Death,Destruction,Earth,Fire,Good,Healing,Knowledge,Law,Luck,Magic,Plant,Protection,Strength,Sun,Travel,Trickery,War,Water|PREALIGN:LG,LN,NG,TN	DESC:The Creator			DEITYWEAP:Hammer (Light)|Warhammer	ALIGN:LG	PANTHEON:Dragonstar	SOURCEPAGE:p.39
The Adversary	NAMEISPI:NO		DOMAINS:Air,Animal,Chaos,Death,Destruction,Earth,Evil,Fire,Healing,Knowledge,Luck,Magic,Plant,Protection,Strength,Sun,Travel,Trickery,War,Water|PREALIGN:TN,NE,CN,CE	DESC:The Adversary		DEITYWEAP:Flail				ALIGN:CE	PANTHEON:Dragonstar	SOURCEPAGE:p.39
