# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Revised (v.3.5) System Reference Document	SOURCESHORT:RSRD	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35	SOURCEDATE:2000-01
# Original Entry by: Aaron Divinsky <boomer70@yahoo.com>

###Block:Gems
# Equipment Name										Output Name											Type			Cost		Weight	Requires Modification?	Source Page
Gem (Agate (Banded))									OUTPUTNAME:Banded Agate									TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Agate (Eye))										OUTPUTNAME:Eye Agate									TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Agate (Moss))									OUTPUTNAME:Moss Agate									TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Azurite)										OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Quartz (Blue))									OUTPUTNAME:Blue Quartz									TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Hematite)										OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Lapis Lazuli)									OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Malachite)										OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Obsidian)										OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Rhodochrosite)									OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Tiger Eye)										OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
Gem (Turquoise)										OUTPUTNAME:[NAME]										TYPE:Goods.Gem	COST:0	WT:0		MODS:REQUIRED		SOURCEPAGE:Treasure.rtf
