# CVS $Revision: $ $Author: $ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)

# Ability Category					Visible		Editable?		Change Pool?	Category of Object		Type of Object			Display Location
ABILITYCATEGORY:Wizard King Selection 1		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WizardKingLAPL1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Wizard King Selection 2		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WizardKingLAPL2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Wizard King Selection 3		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WizardKingLAPL3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Wizard King Selection 4		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WizardKingLAPL4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Wizard King Selection 5		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WizardKingLAPL5		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Death Lord Selection 1		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DeathLordLAPL1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Death Lord Selection 2		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DeathLordLAPL2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Death Lord Selection 3		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DeathLordLAPL3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Death Lord Selection 4		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DeathLordLAPL4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Death Lord Selection 5		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DeathLordLAPL5		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Elemental Lord Selection 1	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalLordLAPL1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Elemental Lord Selection 2	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalLordLAPL2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Elemental Lord Selection 3	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalLordLAPL3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Elemental Lord Selection 4	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalLordLAPL4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Elemental Lord Selection 5	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ElementalLordLAPL5		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Infiltrator Selection 1		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:InfiltratorLAPL1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Infiltrator Selection 2		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:InfiltratorLAPL2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Infiltrator Selection 3		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:InfiltratorLAPL3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Infiltrator Selection 4		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:InfiltratorLAPL4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Infiltrator Selection 5		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:InfiltratorLAPL5		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Maestro Selection 1			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL1			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 2			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL2			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 3			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL3			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 4			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL4			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 5			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL5			DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Maestro Selection 1			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL1			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 2			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL2			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 3			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL3			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 4			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL4			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Maestro Selection 5			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MaestroLAPL5			DISPLAYLOCATION:Class Abilities

