# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:System Reference Document	SOURCESHORT:SRD	SOURCEWEB:http://groups.yahoo.com/group/pcgen/files/3.0%20SRD/	SOURCEDATE:2000-01


#Potions
# Equipment Name						Output Name				Type					Cost		Weight	Source Page
Potion (Jump)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Spider Climb)					OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Cure Light Wounds)				OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Love)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:150	WT:0		SOURCEPAGE:srdmagicitemspotions
#COMMENT: lower case intentional so doesn't conflict with Vision spell
# UPDATE: How is this valid? I don't recall CASE sensitivity in the program. Flag for a coder.
Potion (vision)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:150	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Swimming)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:150	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Hiding)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:150	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Sneaking)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:150	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Oil of Timelessness)				OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:150	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Reduce/at 5th Level)				OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:250	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Enlarge/at 5th Level)				OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:250	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Expedious Retreat)				OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Speak with Animals)				OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Protection from Arrows)			OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Charisma)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Intelligence)					OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Wisdom)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Alter Self)					OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Blur)						OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Darkvision)					OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Ghoul Touch)					OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Delay Poison)					OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
Potion (Endurance)					OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:srdmagicitemspotions
