#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
SOURCELONG:Black Markets	SOURCESHORT:BM	SOURCEWEB:https://paizo.com/products/btpy9h7x	SOURCEDATE:2015-10

# Skill Name		Situational Skill
Appraise.MOD		SITUATION:Pesh and other drugs
Bluff.MOD			SITUATION:Send secret message via gestures
Craft (alchemy).MOD	SITUATION:Pesh and other drugs
Heal.MOD			SITUATION:Identify and treat poison
Heal.MOD			SITUATION:Pesh and other drugs
Knowledge (local).MOD	SITUATION:Criminal activities
Knowledge (local).MOD	SITUATION:Pesh and other drugs
Linguistics.MOD		SITUATION:Understand gestures
Perception.MOD		SITUATION:Notice haunt
Spellcraft.MOD		SITUATION:Identify cursed item
