#
# Current Ver: $Revision$
# Last Editor: $Author$
# Last Edited: $Date$
#
# Lists the DEFAULT number of slots for each type
#
NUMSLOTS:DEFAULT	HEAD:1	HANDS:2	TORSO:1	LEGS:2	SHIELD:1
#
# Name of Slot	Type of items can contain							Where to get # from
#														and number in each slot
#
EQSLOT:Armor	CONTAINS:Armor=1									NUMBER:TORSO
EQSLOT:Belt		CONTAINS:Belt,Girdle=1								NUMBER:TORSO
EQSLOT:Body		CONTAINS:Robe,Vestment=1							NUMBER:TORSO
EQSLOT:Chest	CONTAINS:Mantle,Shirt,Vest=1							NUMBER:TORSO
EQSLOT:Eyes		CONTAINS:Eyes,Glasses,Goggles,Eyegear=1					NUMBER:HEAD
EQSLOT:Feet		CONTAINS:Boot,Shoe,Slipper=1							NUMBER:LEGS
EQSLOT:Hands	CONTAINS:Gauntlet,Glove=1							NUMBER:HANDS
EQSLOT:Head		CONTAINS:Circlet,Crown,Hat,Helm,Mask,Headgear=1				NUMBER:HEAD
EQSLOT:Headband	CONTAINS:Headband,Phylactery=1						NUMBER:HEAD
EQSLOT:Neck		CONTAINS:Amulet,Brooch,Medallion,Necklace,Periapt,Scarab=1		NUMBER:HEAD
EQSLOT:Ring		CONTAINS:Ring=2									NUMBER:TORSO
EQSLOT:Shield	CONTAINS:Shield=1									NUMBER:SHIELD
EQSLOT:Shoulders	CONTAINS:Cape,Cloak=1								NUMBER:TORSO
EQSLOT:Wrist	CONTAINS:Bracelet,Bracer=1							NUMBER:HANDS
EQSLOT:Torso	CONTAINS:Clothing=1								NUMBER:TORSO
EQSLOT:Weapon	CONTAINS:Weapon=1									NUMBER:HANDS
#
# If you wanted to increase the number of RINGs a set of Fingers could hold
# You'd change the EQSLOT:Fingers to CONTAINS:RING=2
#




