# CVS $Revision$ $Author$ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
#SOURCELONG:Psionics Expanded - Unlimited Possibilities	SOURCESHORT:PEUP	SOURCEWEB:http://dreamscarredpress.com/dragonfly/index.php	SOURCEDATE:2011-09
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2011/10/26

###Block: Bonus Feat ability pools
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Bonus Psionic Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Psionic	PLURAL:Bonus Psionic Feats	DISPLAYLOCATION:Feats

###Block: Archetype support
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:Aegis Archetype	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Archetype	TYPE:AegisArchetype	PLURAL:Aegis Archetypes		DISPLAYLOCATION:Archetype

###Block: Astral Suit ability pools
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Astral Suit Type		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralSuitType		PLURAL:Astral Suit Type			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Astral Suit Customization	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralSuitCustomization	PLURAL:Astral Suit Customizations	DISPLAYLOCATION:Class Abilities

# Traits Sub Selections
ABILITYCATEGORY:Blue Race Trait		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BlueTrait			PLURAL:Blue Race Traits			DISPLAYLOCATION:Traits
ABILITYCATEGORY:Dromite Race Trait		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DromiteTrait			PLURAL:Dromite Race Traits		DISPLAYLOCATION:Traits
ABILITYCATEGORY:Duergar Race Trait		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DuergarTrait			PLURAL:Duergar Race Traits		DISPLAYLOCATION:Traits
ABILITYCATEGORY:Elan Race Trait		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ElanTrait			PLURAL:Elan Race Traits			DISPLAYLOCATION:Traits
ABILITYCATEGORY:Half Giant Race Trait	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:HalfGiantTrait		PLURAL:Half-Giant Race Traits		DISPLAYLOCATION:Traits
ABILITYCATEGORY:Maenad Race Trait		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MaenadTrait			PLURAL:Maenad Race Traits		DISPLAYLOCATION:Traits
ABILITYCATEGORY:Ophiduan Race Trait		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OphiduanTrait		PLURAL:Ophiduan Race Traits		DISPLAYLOCATION:Traits
ABILITYCATEGORY:Xeph Race Trait		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:XephTrait			PLURAL:Xeph Race Traits			DISPLAYLOCATION:Traits

#
ABILITYCATEGORY:Bonus Psychic Warrior Power					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BonusSpellKnownPsychicWarrior																		DISPLAYLOCATION:Racial Abilities
