# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:XCrawl: Adventures in the Xtreme Dungeon Crawl League	SOURCESHORT:XCrawl	SOURCEWEB:http://www.pandahead.com/Xcrawl/index.php	SOURCEDATE:2002-01

# Weapon Name		Type
.25 pistol			TYPE:Pistol
.35 pistol			TYPE:Pistol
.45 pistol			TYPE:Pistol
.55 pistol			TYPE:Pistol
.25 rifle			TYPE:Rifle
.45 rifle			TYPE:Rifle
20GA Scattergun		TYPE:Rifle
10GA Scattergun		TYPE:Rifle
Bringdown Launcher	TYPE:Firearms
Arrow (boffer)		TYPE:Martial.Boffer
Arrow (tranquilizer)	TYPE:Exotic
Baseball			TYPE:Sport
Bat (aluminum)		TYPE:Sport
Bowling ball		TYPE:Sport
Brass Knuckles		TYPE:Simple
Buckler (throwing)	TYPE:Martial
Chain (fighting)		TYPE:Martial
Chainsaw			TYPE:Exotic
Club (boffer)		TYPE:Simple.Boffer
Flying disc (combat)	TYPE:Sport
Golf club			TYPE:Sport
Hockey Stick		TYPE:Sport
Ice Pick (combat)		TYPE:Martial
Knife (boffer)		TYPE:Simple.Boffer
Mace (double-headed)	TYPE:Exotic
Machete			TYPE:Simple
Pitchfork			TYPE:Simple
Shiv				TYPE:Simple
Slingshot			TYPE:Simple
Sword (boffer)		TYPE:Simple.Boffer
Wrist Blade			TYPE:Martial
Wrist Blade (double)	TYPE:Martial
