# CVS $Revision$ $Author$ -- Tue Feb 28 19:45:33 2006 -- reformated by prettylst.pl v1.35 (build 556)
#
# Spycraft - Shadowforce Archer PCGen dataset by Eddy Anthony
#

SOURCELONG:Shadowforce Archer|SOURCESHORT:Shadowforce Archer|SOURCEWEB:http://www.shadowforcearcher.com/

#### Relics ####

# Equipment Name				Product Identity?	Type							Cost		Weight	Critical Hit Range	Fumble Range	Damage	Size		Source Page		Save checks bonus			Stat bonus				Special Property
Beowulf's Hilt				NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.231						BONUS:STAT|DEX,CON,STR|2
Dream Catcher				NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.231
Dream Catcher (Owl feather)		NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.231	BONUS:CHECKS|Will|2
Dream Catcher (Eagle feather)		NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.231	BONUS:CHECKS|Fortitude|2
Dream Catcher (Falcon feather)	NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.231	BONUS:CHECKS|Reflex|2
The Feather of Ma'at			NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.232											SPROP:agent may spend an action die to determine the level and class of one NPC as a half action
The Gordian Knot				NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.232											SPROP:Whenever an agent possesses one half of the knot, he may make an inspiration roll without spending an action die, once per session. If he controls both halves of the knot, the roll is automatically successful
Guan Gong's Halberd			NAMEISPI:YES	TYPE:Mystic.Relic.Weapon.Melee.Slashing	COST:0	WT:10		CRITRANGE:3			FUMBLERANGE:-	DAMAGE:3d8	SIZE:L	SOURCEPAGE:p.232
Marduk's Signet				NAMEISPI:YES	TYPE:Mystic.Relic.Amulet			COST:0	WT:0													SOURCEPAGE:p.233
Mjolnir					NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.234											SPROP:counts as 50,000 bonded minions
The Necronomicon				NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.234											SPROP:Don't ask
Quetzalcoatl's Thorn			NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.234											SPROP:absorbs the victim's form, allowing its wielder to perfectly impersonate the victim for up to 10 minutes per day
Rod of the Scarab				NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.235											SPROP:summons a swarm of 10d10 gadget scarabs once per day
The Rosetta Stone				NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.235											SPROP:automatically understands all languages, whether spoken or written
Sedna's Knuckles				NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.235											SPROP:Sedna's Knuckles have the miraculous (and rare) power to return the dead to life
The Tears of Gethsemane			NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.236											SPROP:Whenever the agent spends an action die on anything except an attack roll or damage roll, the die type rolled is one greater
The Wheel of the Ancients		NAMEISPI:YES	TYPE:Mystic.Relic					COST:0	WT:0													SOURCEPAGE:p.236											SPROP:Once per month, the wheel can be spun. It then projects an image of the location of another mystic relic within 1,000 miles into the mind of the person who spun the wheel

#### Rites ####

Bolt						NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.222											SPROP:Learning DC 20, Thirst DC -, Min. Skill Knowledge (Occult) 5, Bonded Followers 10 per 1d6 damage, Complex Skill Check 25--1 half action
Bond Follower				NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.222											SPROP:Learning DC 12, Thirst DC -, Min. Skill Knowledge (Occult) 5, Bonded Followers 5, Complex Skill Check 25--1 minute
Borrow Power				NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.224											SPROP:Learning DC 28, Thirst DC -, Min. Skill Knowledge (Occult) 13, Bonded Followers 40 per +2, Complex Skill Check 45--1 round
Control Animals				NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.224											SPROP:Learning DC 20, Thirst DC -, Min. Skill Knowledge (Occult) 8, Bonded Followers 20, Complex Skill Check 35--1 round
Curb Violence				NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.224											SPROP:Learning DC 15, Thirst DC -, Min. Skill Knowledge (Occult) 5, Bonded Followers 20, Complex Skill Check 35--1 round
Curse						NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.224											SPROP:Learning DC 27, Thirst DC -, Min. Skill Knowledge (Occult) 11, Bonded Followers 25 per -1, Complex Skill Check 40--1 round
Healing					NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.225											SPROP:Learning DC 23, Thirst DC -, Min. Skill Knowledge (Occult) 11, Bonded Followers 20 +5 per level, Complex Skill Check 50--1 round
Invisibility				NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.225											SPROP:Learning DC 24, Thirst DC -, Min. Skill Knowledge (Occult) 9, Bonded Followers 40, Complex Skill Check 40--5 minutes
Shield					NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.225											SPROP:Learning DC 16, Thirst DC -, Min. Skill Knowledge (Occult) 5, Bonded Followers 5 per round, Complex Skill Check 25--1 half action
Steal Soul					NAMEISPI:YES	TYPE:Mystic.Rite					COST:0	WT:0													SOURCEPAGE:p.225											SPROP:Learning DC 35, Thirst DC -, Min. Skill Knowledge (Occult) 15, Bonded Followers 80, Complex Skill Check 150--4 hours

#### Rituals ####


Control Weather				NAMEISPI:YES	TYPE:Mystic.Ritual				COST:0	WT:0													SOURCEPAGE:p.225											SPROP:Learning DC 38, Thirst DC 35, Min. Skill Knowledge (Occult) 20, Bonded Followers Varies, Complex Skill Check 200--4 hours
Create Anchor Node			NAMEISPI:YES	TYPE:Mystic.Ritual				COST:0	WT:0													SOURCEPAGE:p.226											SPROP:Learning DC 35, Thirst DC 35, Min. Skill Knowledge (Occult) 1000, Bonded Followers 00, Complex Skill Check 300--4 hours
Destroy Technology			NAMEISPI:YES	TYPE:Mystic.Ritual				COST:0	WT:0													SOURCEPAGE:p.226											SPROP:Learning DC 40, Thirst DC 35, Min. Skill Knowledge (Occult) 21, Bonded Followers 500 per mile radius, Complex Skill Check 350--4 hours
Killing Touch				NAMEISPI:YES	TYPE:Mystic.Ritual				COST:0	WT:0													SOURCEPAGE:p.226											SPROP:Learning DC 31, Thirst DC 40, Min. Skill Knowledge (Occult) 15, Bonded Followers 50, Complex Skill Check 40--1 round
Mass Slumber				NAMEISPI:YES	TYPE:Mystic.Ritual				COST:0	WT:0													SOURCEPAGE:p.226											SPROP:Learning DC 22, Thirst DC 25, Min. Skill Knowledge (Occult) 12, Bonded Followers 30, Complex Skill Check 25--1 minute
Mass Suggestion				NAMEISPI:YES	TYPE:Mystic.Ritual				COST:0	WT:0													SOURCEPAGE:p.227											SPROP:Learning DC 29, Thirst DC 30, Min. Skill Knowledge (Occult) 15, Bonded Followers 80, Complex Skill Check 75--5 minutes
