# CVS $Revision$ $Author$ -- Tue Nov 11 14:22:49 2008 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Fantasy Flight Games - Seafarer's Handbook	SOURCESHORT:SFHB	SOURCEWEB:http://www.fantasyflightgames.com/llsh.html	SOURCEDATE:2002-01
# Original Entry by: Eddy Anthony

### Ship Qualities

# Modifier Name		Unique Key			Type		Cost				Source Page
Built to Last		KEY:HULL_BUILT		TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Bull of the Sea		KEY:HULL_BULL		TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Clever Construction	KEY:HULL_CLEAVER		TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Fire Tested			KEY:HULL_FIRE_TESTED	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Grace Under Pressure	KEY:HULL_GRACE		TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Ice Queen			KEY:HULL_ICE_QUEEN	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Improved Buoyancy		KEY:HULL_BUOYANCY		TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Mighty Oars			KEY:HULL_MIGHTY-OARS	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.107
Oceanworthy			KEY:HULL_OCEABWORTHY	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
Reinforced Sails		KEY:HULL_TOUGH_SAILS	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
Sea Scrapper		KEY:HULL_SEA_SCRAPPER	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
Sea Skimmer			KEY:HULL_SEA_SKIMMER	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
Storm Rider			KEY:HULL_STORM_RIDER	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
Tough Old Girl		KEY:HULL_TOUGH		TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
Transport			KEY:HULL_TRANSPORT	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
War Dog			KEY:HULL_WAR_DOG		TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108
Wave Rider			KEY:HULL_WAVE_RIDER	TYPE:Hull	COST:(SIZE-2)*1000	SOURCEPAGE:p.108

### Construction Materials

Wood Plated			KEY:WOOD_PLATED		TYPE:Hull	COST:1000			SOURCEPAGE:p.102
Iron Plated			KEY:IRON_PLATED		TYPE:Hull	COST:10000			SOURCEPAGE:p.102
Mithral Plated		KEY:MITHRAL_PLATED	TYPE:Hull	COST:20000			SOURCEPAGE:p.102
Adamantite Plated		KEY:ADAMANTITE		TYPE:Hull	COST:30000			SOURCEPAGE:p.102
