# CVS $Revision$ $Author$ -- Sat Oct 21 03:25:07 2006 -- reformated by prettylst.pl v1.35 (build 565)
SOURCELONG:The Psychic's Handbook	SOURCESHORT:psychicshandbook	SOURCEWEB:http://www.greenronin.com

# General Psychic skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Psychic Shield		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychic Ability,Wild Talent			SOURCEPAGE:p.35	DESC:You can shield yourself from psychic influences. Strain: 0.

# Clairsentience skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Combat Sense		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Clairsentience,Wild Talent			SOURCEPAGE:p.25	DESC:You can improve your ability on combat by sensing the flow of events around you. Strain: 2+bonus.
Cyberkinesis		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Clairsentience,Wild Talent			SOURCEPAGE:p.26	DESC:You can make mental contact with computers. Strain: 1.
Enhance Senses		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Clairsentience,Psychometabolism,Wild Talent	SOURCEPAGE:p.29	DESC:You can enhance your normal sensory abilities. Strain: 3.
Precognition		KEYSTAT:WIS	USEUNTRAINED:YES	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Clairsentience,Wild Talent			SOURCEPAGE:p.33	DESC:You receive visions of future events. Strain: 9/1/0.
Psychometry			KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Clairsentience,Wild Talent			SOURCEPAGE:p.36	DESC:You can "read" psychic impressions from places and objects, getting images of their pasts. Strain: 6/1.
Remote Viewing		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Clairsentience,Wild Talent			SOURCEPAGE:p.38	DESC:You can sense distant events as if you were present there. Strain: 2.

# Psychic Weapon  skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Psychic Weapon		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychic Weapon,Wild Talent			SOURCEPAGE:p.36	DESC:You can create a weapon of psychic energy. Strain: 6.

# Psychokinesis skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Cryokinesis			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.25	DESC:You can freeze things with the power of your mind. Strain: 3.
Electrokinesis		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.28	DESC:You can control the flow of electromagnetic energy. Strain: 3 or as described.
Photokinesis		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.32	DESC:You can mentally control light. Strain: DC/5.
Pyrokinesis			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.37	DESC:You can mentally start and control fires. Strain: 3/1.
Telekinesis			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.39	DESC:You can move objects wiht the power of your mind. Strain: see chart.
Telekinetic Blast		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.40	DESC:You can attack with a blast of telekinetic force. Strain: 4.
Telekinetic Grip		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.40	DESC:You can damage other creatures internally with a crushing telekinetic grip. Strain: 4.
