# CVS $Revision$ $Author$ -- Wed Sep  3 17:24:32 2008 -- reformated by prettylst.pl v1.38 (build 7233)

SOURCELONG:Player's Guide to Arcanis	SOURCESHORT:PGtA	SOURCEWEB:http://www.paradigmconcepts.com	SOURCEDATE:2004-06

## NOTE: All domain spells identified in DOMAIN file

# Spell Name				Classes of caster
Aid.MOD					CLASSES:Priest=2
Air Walk.MOD				CLASSES:Priest=4
Alarm.MOD					CLASSES:Urban Sentinel=1
Animate Dead.MOD				CLASSES:Priest=3
Animate Objects.MOD			CLASSES:Priest=6
Animate Rope.MOD				CLASSES:Urban Sentinel=1
Antilife Shell.MOD			CLASSES:Priest=6
Antimagic Field.MOD			CLASSES:Priest=8
Astral Projection.MOD			CLASSES:Priest=9
Atonement.MOD				CLASSES:Priest=5
Augury.MOD					CLASSES:Priest=2
Bane.MOD					CLASSES:Priest=1
Banishment.MOD				CLASSES:Priest=6
Bear's Endurance (Mass).MOD		CLASSES:Priest=6
Bear's Endurance.MOD			CLASSES:Holy Champion,Priest,Urban Sentinel=2
Bestow Curse.MOD				CLASSES:Priest=3
Bless Water.MOD				CLASSES:Holy Champion,Priest=1
Bless Weapon.MOD				CLASSES:Holy Champion=1
Bless.MOD					CLASSES:Holy Champion,Priest=1
Blindness/Deafness.MOD			CLASSES:Priest=3
Blink.MOD					CLASSES:Urban Sentinel=3
Blur.MOD					CLASSES:Urban Sentinel=2
Break Enchantment.MOD			CLASSES:Holy Champion=4|Priest=5
Bull's Strength (Mass).MOD		CLASSES:Priest=6
Bull's Strength.MOD			CLASSES:Holy Champion,Priest=2
Calm Emotions.MOD				CLASSES:Priest=2
Cat's Grace.MOD				CLASSES:Urban Sentinel=2
Cause Fear.MOD				CLASSES:Priest,Urban Sentinel=1
Charm Monster.MOD				CLASSES:Urban Sentinel=3
Charm Person.MOD				CLASSES:Urban Sentinel=1
Command (Greater).MOD			CLASSES:Priest=5
Command.MOD					CLASSES:Priest=5
Comprehend Languages.MOD		CLASSES:Priest=1
Confusion (Lesser).MOD			CLASSES:Urban Sentinel=1
Consecrate.MOD				CLASSES:Priest=2
Contagion.MOD				CLASSES:Priest=3
Continual Flame.MOD			CLASSES:Priest=3
Control Water.MOD				CLASSES:Priest=4
Control Weather.MOD			CLASSES:Priest=7
Create Food and Water.MOD		CLASSES:Priest=3
Create Water.MOD				CLASSES:Priest=0|Holy Champion=1
Cure Critical Wounds (Mass).MOD	CLASSES:Priest=8
Cure Critical Wounds.MOD		CLASSES:Priest,Urban Sentinel=4
Cure Light Wounds (Mass).MOD		CLASSES:Priest=5
Cure Light Wounds.MOD			CLASSES:Urban Sentinel,Holy Champion,Priest=1
Cure Minor Wounds.MOD			CLASSES:Priest=0
Cure Moderate Wounds (Mass).MOD	CLASSES:Priest=6
Cure Moderate Wounds.MOD		CLASSES:Priest,Urban Sentinel=2|Holy Champion=3
Cure Serious Wounds (Mass).MOD	CLASSES:Priest=7
Cure Serious Wounds.MOD			CLASSES:Priest,Urban Sentinel=3|Holy Champion=4
Curse Water.MOD				CLASSES:Priest=1
Darkness.MOD				CLASSES:Urban Sentinel=2
Darkvision.MOD				CLASSES:Urban Sentinel=3
Daylight.MOD				CLASSES:Holy Champion,Priest,Urban Sentinel=3
Death Knell.MOD				CLASSES:Priest=2
Death Ward.MOD				CLASSES:Holy Champion,Priest=4
Deathwatch.MOD				CLASSES:Priest=1
Deeper Darkness.MOD			CLASSES:Priest=3
Delay Poison.MOD				CLASSES:Urban Sentinel=1|Holy Champion,Priest=2
Desecrate.MOD				CLASSES:Priest=2
Detect Chaos.MOD				CLASSES:Priest=1
Detect Evil.MOD				CLASSES:Priest=1
Detect Good.MOD				CLASSES:Priest=1
Detect Law.MOD				CLASSES:Priest=1
Detect Magic.MOD				CLASSES:Priest=0|Holy Champion=1
Detect Poison.MOD				CLASSES:Priest=0|Holy Champion=1
Detect Secret Doors.MOD			CLASSES:Urban Sentinel=1
Detect Undead.MOD				CLASSES:Priest=1
Dimension Door.MOD			CLASSES:Urban Sentinel=4
Dimensional Anchor.MOD			CLASSES:Priest=4
Dimensional Lock.MOD			CLASSES:Priest=8
Discern Lies.MOD				CLASSES:Holy Champion=3|Priest=4
Discern Location.MOD			CLASSES:Priest=8
Disguise Self.MOD				CLASSES:Urban Sentinel=1
Dismissal.MOD				CLASSES:Priest=4
Dispel Magic (Greater).MOD		CLASSES:Priest=6
Dispel Magic.MOD				CLASSES:Holy Champion,Priest=3
Divination.MOD				CLASSES:Priest=4
Divine Favor.MOD				CLASSES:Holy Champion=1
Doom.MOD					CLASSES:Priest=1
Eagle's Splendor (Mass).MOD		CLASSES:Priest=6
Eagle's Splendor.MOD			CLASSES:Holy Champion,Priest=2
Endure Elements.MOD			CLASSES:Holy Champion=1
Enthrall.MOD				CLASSES:Priest=2
Etherealness.MOD				CLASSES:Priest=9
Faerie Fire.MOD				CLASSES:Warrior of the Eternal Flame=1
Feather Fall.MOD				CLASSES:Urban Sentinel=1
Find the Path.MOD				CLASSES:Priest=6
Forbiddance.MOD				CLASSES:Priest=6
Freedom of Movement.MOD			CLASSES:Holy Champion,Priest,Urban Sentinel=4
Gate.MOD					CLASSES:Priest=9
Geas/Quest.MOD				CLASSES:Priest=6
Gentle Repose.MOD				CLASSES:Priest=2
Glibness.MOD				CLASSES:Urban Sentinel=3
Glyph of Warding (Greater).MOD	CLASSES:Priest=6
Glyph of Warding.MOD			CLASSES:Priest=3
Guidance.MOD				CLASSES:Priest=0
Hallow.MOD					CLASSES:Priest=5
Harm.MOD					CLASSES:Priest=6
Heal (Mass).MOD				CLASSES:Priest=9
Heal Mount.MOD				CLASSES:Holy Champion=3
Heal.MOD					CLASSES:Priest=6
Helping Hand.MOD				CLASSES:Priest=3
Heroes' Feast.MOD				CLASSES:Priest=6
Hide from Undead.MOD			CLASSES:Priest=1
Hold Person.MOD				CLASSES:Priest,Urban Sentinel=2
Holy Sword.MOD				CLASSES:Holy Champion=4
Imbue with Spell Ability.MOD		CLASSES:Priest=4
Inflict Critical Wounds (Mass).MOD	CLASSES:Priest=8
Inflict Critical Wounds.MOD		CLASSES:Priest=4
Inflict Light Wounds (Mass).MOD	CLASSES:Priest=5
Inflict Light Wounds.MOD		CLASSES:Priest=1
Inflict Minor Wounds.MOD		CLASSES:Priest=0
Inflict Moderate Wounds (Mass).MOD	CLASSES:Priest=6
Inflict Moderate Wounds.MOD		CLASSES:Priest=2
Inflict Serious Wounds (Mass).MOD	CLASSES:Priest=7
Inflict Serious Wounds.MOD		CLASSES:Priest=3
Invisibility (Greater).MOD		CLASSES:Urban Sentinel=4
Invisibility Purge.MOD			CLASSES:Priest=3
Invisibility.MOD				CLASSES:Urban Sentinel=2
Jump.MOD					CLASSES:Urban Sentinel=1
Light.MOD					CLASSES:Priest=0
Locate Object.MOD				CLASSES:Priest=3
Longstrider.MOD				CLASSES:Urban Sentinel=1
Magic Vestment.MOD			CLASSES:Holy Champion=3
Magic Weapon (Greater).MOD		CLASSES:Holy Champion=3
Magic Weapon.MOD				CLASSES:Holy Champion=1
Make Whole.MOD				CLASSES:Priest=2
Mark of Justice.MOD			CLASSES:Holy Champion=4|Priest=5
Mending.MOD					CLASSES:Priest=0
Miracle.MOD					CLASSES:Priest=9
Neutralize Poison.MOD			CLASSES:Urban Sentinel=3|Holy Champion,Priest=4
Nondetection.MOD				CLASSES:Urban Sentinel=4
Obscure Object.MOD			CLASSES:Priest=3
Obscuring Mist.MOD			CLASSES:Priest=1
Owl's Wisdom (Mass).MOD			CLASSES:Priest=6
Owl's Wisdom.MOD				CLASSES:Holy Champion,Priest,Urban Sentinel=2
Pass without Trace.MOD			CLASSES:Urban Sentinel=1
Planar Ally (Greater).MOD		CLASSES:Priest=8
Planar Ally (Lesser).MOD		CLASSES:Priest=4
Planar Ally.MOD				CLASSES:Priest=6
Plane Shift.MOD				CLASSES:Priest=5
Poison.MOD					CLASSES:Priest=4
Prayer.MOD					CLASSES:Holy Champion,Priest=3
Protection from Energy.MOD		CLASSES:Urban Sentinel=2
Protection from Evil.MOD		CLASSES:Holy Champion=1
Purify Food and Drink.MOD		CLASSES:Priest=0|Holy Champion=1
Raise Dead.MOD				CLASSES:Priest=5
Read Magic.MOD				CLASSES:Priest=0|Holy Champion,Urban Sentinel=1
Refuge.MOD					CLASSES:Priest=7
Regenerate.MOD				CLASSES:Priest=7
Remove Blindness/Deafness.MOD		CLASSES:Holy Champion,Priest=3
Remove Curse.MOD				CLASSES:Holy Champion,Priest=3
Remove Disease.MOD			CLASSES:Priest,Urban Sentinel=3
Remove Fear.MOD				CLASSES:Holy Champion,Priest=1
Remove Paralysis.MOD			CLASSES:Holy Champion,Priest=2
Repel Vermin.MOD				CLASSES:Urban Sentinel=3|Priest=4
Repulsion.MOD				CLASSES:Priest=7
Resist Energy.MOD				CLASSES:Urban Sentinel=1|Holy Champion=2
Resistance.MOD				CLASSES:Priest=0|Holy Champion=1
Restoration (Greater).MOD		CLASSES:Priest=7
Restoration (Lesser).MOD		CLASSES:Holy Champion=1|Priest=2
Restoration.MOD				CLASSES:Holy Champion,Priest=4
Resurrection.MOD				CLASSES:Priest=7
Sanctuary.MOD				CLASSES:Priest=1
Scrying (Greater).MOD			CLASSES:Priest=7
Scrying.MOD					CLASSES:Priest=5
See Invisibility.MOD			CLASSES:Urban Sentinel=3
Sending.MOD					CLASSES:Priest=4
Shatter.MOD					CLASSES:Priest=2
Shield Other.MOD				CLASSES:Holy Champion=2
Shield of Faith.MOD			CLASSES:Holy Champion=1
Silence.MOD					CLASSES:Priest,Urban Sentinel=2
Soul Bind.MOD				CLASSES:Priest=9
Speak with Animals.MOD			CLASSES:Urban Sentinel=3
Speak with Dead.MOD			CLASSES:Priest=3
Speak with Plants.MOD			CLASSES:Urban Sentinel=4
Spell Immunity (Greater).MOD		CLASSES:Priest=8
Spell Immunity.MOD			CLASSES:Priest=4
Spell Resistance.MOD			CLASSES:Priest=5
Status.MOD					CLASSES:Priest=2
Summon Monster I.MOD			CLASSES:Priest,Urban Sentinel=1
Summon Monster II.MOD			CLASSES:Priest,Urban Sentinel=2
Summon Monster III.MOD			CLASSES:Priest,Urban Sentinel=3
Summon Monster IV.MOD			CLASSES:Priest,Urban Sentinel=4
Summon Monster IX.MOD			CLASSES:Priest=9
Summon Monster V.MOD			CLASSES:Priest=5
Summon Monster VI.MOD			CLASSES:Priest=6
Summon Monster VII.MOD			CLASSES:Priest=7
Summon Monster VIII.MOD			CLASSES:Priest=8
Symbol of Death.MOD			CLASSES:Priest=8
Symbol of Fear.MOD			CLASSES:Priest=6
Symbol of Insanity.MOD			CLASSES:Priest=8
Symbol of Pain.MOD			CLASSES:Priest=5
Symbol of Persuasion.MOD		CLASSES:Priest=6
Symbol of Sleep.MOD			CLASSES:Priest=5
Symbol of Stunning.MOD			CLASSES:Priest=7
Symbol of Weakness.MOD			CLASSES:Priest=7
Tongues.MOD					CLASSES:Priest=4
True Resurrection.MOD			CLASSES:Priest=9
True Seeing.MOD				CLASSES:Priest=5
Undetectable Alignment.MOD		CLASSES:Priest=2
Unhallow.MOD				CLASSES:Priest=5
Ventriloquism.MOD				CLASSES:Urban Sentinel=1
Virtue.MOD					CLASSES:Priest=0|Holy Champion=1
Wall of Fire.MOD				CLASSES:Warrior of the Eternal Flame=4
Water Breathing.MOD			CLASSES:Priest=3
Water Walk.MOD				CLASSES:Priest,Urban Sentinel=3
Wind Wall.MOD				CLASSES:Urban Sentinel=2|Priest=3
Word of Recall.MOD			CLASSES:Priest=6
Zone of Truth.MOD				CLASSES:Priest=2

#Cores
Chaos Hammer.FORGET
Order's Wrath.FORGET
Reincarnate.FORGET
Shield of Law.FORGET
Unholy Blight.FORGET
Holy Smite.FORGET
Holy Aura.FORGET
Unholy Aura.FORGET

###Block: Race Spells
