# CVS $Revision$ $Author$ -- Wed Sep  3 17:24:32 2008 -- reformated by prettylst.pl v1.38 (build 7233)

SOURCELONG:Player's Guide to Arcanis	SOURCESHORT:PGtA	SOURCEWEB:http://www.paradigmconcepts.com	SOURCEDATE:2004-06

AGESET:0|Adulthood
RACENAME:Human			CLASS:Barbarian,Rogue[BASEAGEADD:1d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Human			SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Human			BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Pale Blond|Blond|Light Brown|Dark Brown|Gray|Black|Salt and Pepper|Red|Auburn	EYES:Blue|Black|Brown|Gray|Hazel	SKINTONE:Obsidian|Fair|Tanned|Pasty|Olive|Bronze|Dark Brown|Copper

RACENAME:Dark-Kin%		CLASS:Barbarian,Rogue[BASEAGEADD:1d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Dark-Kin%		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Dark-Kin%		BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Pale Blond|Blond|Light Brown|Dark Brown|Black|Gray|Salt and Pepper|Red|Auburn	EYES:Blue|Black|Brown|Gray|Hazel|Glowing	SKINTONE:Obsidian|Fair|Tanned|Pasty|Olive|Bronze|Dark Brown|Copper|Reddish

RACENAME:Ss'ressen%		CLASS:Barbarian,Rogue[BASEAGEADD:1d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Ss'ressen%		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Ss'ressen%		BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:None	EYES:Black	SKINTONE:Gray|Green and Grey|Green

RACENAME:Dwarf%			CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:3d6]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:5d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:7d6]
RACENAME:Dwarf%			SEX:Male[BASEHT:45|HTDIEROLL:2d4|BASEWT:130|WTDIEROLL:2d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:43|HTDIEROLL:2d4|BASEWT:100|WTDIEROLL:2d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Dwarf%			BASEAGE:40	MAXAGE:124	AGEDIEROLL:4d20+1d4	HAIR:Pale Blond|Blond|Light Brown|Dark Brown|Gray|Black|Salt and Pepper|Red|Auburn	EYES:Blue|Black|Brown|Gray|Hazel	SKINTONE:Obsidian|Fair|Tanned|Pasty|Olive|Bronze|Dark Brown|Copper

RACENAME:Elorii%			CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:4d6]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:6d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:10d6]
RACENAME:Elorii%			SEX:Male[BASEHT:53|HTDIEROLL:2d6|BASEWT:85|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d6|BASEWT:80|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Elorii%			BASEAGE:110	MAXAGE:174	AGEDIEROLL:8d8	HAIR:White|Pale Yellow|Gray|Black|Blue|Golden Blonde|Copper|Brown|Auburn	EYES:Dark Violet|Violet|Silver|Pink|Pale Blue|Deep Blue|Gold-flecked Green|Gold-flecked Blue|Blue-Green|Green|Gold|Reddish-Orange|Brown|Hazel	SKINTONE:Obsidian|Fair|Tanned|Pasty|Bronze|Dark Brown|Copper

RACENAME:Gnome%			CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:4d6]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:6d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:9d6]
RACENAME:Gnome%			SEX:Male[BASEHT:36|HTDIEROLL:2d4|BASEWT:40|WTDIEROLL:1d1|TOTALWT:BASEWT+HTDIEROLL*WTDIEROLL]Female[BASEHT:34|HTDIEROLL:2d4|BASEWT:35|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Gnome%			BASEAGE:40	MAXAGE:99	AGEDIEROLL:10d6	HAIR:Pale Blond|Blond|Light Brown|Dark Brown|Gray|Black|Salt and Pepper|Red|Auburn	EYES:Blue|Black|Brown|Gray|Hazel	SKINTONE:Obsidian|Fair|Tanned|Pasty|Olive|Bronze|Dark Brown|Copper

RACENAME:Half-Hobgoblin%	CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:1d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Half-Hobgoblin%	SEX:Male[BASEHT:72|HTDIEROLL:2d10|BASEWT:200|WTDIEROLL:2d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:65|HTDIEROLL:2d10|BASEWT:190|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Half-Hobgoblin%	BASEAGE:15	MAXAGE:95	AGEDIEROLL:8d10	HAIR:Furry Brown|Pale Blond|Blond|Light Brown|Dark Brown|Gray|Black|Salt and Pepper|Red|Auburn	EYES:Blue|Black|Brown|Gray|Hazel	SKINTONE:Obsidian|Fair|Tanned|Pasty|Olive|Bronze|Dark Brown|Copper

RACENAME:Half-Orc%		CLASS:Barbarian,Rogue,Sorcerer[BASEAGEADD:1d4]|Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Half-Orc%		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:130|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:52|HTDIEROLL:2d10|BASEWT:90|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Half-Orc%		BASEAGE:14	MAXAGE:29	AGEDIEROLL:4d4	HAIR:Black	EYES:Black|Green	SKINTONE:Light Green|Dark Green|Tanned

RACENAME:Val%			CLASS:Barbarian,Rogue,Sorcerer,Psion[BASEAGEADD:1d4]|Psychic Warrior,Bard,Fighter,Paladin,Ranger[BASEAGEADD:1d6]|Cleric,Druid,Monk,Wizard[BASEAGEADD:2d6]
RACENAME:Val%			SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Val%			BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Clear|Grey	SKINTONE:Tanned|Pasty

AGESET:1|Middle Age	BONUS:STAT|STR,CON,DEX|-1	BONUS:STAT|INT,WIS,CHA|1
RACENAME:Human%			BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Val%			BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Dark-Kin%		BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Dwarf%			BASEAGE:125	MAXAGE:187	AGEDIEROLL:(7d8+1d6)
RACENAME:Elorii%			BASEAGE:175	MAXAGE:262	AGEDIEROLL:11d8
RACENAME:Gnome%			BASEAGE:100	MAXAGE:149	AGEDIEROLL:(8d6+1)
RACENAME:Half-Hobgoblin%	BASEAGE:15	MAXAGE:44	AGEDIEROLL:(2d12+1d4+1)
RACENAME:Half-Orc%		BASEAGE:30	MAXAGE:44	AGEDIEROLL:(1d10+1d4)
RACENAME:Ss'ressen%		BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6

AGESET:2|Old		BONUS:STAT|STR,CON,DEX|-3	BONUS:STAT|INT,WIS,CHA|2
RACENAME:Human%			BASEAGE:53	MAXAGE:69	AGEDIEROLL:4d4+1
RACENAME:Val%			BASEAGE:53	MAXAGE:69	AGEDIEROLL:4d4+1
RACENAME:Dark-Kin%		BASEAGE:53	MAXAGE:69	AGEDIEROLL:4d4+1
RACENAME:Dwarf%			BASEAGE:188	MAXAGE:249	AGEDIEROLL:10d6+1
RACENAME:Elorii%			BASEAGE:263	MAXAGE:349	AGEDIEROLL:10d8+1d6
RACENAME:Gnome%			BASEAGE:150	MAXAGE:199	AGEDIEROLL:8d6+1
RACENAME:Half-Hobgoblin%	BASEAGE:45	MAXAGE:69	AGEDIEROLL:3d8
RACENAME:Half-Orc%		BASEAGE:45	MAXAGE:59	AGEDIEROLL:1d10+1d4
RACENAME:Ss'ressen%		BASEAGE:53	MAXAGE:69	AGEDIEROLL:4d4+1

AGESET:3|Venerable	BONUS:STAT|STR,CON,DEX|-6	BONUS:STAT|INT,WIS,CHA|3
RACENAME:Human%			BASEAGE:70	MAXAGE:110	AGEDIEROLL:4d10
RACENAME:Val%			BASEAGE:70	MAXAGE:110	AGEDIEROLL:4d10
RACENAME:Dark-Kin%		BASEAGE:70	MAXAGE:110	AGEDIEROLL:4d10
RACENAME:Dwarf%			BASEAGE:250	MAXAGE:450	AGEDIEROLL:2d100
RACENAME:Elorii%			BASEAGE:350	MAXAGE:750	AGEDIEROLL:4d100
RACENAME:Gnome%			BASEAGE:200	MAXAGE:500	AGEDIEROLL:3d100
RACENAME:Half-Hobgoblin%	BASEAGE:70	MAXAGE:95	AGEDIEROLL:(2d12+1)
RACENAME:Half-Orc%		BASEAGE:60	MAXAGE:80	AGEDIEROLL:5d4
RACENAME:Ss'ressen%		BASEAGE:70	MAXAGE:110	AGEDIEROLL:4d10

#
# End
#
