# CVS $Revision$ $Author$ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Pulp Fantasy Roleplaying Game	SOURCESHORT:PulpFntasy	SOURCEWEB:http://battlefieldpress.com	SOURCEDATE:2006-01
#Original entry by: Frank Kliewe

# Race Name	Size		Move				Face/Space		Reach		Vision			Combat bonus				Bonus to skill point for a level		Stat bonus																	Modify VAR					Weapon prof. bonus														Racial HD Class Skills				Ability							Natural Attacks																				Special ABility										Skill Multiplier	Monster Class Name and Starting Level	Main Race Type	Type		Hit Dice Advancement	Challenge Rating	Source Page
Alligator	SIZE:M	MOVE:Walk,20,Swim,30	FACE:5,5		REACH:5	VISION:Low-Light Vision	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	BONUS:SKILLPOOL|CLASS=Animal;LEVEL=1|4	BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8							BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))	BONUS:WEAPONPROF=Tail Slap|DAMAGE|max(0,(STR/2))	MONCSKILL:Hide|Listen|Spot											NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8|Tail Slap,Weapon.Natural.Melee.Bludgeoning,*1,1d12	SAB:Aquatic	SAB:Improved Grab(Ex)	SAB:+12 to Hide when Submerged	SKILLMULT:1		MONSTERCLASS:Animal:3				RACETYPE:Animal	TYPE:Animal	HITDICEADVANCEMENT:5,7	CR:2			SOURCEPAGE:p.308
Armadillo	SIZE:T	MOVE:Walk,30		FACE:2.5,2.5	REACH:0	VISION:Low-Light Vision	BONUS:COMBAT|AC|6|TYPE=NaturalArmor								BONUS:STAT|STR|-8	BONUS:STAT|DEX|2	BONUS:STAT|INT|-8	BONUS:STAT|CHA|-4							BONUS:VAR|FractionalHD|2|TYPE=Race																		MONCSKILL:Hide|Listen|Move Silently|Spot	ABILITY:FEAT|VIRTUAL|Weapon Finesse(Claws)	NATURALATTACKS:Claws,Weapon.Natural.Melee.Piercing.Slashing,*2,1d2											SAB:Defensive Ball	SAB:Scent(Ex)						SKILLMULT:1		MONSTERCLASS:Animal (Low Reflex):1		RACETYPE:Animal	TYPE:Animal					CR:1/4		SOURCEPAGE:p.308
Camel		SIZE:L	MOVE:Walk,50		FACE:10,10		REACH:10	VISION:Low-Light Vision	BONUS:COMBAT|AC|2|TYPE=NaturalArmor								BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|CHA|-4																											MONCSKILL:Listen|Spot												NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4										SAB:Desert Adapted	SAB:Scent(Ex)						SKILLMULT:1		MONSTERCLASS:Animal:3				RACETYPE:Animal	TYPE:Animal	HITDICEADVANCEMENT:10	CR:1			SOURCEPAGE:p.309

###Block:included from MSRD
# Race Name				Source Page
Boar (Wild Pig).MOD		SOURCEPAGE:p.149
Chimpanzee.MOD			SOURCEPAGE:p.149
Lizard.MOD				SOURCEPAGE:p.150
Lizard (Giant).MOD		SOURCEPAGE:p.150
Monitor Lizard.MOD		SOURCEPAGE:p.150
Octopus.MOD				SOURCEPAGE:p.151
Octopus (Giant).MOD		SOURCEPAGE:p.151
Octopus (Venemous).MOD		SOURCEPAGE:p.151
Porpoise.MOD			SOURCEPAGE:p.151
Scorpion.MOD			SOURCEPAGE:p.151
Shark (Huge).MOD			SOURCEPAGE:p.151
Snake (Constrictor).MOD		SOURCEPAGE:p.152
Snake (Cobra).MOD			SOURCEPAGE:p.152
Snake (Black Mamba).MOD		SOURCEPAGE:p.152
Snake (Hoop).MOD			SOURCEPAGE:p.152
Snake (Advanced Hoop).MOD	SOURCEPAGE:p.152
Snake (Tiny/Viper).MOD		SOURCEPAGE:p.152
Squid.MOD				SOURCEPAGE:p.152
Squid (Giant).MOD			SOURCEPAGE:p.152
